instances,drift,unbalance,type,alg,Fscore_0,Fscore_1
5000,sea_P(y),1,sudden,improved_OOB,96.64228466983984,96.79415332576689
10000,sea_P(y),1,sudden,improved_OOB,97.60367897913474,97.67522704980527
15000,sea_P(y),1,sudden,improved_OOB,98.0992873173479,98.13634356880532
20000,sea_P(y),1,sudden,improved_OOB,98.37856450336645,98.39930019784717
25000,sea_P(y),1,sudden,improved_OOB,98.55027581647263,98.56167811871751
30000,sea_P(y),1,sudden,improved_OOB,98.67850149909982,98.69275395019295
35000,sea_P(y),1,sudden,improved_OOB,98.78701076682307,98.79354263803415
40000,sea_P(y),1,sudden,improved_OOB,98.88529570724536,98.89019314593341
45000,sea_P(y),1,sudden,improved_OOB,98.95675796429657,98.95790775284571
50000,sea_P(y),1,sudden,improved_OOB,99.01560381798241,99.01759390883629
55000,sea_P(y),1,sudden,improved_OOB,99.65467375320422,96.96960937932174
60000,sea_P(y),1,sudden,improved_OOB,99.70509253002541,97.38691307380444
65000,sea_P(y),1,sudden,improved_OOB,99.69524282261919,97.2850647614467
70000,sea_P(y),1,sudden,improved_OOB,99.72727815052743,97.5653167122181
75000,sea_P(y),1,sudden,improved_OOB,99.74881353898486,97.72602541184236
80000,sea_P(y),1,sudden,improved_OOB,99.75264554778443,97.75218308241622
85000,sea_P(y),1,sudden,improved_OOB,99.75972175897094,97.80495207772954
90000,sea_P(y),1,sudden,improved_OOB,99.763601933317,97.8606793193943
95000,sea_P(y),1,sudden,improved_OOB,99.77055778571511,97.94035671535168
100000,sea_P(y),1,sudden,improved_OOB,99.77706952210413,97.99735764393259
5000,sea_P(y),1,sudden,WEOB1,96.51391779345795,96.67427306982432
10000,sea_P(y),1,sudden,WEOB1,97.48795080855652,97.56872060600968
15000,sea_P(y),1,sudden,WEOB1,97.99955786698152,98.0426365040318
20000,sea_P(y),1,sudden,WEOB1,98.30765806753669,98.33216180187704
25000,sea_P(y),1,sudden,WEOB1,98.48419744721912,98.49892974716181
30000,sea_P(y),1,sudden,WEOB1,98.61010229841064,98.62778403218519
35000,sea_P(y),1,sudden,WEOB1,98.72195335616564,98.7311558480556
