learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.686594,8.320825972904762E-8,5000.0,81.62,34.92555880463563,-4.669703872437349,-85.28225806451618,89.00849180720009,43.92922513727882,82.61545293072824,72.58064516129032,62.288862987700014,5000.0,468456.0,10.0,0.9638458889544852,0.036154111045514796
10000.0,1.286246,1.8003693306197725E-7,10000.0,81.69999999999999,36.17512819382444,-3.5067873303167962,-85.22267206477738,89.02219556088782,45.04504504504504,82.33466489125611,75.91093117408907,62.89785291751721,10000.0,624176.0,10.0,0.9114040090707566,0.08859599092924347
15000.0,1.798367,2.902197672240436E-7,15000.0,82.3,37.55269016268192,-0.3401360544217942,-80.12211668928101,89.40923052375443,46.1569661326303,82.85524175661688,77.20488466757124,63.25743561514886,15000.0,831656.0,10.0,0.9034830871602909,0.09651691283970906
20000.0,2.266871,4.1854393539950253E-7,20000.0,82.94,38.91449117275011,3.2879818594104466,-73.3739837398373,89.82343116201385,47.28059332509271,83.50709849157055,77.7439024390244,63.49232255371411,20000.0,1058760.0,10.0,0.872281590441645,0.12771840955835503
25000.0,2.735453,5.686668473420044E-7,25000.0,83.364,39.66415913291222,4.434742647058858,-70.94122482531856,90.10445168812011,47.82335967883578,83.9057030176807,78.33949856144677,63.68775423484633,25000.0,1238408.0,10.0,0.951002208274905,0.04899779172509502
30000.0,3.447915,8.382790449530715E-7,30000.0,83.67999999999999,40.44556062525155,6.314580941446618,-68.1318681318682,90.30495049504952,48.46315789473684,84.1774955699941,79.0521978021978,63.88068827356823,30000.0,1462784.0,10.0,0.8898697826609928,0.11013021733900703
35000.0,4.19134,1.1643830628072224E-6,35000.0,83.87714285714286,40.7936625941732,7.21802038803028,-66.70605612998513,90.43478260869566,48.72330758746025,84.37766882808793,79.20236336779911,63.9492048808832,35000.0,1695592.0,10.0,0.9106042591142162,0.08939574088578371
40000.0,4.716127,1.4255124371871355E-6,40000.0,83.965,41.43510401414059,8.63247863247863,-64.20890937019966,90.4749175799697,49.34449534038857,84.39629855377625,79.97951868919611,64.10456638239049,40000.0,1923424.0,10.0,0.896135967365645,0.10386403263435492
45000.0,5.181758,1.6811477902655802E-6,45000.0,83.80888888888889,41.334009757968374,8.467336683417075,-64.72982138819809,90.36549243626362,49.31830829159711,84.2078024496636,80.14921998643455,64.1009014047576,45000.0,2122176.0,10.0,0.8944788228347628,0.10552117716523725
50000.0,5.601852,1.934908886137936E-6,50000.0,82.38,38.52350342063321,1.4541387024608146,-75.49800796812744,89.42757710308412,47.150569886022794,82.83681636282793,78.28685258964143,63.46724922203367,50000.0,2334968.0,10.0,0.9090333415327244,0.09096665846727557
55000.0,6.071225,2.229443505979661E-6,55000.0,87.33,47.19221815857469,28.579481397970667,-28.109201213346868,92.65634962035587,53.87695668001455,88.70269670402841,74.82305358948432,63.93859364529234,55000.0,2425608.0,10.0,0.9553232272665355,0.044676772733464515
60000.0,6.499655,2.443648831933323E-6,60000.0,95.3,73.72528499680229,73.71364653243845,52.525252525252476,97.39091817475297,76.33434038267876,97.35849056603773,76.56565656565657,65.94015224650576,60000.0,1932648.0,10.0,0.9043155187436633,0.09568448125633669
65000.0,6.872935,2.6261434385076997E-6,65000.0,94.98,72.30959592750277,71.73423423423422,48.983739837398375,97.20862989323842,75.09920634920636,96.94986690328305,76.93089430894308,65.93192724549809,65000.0,1889808.0,10.0,0.8326917733422304,0.16730822665776957
70000.0,7.225951,2.8146903955832956E-6,70000.0,94.76,71.49980361696743,70.42889390519188,46.820027063599476,97.08110516934046,74.4140625,96.66469457180891,77.33423545331529,65.95432700458784,70000.0,2064560.0,10.0,0.8511252007058983,0.14887479929410175
75000.0,7.599388,3.0201316764288484E-6,75000.0,94.525,70.33639181839222,68.53448275862071,43.61483007209064,96.94875581686962,73.37709700948213,96.33403477683021,77.70339855818743,65.96162394434693,75000.0,2126536.0,10.0,0.9765645081110415,0.023435491888958607
80000.0,7.9554,3.2337202408164743E-6,80000.0,94.296,69.29387259184507,67.24850711988977,41.09871953738129,96.81852661639373,72.46040942448822,96.09814429336994,77.48864105741428,65.87616893664662,80000.0,2319080.0,10.0,0.9525925526053839,0.04740744739461599
85000.0,8.310393,3.457375523578376E-6,85000.0,94.19666666666666,68.76720180894053,66.58349328214967,39.84105044920522,96.76303802175327,71.98712791633145,96.00088541282373,77.29785763648928,65.82149023102428,85000.0,2435352.0,10.0,0.9653662583515124,0.034633741648487634
90000.0,8.699342,3.7270231245809965E-6,90000.0,94.14,68.77488363603811,66.63955757970072,39.94143484626646,96.72714506837728,72.03054684303832,95.95694158619598,77.33528550512445,65.82025278957086,90000.0,2679824.0,10.0,0.9240148567289168,0.0759851432710832
95000.0,9.101157,4.021093861220612E-6,95000.0,94.03,68.47946461869074,66.35672020287406,39.37547600913939,96.66163395403456,71.79971658006612,95.8708854441086,77.17694846407717,65.77382342318747,95000.0,2828968.0,10.0,0.9301449402236098,0.0698550597763901
100000.0,9.472721,4.310842741661602E-6,100000.0,94.17555555555556,69.06271556358527,67.17184368737476,40.87525377847959,96.74559519227188,72.3026524358026,96.03372199078069,77.1712158808933,65.80367350529794,100000.0,3014328.0,10.0,0.792222566980931,0.20777743301906895
