learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,1.086014,9.334369132088292E-8,5000.0,78.34,47.804109739569974,36.14386792452829,-2.7514231499051367,84.9185350229773,61.58212131961688,77.2681196147998,82.35294117647058,63.170614369196684,5000.0,332240.0,10.0,0.8861295120522622,0.11387048794773785,7937.400000000001,128.36770102586812,26939.199999999997,4091.8385109874507,12.6,2.4585451886114362,6.8,1.2292725943057181,6.8,1.2292725943057181,3.5999999999999996,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.009976,2.3609983541899256E-7,10000.0,80.72,51.70104510120335,41.646489104116235,7.129094412331423,86.83779355543419,63.976083707025424,80.26249369005552,82.46628131021194,63.78259460861314,10000.0,597232.0,10.0,0.7402463101251036,0.2597536898748964,15881.800000000001,161.20918087999826,52624.0,5929.473501079164,24.6,3.2386554137309647,12.8,1.6193277068654823,12.8,1.6193277068654823,5.2,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.732796,3.840360649509562E-7,15000.0,81.31333333333333,52.76895577435322,42.549702807952464,8.188666885031141,87.30927695024222,64.5772778971313,80.70645350297146,83.68817556501801,64.10823446874619,15000.0,791128.0,10.0,0.7649596910850524,0.23504030891494768,23792.1,173.71141458049198,71478.4,11522.52861137693,32.2,5.672545969648706,16.6,2.836272984824353,16.6,2.836272984824353,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,3.53401,5.847326319457756E-7,20000.0,81.925,54.00224962718282,44.00557620817844,10.806809770540356,87.76525535587368,65.41662680570171,81.30682887063398,84.3572662225512,64.35528243531861,20000.0,968264.0,10.0,0.7958314192783414,0.2041685807216587,31666.4,210.9440157429875,88612.0,8677.2450313065,42.8,5.370702416299421,21.9,2.6853512081497106,21.9,2.6853512081497106,6.799999999999999,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,4.335915,8.295425770493845E-7,25000.0,82.296,54.66893946048131,44.88169364881695,12.042925278219414,88.0533362124811,65.82767140210005,81.68569711538461,84.71780604133545,64.49874090955575,25000.0,1180072.0,10.0,0.948792809313617,0.05120719068638305,39563.19999999999,238.49286036366763,109170.40000000001,13419.952800049468,52.0,7.071067811865475,26.5,3.5355339059327373,26.5,3.5355339059327373,7.300000000000001,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,5.091848,1.0973852404310471E-6,30000.0,82.61666666666667,55.23904734822443,45.767470881863574,13.1990679094541,88.30166670405347,66.18247843849296,82.03567855951984,84.93675099866844,64.60890603434412,30000.0,1369616.0,10.0,0.8864119336222103,0.1135880663777897,47398.0,287.0327120343219,127577.59999999999,12588.644364399737,60.0,6.749485577105529,30.5,3.3747427885527643,30.5,3.3747427885527643,7.800000000000001,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,5.776516,1.3766461834332182E-6,35000.0,82.78,55.60212360191993,46.08158883521201,13.727454909819627,88.42008184909793,66.42900907926251,82.13750267723282,85.35642713999427,64.70972295900113,35000.0,1576640.0,10.0,0.8964372742555158,0.10356272574448404,55301.5,265.1725853100205,147666.40000000002,9517.277706010971,69.00000000000001,5.96284793999944,35.00000000000001,2.98142396999972,35.00000000000001,2.98142396999972,8.1,1.1005049346146116,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,6.395395,1.6590447987140054E-6,40000.0,82.9675,55.994231000640035,46.514366462553006,14.463276836158217,88.55784894949869,66.69599648042235,82.30060870922429,85.64971751412429,64.79782523807195,40000.0,1763840.0,10.0,0.84930612359563,0.15069387640437,63174.7,295.82504213733426,165857.6,12152.681306334556,76.8,6.285786435372356,38.9,3.142893217686178,38.9,3.142893217686178,8.3,1.0593499054713802,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,7.06663,1.9951208564783966E-6,45000.0,83.09111111111112,56.33036008306295,47.064143592597766,15.078125000000028,88.63904441955954,66.95331161780673,82.36126526082131,86.02678571428571,64.88221076980713,45000.0,1935376.0,10.0,0.8579493711088153,0.1420506288911847,71084.5,286.09837080587806,182484.0,14892.956963313598,84.60000000000001,7.229568912920513,42.800000000000004,3.6147844564602565,42.800000000000004,3.6147844564602565,8.7,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,7.735214,2.03531749461881E-6,50000.0,81.28,50.682385075730984,41.79104477611939,7.9646017699115,87.51667111229662,62.589928057553955,82.37509415013808,76.99115044247787,63.12017201192817,50000.0,232400.0,10.0,0.8455349750427522,0.15446502495724793,79000.0,246.10025057551945,17254.4,5752.0671298818015,97.39999999999999,6.168017869984201,49.199999999999996,3.0840089349921005,49.199999999999996,3.0840089349921005,2.8,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
