learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.709317,2.672505872324109E-8,5000.0,73.56,41.21765014310524,22.051886792452827,-25.426944971536997,80.78488372093024,57.62820512820513,70.42574759249874,85.29411764705883,62.39388296130429,5000.0,145640.0,10.0,0.8861295120522622,0.11387048794773785,1815.0,27.365834335698395,8891.199999999999,1814.4592582915716,3.6,0.9660917830792958,2.3000000000000003,0.4830458915396479,2.3000000000000003,0.4830458915396479,1.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.142259,4.516334264849623E-8,10000.0,74.1,41.5865929367681,21.610169491525426,-24.759152215799617,81.3561762165275,57.59659462999345,71.31499242806663,84.73025048169556,62.45903515700555,10000.0,164624.0,10.0,0.7402463101251036,0.2597536898748964,3592.8,54.69673969564672,10736.8,2815.3647010644995,4.3999999999999995,1.6465452046971292,2.6999999999999997,0.8232726023485647,2.6999999999999997,0.8232726023485647,1.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.480638,6.472933487345775E-8,15000.0,74.55333333333334,41.87359450442882,21.7667554826809,-25.024566000655064,81.84196755625325,57.48969818465308,72.00133924834687,84.53979692106125,62.55820013583513,15000.0,223512.0,10.0,0.7649596910850524,0.23504030891494768,5266.8,51.84978302751128,16420.0,1684.0427548016708,7.400000000000001,0.8432740427115677,4.2,0.42163702135578396,4.2,0.42163702135578396,2.2000000000000006,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.804825,8.74755180047618E-8,20000.0,75.145,42.83853158109609,23.001858736059457,-22.64988897113252,82.33412701233165,58.089537138521194,72.64062206057565,84.99876634591661,62.77726268452859,20000.0,271216.0,10.0,0.7958314192783414,0.2041685807216587,6983.3,54.285357141682425,21042.4,2184.5845371603273,9.6,1.6465452046971292,5.3,0.8232726023485646,5.3,0.8232726023485646,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.149926,1.1797569716970126E-7,25000.0,75.688,43.683199268091364,24.308841843088427,-20.78696343402225,82.79454226348865,58.57980100858663,73.23717948717949,85.4133545310016,62.97827681395012,25000.0,341632.0,10.0,0.948792809313617,0.05120719068638305,8686.6,98.77944005600455,27880.0,2064.80604416008,12.6,1.2649110640673518,6.8,0.6324555320336759,6.8,0.6324555320336759,3.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.429039,1.4554942660447623E-7,30000.0,76.38000000000001,44.73878733409887,26.310316139767064,-17.942743009320868,83.37556306306307,59.21961325966851,74.06218739579859,85.6358189081225,63.18583826774816,30000.0,381872.0,10.0,0.8864119336222103,0.1135880663777897,10382.9,119.51052952215824,31820.8,1168.7559197711046,13.799999999999999,1.0327955589886444,7.3999999999999995,0.5163977794943222,7.3999999999999995,0.5163977794943222,3.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.724443,1.7776494729436107E-7,35000.0,76.94857142857143,45.70251417010937,27.822508498837006,-15.488119095333502,83.83490282508515,59.84071677451468,74.68051688441494,86.04351560263383,63.38849116500739,35000.0,421552.0,10.0,0.8964372742555158,0.10356272574448404,12094.900000000001,120.33236380034194,35680.0,3007.5957175125777,15.4,1.8378731669453627,8.2,0.9189365834726815,8.2,0.9189365834726815,4.1000000000000005,0.567646212197547,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.01523,2.1352837214039434E-7,40000.0,77.52250000000001,46.669007670445204,29.415920866698087,-12.881355932203364,84.29656798532879,60.470433062211484,75.33010769470891,86.34023854362837,63.5748272192574,40000.0,475408.0,10.0,0.84930612359563,0.15069387640437,13778.9,119.70189824912731,40902.4,4322.920494295495,17.8,2.699794230842211,9.4,1.3498971154211055,9.4,1.3498971154211055,4.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.292075,2.502665670795573E-7,45000.0,77.94,47.40464099898391,30.93780436899959,-10.792410714285715,84.62479671648725,60.971102811087086,75.80188679245283,86.54017857142857,63.70676285997456,45000.0,512960.0,10.0,0.8579493711088153,0.1420506288911847,15502.900000000001,137.18555965471663,44538.4,3128.1012771328237,19.6,1.6465452046971292,10.3,0.8232726023485646,10.3,0.8232726023485646,4.6000000000000005,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.675771,3.098025841597054E-7,50000.0,68.72,34.826522704956005,2.7363184079602085,-53.785644051130745,76.48827420324716,53.28554360812424,63.87145367813206,87.70894788593904,61.558996410774746,50000.0,599784.0,10.0,0.8455349750427522,0.15446502495724793,17255.4,141.99624408178317,52990.4,3541.1542123374916,21.4,1.837873166945363,11.2,0.9189365834726815,11.2,0.9189365834726815,4.7,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.142832,3.2817632745537495E-7,55000.0,71.59,37.86246893123445,11.879652605459057,-38.924205378973106,79.23093793405953,55.054579971523495,68.12067881835324,85.08557457212714,61.888256840551016,55000.0,152064.0,10.0,0.9144021451197084,0.08559785488029162,19026.699999999997,155.37842693101075,9479.2,2201.237470151733,21.6,10.532489417670133,8.8,10.496560283148845,8.8,10.496560283148845,1.7000000000000002,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.378234,3.398118701287442E-7,60000.0,88.92,67.76251611583243,65.88669950738915,45.73947110675809,92.8974358974359,74.81818181818181,91.05302839909525,80.60724779627816,65.50959399114251,60000.0,191064.0,10.0,0.8290442236945821,0.17095577630541775,20810.1,159.17038390074688,13297.6,2520.068570495652,22.8,10.075272259900034,9.399999999999999,10.276186062932103,9.399999999999999,10.276186062932103,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,4.592807,3.514317068788741E-7,65000.0,88.39,66.25588560134861,63.673341677096374,41.949999999999996,92.55721520610297,73.61963190184048,90.2375,81.0,65.42887359568404,65000.0,209328.0,10.0,0.6306686754367614,0.36933132456323853,22475.2,153.5996238421318,15083.2,3831.971607410472,23.400000000000002,10.394442959795605,9.7,10.435516278555651,9.7,10.435516278555651,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
