learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,1.049911,8.393919701791472E-8,5000.0,78.48,47.806839515926896,36.55660377358491,-2.0872865275142125,85.06385341476957,61.51645207439199,77.64825139381652,81.59392789373814,63.09559796205173,5000.0,309040.0,10.0,0.8861295120522622,0.11387048794773785,7917.8,79.55962124930797,24673.6,4359.672648261564,11.799999999999999,2.6997942308422114,6.3999999999999995,1.3498971154211057,6.3999999999999995,1.3498971154211057,3.4000000000000004,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.898847,2.089523713166515E-7,10000.0,80.5,51.1785253611287,40.98062953995159,6.069364161849737,86.68396612947281,63.59223300970874,80.09843513377082,82.03275529865125,63.66537332656231,10000.0,569224.0,10.0,0.7402463101251036,0.2597536898748964,15846.199999999999,96.74341780653079,49916.8,3404.764661470746,23.2,1.9888578520235063,12.1,0.9944289260117531,12.1,0.9944289260117531,4.9,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.542603,3.3449165935731593E-7,15000.0,81.15333333333334,52.31691121983473,42.0577987292478,7.402554864068132,87.20640810969815,64.22877388333545,80.6478613877961,83.1313462168359,63.98812538366631,15000.0,753808.0,10.0,0.7649596910850524,0.23504030891494768,23779.1,152.73175468411546,67872.0,8452.94468086582,30.6,4.5995168828427575,15.8,2.2997584414213788,15.8,2.2997584414213788,6.300000000000001,0.8232726023485648,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,3.235428,5.012469718419015E-7,20000.0,81.81,53.656992574482096,43.64931846344487,10.239328892178657,87.69366078073205,65.14657980456026,81.28174578290587,83.88847767086109,64.25928404786482,20000.0,930376.0,10.0,0.7958314192783414,0.2041685807216587,31695.0,180.00370366560043,84972.79999999999,6468.382672662463,38.8,3.0477678535099892,19.9,1.5238839267549946,19.9,1.5238839267549946,7.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.989284,7.313149267000457E-7,25000.0,82.26400000000001,54.559198398844075,44.78206724782069,11.883942766295732,88.03497220573155,65.73945294390356,81.69070512820514,84.53895071542131,64.46504010772553,25000.0,1179696.0,10.0,0.9539135283822553,0.04608647161774474,39610.3,193.9089419747782,109078.39999999998,9164.90139608714,51.0,6.253887679764573,26.0,3.1269438398822866,26.0,3.1269438398822866,8.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.67258,9.763792105743454E-7,30000.0,82.56333333333333,55.08785231638043,45.601081530782025,12.932756324900147,88.26735449142087,66.06552059682129,82.01483827942647,84.75366178428762,64.56943937802815,30000.0,1386352.0,10.0,0.9079936662339904,0.09200633376600967,47506.2,217.07489746884852,129198.40000000002,11446.667707241268,58.99999999999999,6.666666666666667,29.999999999999996,3.3333333333333335,29.999999999999996,3.3333333333333335,8.5,0.8498365855987974,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,5.328726,1.2453143791047235E-6,35000.0,82.74000000000001,55.47140224704235,45.9563428162462,13.527054108216443,88.39630433529898,66.32476726684877,82.13750267723282,85.15602633839107,64.67099987931682,35000.0,1584344.0,10.0,0.924502772932271,0.07549722706772886,55441.7,204.66723669844623,148363.2,13544.120600631275,68.4,6.4670103001481465,34.7,3.2335051500740732,34.7,3.2335051500740732,9.000000000000002,0.9428090415820635,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.939828,1.5295267958463064E-6,40000.0,82.9125,55.85427189652981,46.35849945063569,14.208610518388348,88.52051527518853,66.59172002541668,82.26828583023756,85.5026986318564,64.76321958914912,40000.0,1797760.0,10.0,0.7670780542099717,0.23292194579002834,63361.4,202.3249311819427,169091.19999999998,11395.838429493071,77.4,5.641118880348315,39.2,2.8205594401741574,39.2,2.8205594401741574,9.100000000000001,0.875595035770913,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,6.567346,1.85400810195547E-6,45000.0,83.05333333333334,56.20708033542551,46.98275862068965,15.040106951871671,88.61553160361866,66.86364821413052,82.38951809904508,85.7174688057041,64.8280392470629,45000.0,1998784.0,10.0,0.7212214392935393,0.27877856070646073,71301.1,220.91650006280753,188643.2,13299.323130645911,85.40000000000002,7.589466384404117,43.20000000000001,3.7947331922020586,43.20000000000001,3.7947331922020586,9.4,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,7.164643,2.1936653926947878E-6,50000.0,83.11800000000001,56.39677089186657,47.05845459106876,15.165829145728637,88.65777132798539,67.00027366198836,82.37203495630462,86.12060301507537,64.90235703951359,50000.0,2198128.0,10.0,0.8292428676714821,0.17075713232851786,79208.3,265.30320180670515,207878.4,13300.012658306423,95.8,7.3151289196507765,48.4,3.6575644598253882,48.4,3.6575644598253882,9.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
