learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.691641,2.6089136935770508E-8,5000.0,73.68,40.90692247562994,22.40566037735848,-24.857685009487668,80.97716102919918,57.3004542504867,70.98327420172326,83.77609108159393,62.20115860723923,5000.0,145808.0,10.0,0.8861295120522622,0.11387048794773785,1824.1,71.17810212573964,8908.0,1803.4012310076757,3.5999999999999996,0.9660917830792959,2.3000000000000003,0.48304589153964794,2.3000000000000003,0.48304589153964794,1.2999999999999998,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.139405,4.466195684754186E-8,10000.0,74.35000000000001,41.74319619583301,22.366828087167093,-23.55491329479766,81.60631050555754,57.63831544178365,71.80716809692075,84.05587668593449,62.42256098215917,10000.0,160336.0,10.0,0.7402463101251036,0.2597536898748964,3555.1,95.9356844743162,10333.599999999999,2071.936678569111,3.9999999999999996,1.0540925533894596,2.5,0.5270462766947298,2.5,0.5270462766947298,1.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.539008,6.720819394621583E-8,15000.0,74.76666666666667,42.12049702054364,22.422627587620433,-23.976416639371088,82.03351212797266,57.62901600806,72.32778103289529,84.31051424828038,62.57761086865966,15000.0,218096.0,10.0,0.7649596910850524,0.23504030891494768,5232.799999999999,102.43784023060581,15892.0,1923.0725415334703,7.200000000000001,1.1352924243950937,4.1000000000000005,0.567646212197547,4.1000000000000005,0.567646212197547,2.2000000000000006,0.421637021355784,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.957798,9.71866574138403E-8,20000.0,75.31,43.07396245120289,23.51301115241635,-21.83567727609179,82.47444633730835,58.237483085250354,72.86009907819653,84.94942018258081,62.81112943992835,20000.0,276704.0,10.0,0.7958314192783414,0.2041685807216587,6943.2,106.7653709984864,21589.6,2677.2989373620567,9.599999999999998,1.6465452046971287,5.299999999999999,0.8232726023485644,5.299999999999999,0.8232726023485644,3.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.315277,1.2859436987174882E-7,25000.0,75.628,43.578570528812925,24.122042341220418,-21.085055643879187,82.74670819764974,58.50868232890705,73.17207532051282,85.37360890302067,62.957462667966034,25000.0,339616.0,10.0,0.9539135283822553,0.04608647161774474,8627.6,120.32566919268174,27690.4,2675.529405556964,12.4,1.3498971154211057,6.7,0.6749485577105528,6.7,0.6749485577105528,3.4000000000000004,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.597346,1.5513788148967757E-7,30000.0,75.92666666666666,44.0392046465158,24.896006655574038,-20.206391478029282,83.00145930424141,58.76441703779833,73.49116372124041,85.65246338215712,63.076070562337186,30000.0,363752.0,10.0,0.9079936662339904,0.09200633376600967,10312.7,138.03224261019605,30078.399999999998,2769.229784615209,12.8,1.4757295747452437,6.9,0.7378647873726218,6.9,0.7378647873726218,3.5999999999999996,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.893764,1.863149584726327E-7,35000.0,76.10285714285713,44.38061174624025,25.174449812130952,-19.725164614944195,83.14117552205113,58.97586815773985,73.62033269079747,86.0578299456055,63.181912490127054,35000.0,406568.0,10.0,0.924502772932271,0.07549722706772886,12000.1,107.53753866544558,34198.399999999994,3687.9774402780718,15.2,2.2010098692292237,8.1,1.1005049346146116,8.1,1.1005049346146116,3.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.163862,2.1761316501225034E-7,40000.0,76.4225,44.964287769256885,25.98493172186471,-18.375800175724848,83.39408025636962,59.36139957771363,73.92688789685636,86.45663361365634,63.321307928396564,40000.0,447920.0,10.0,0.7670780542099717,0.23292194579002834,13678.199999999999,134.60790797307914,38262.4,3450.183995093595,16.2,1.686548085423136,8.6,0.843274042711568,8.6,0.843274042711568,4.1,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.463418,2.5590330817426246E-7,45000.0,76.88666666666667,45.762312085523114,27.690489432703004,-15.875668449197835,83.76188468924171,59.91444097583536,74.46702198534311,86.5975935828877,63.45561747556925,45000.0,494096.0,10.0,0.7212214392935393,0.27877856070646073,15442.299999999997,117.72194169123956,42716.799999999996,3120.098459984877,18.599999999999998,1.8378731669453625,9.799999999999999,0.9189365834726813,9.799999999999999,0.9189365834726813,4.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.757352,2.970919457388421E-7,50000.0,77.31,46.47565418356571,28.844706472654302,-14.020100502512584,84.10374252126273,60.37511787922182,74.93632958801498,86.8643216080402,63.60044245051586,50000.0,541664.0,10.0,0.8292428676714821,0.17075713232851786,17127.5,107.35325902003262,47351.2,4161.415912883498,20.400000000000002,2.319003617456812,10.700000000000001,1.159501808728406,10.700000000000001,1.159501808728406,4.5,0.5270462766947297,0.0,0.0,0.0,0.0,1.0,0.0
