learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,2.278459,2.778332387014395E-7,5000.0,77.72,45.93324843138472,34.31603773584905,-5.692599620493364,84.5406605606439,60.128847530422334,77.19209325899645,79.69639468690703,62.62756740164499,5000.0,471352.0,10.0,0.8861295120522622,0.11387048794773785
10000.0,4.130658,6.155105426307352E-7,10000.0,80.67,50.52481069405322,41.49515738498789,6.88824662813101,86.93300885553978,62.87689648550029,81.14588591620394,78.85356454720616,63.245444591569225,10000.0,704720.0,10.0,0.7402463101251036,0.2597536898748964
15000.0,5.638814,9.954743295887277E-7,15000.0,81.75333333333333,52.524485477823504,43.90243902439025,10.350474942679337,87.76650426853796,64.11433066736595,82.17962668452331,80.08516213560432,63.69159850799154,15000.0,973864.0,10.0,0.7649596910850524,0.23504030891494768
20000.0,7.151458,1.4753792118343215E-6,20000.0,82.3,53.77067226335798,45.16728624535314,12.657290895632842,88.15498895804056,64.99901127150484,82.60487866056312,81.10041944238834,63.973685625996154,20000.0,1226368.0,10.0,0.7958314192783414,0.2041685807216587
25000.0,8.643978,2.034935417653372E-6,25000.0,82.628,54.497184395153155,45.91531755915319,13.692368839427676,88.39235600694909,65.4906634882797,82.8125,81.89586645468998,64.16937868927242,25000.0,1449192.0,10.0,0.9539135283822553,0.04608647161774474
30000.0,10.083782,2.6623945241566335E-6,30000.0,82.99666666666667,55.21278990901867,46.95299500831946,15.096537949400796,88.66822170387647,65.95929262595929,83.18189396465489,82.25699067909454,64.31152397582983,30000.0,1684552.0,10.0,0.9079936662339904,0.09200633376600967
35000.0,11.713126,3.4803478792702985E-6,35000.0,83.2,55.61036651946619,47.39667203435317,15.831663326653286,88.82001749248964,66.21854532919683,83.37616905832797,82.49355854566276,64.39521092519045,35000.0,1940520.0,10.0,0.924502772932271,0.07549722706772886
40000.0,13.408433,4.418369634811663E-6,40000.0,83.2475,55.78858021204128,47.410139695495204,15.890548512614513,88.84709485212122,66.35537480544258,83.32344769456498,82.94213631228818,64.47200632965698,40000.0,2138784.0,10.0,0.7670780542099717,0.23292194579002834
45000.0,15.367286,5.6096410572239096E-6,45000.0,83.35777777777777,56.07657745594784,47.935205784204655,16.566399286987515,88.92012250151647,66.58039180686332,83.41938707528314,83.11051693404634,64.5232330268194,45000.0,2350776.0,10.0,0.7212214392935393,0.27877856070646073
50000.0,17.428415,6.969391889133388E-6,50000.0,83.44,56.27527901441521,48.06823883592576,16.783919597989946,88.97792923511089,66.71758179918001,83.44818976279652,83.4070351758794,64.58622626742407,50000.0,2550096.0,10.0,0.8292428676714821,0.17075713232851786
55000.0,19.464498,8.421249428033415E-6,55000.0,84.02,59.33800852934888,52.8891509433962,24.193548387096744,89.16022249355582,69.6082160517307,83.27420172326406,86.81214421252372,65.20857802770043,55000.0,2756328.0,10.0,0.8861295120522622,0.11387048794773785
60000.0,21.41365,9.924393647948487E-6,60000.0,83.72,58.18734862176461,50.726392251816,21.579961464354557,89.01187904967603,68.59567901234568,83.21554770318022,85.64547206165703,64.97326753458634,60000.0,2980968.0,10.0,0.7402463101251036,0.2597536898748964
65000.0,23.311964,1.1492146286842309E-5,65000.0,83.71333333333332,57.76316584764053,49.92826398852223,19.980347199475908,89.06494785372186,68.10288549418985,83.2761362685193,85.42417294464461,64.94234158335452,65000.0,3192360.0,10.0,0.7649596910850524,0.23504030891494768
70000.0,25.22717,1.3193070260201476E-5,70000.0,83.795,57.93344580501315,49.7986369268897,20.034542314335045,89.12671520112725,68.20366918473462,83.29466357308584,85.76363187762152,65.0112096970029,70000.0,3432984.0,10.0,0.7958314192783414,0.2041685807216587
75000.0,27.086623,1.4956146258916705E-5,75000.0,83.91999999999999,58.04155584349113,49.93773349937732,20.11128775834656,89.23810033731327,68.21129210817651,83.46854967948718,85.7114467408585,65.03460548437764,75000.0,3665120.0,10.0,0.9539135283822553,0.04608647161774474
80000.0,29.002899,1.6886089584287255E-5,80000.0,84.04,58.16573220103935,50.207986688851925,20.30625832223705,89.34152531053827,68.24512534818942,83.6403801267089,85.6358189081225,65.05309351499578,80000.0,3893040.0,10.0,0.9079936662339904,0.09200633376600967
85000.0,30.94019,1.896354290559267E-5,85000.0,84.07714285714286,58.19533718907398,50.14313830738952,20.22616661895221,89.37525022401007,68.23958511426454,83.67244948954095,85.69997137131405,65.07157998328744,85000.0,4145136.0,10.0,0.924502772932271,0.07549722706772886
90000.0,33.133328,2.144511262527977E-5,90000.0,84.085,58.232594865030826,50.03924030764401,20.09539349817998,89.37973374261784,68.2620400837571,83.62626041894296,85.92945901845111,65.10678141280563,90000.0,4373840.0,10.0,0.7670780542099717,0.23292194579002834
95000.0,35.186323,2.3878970406243782E-5,95000.0,84.16,58.41814341630561,50.44493882091212,20.58823529411766,89.43029152703222,68.4070561120468,83.70808349988896,85.97370766488413,65.13098171469034,95000.0,4582576.0,10.0,0.7212214392935393,0.27877856070646073
100000.0,37.468051,2.6714839607268156E-5,100000.0,84.19200000000001,58.477328327077615,50.42649272453589,20.56281407035174,89.45542837322235,68.43702579666162,83.71285892634207,86.12060301507537,65.1600840126487,100000.0,4804240.0,10.0,0.8292428676714821,0.17075713232851786
