learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.552104,3.764191036423048E-8,5000.0,78.10000000000001,52.32097156187615,49.539170506912455,29.080310880829014,83.12008632649915,68.83005977796755,78.05442964678633,78.20181112548512,62.50124814199142,5000.0,263544.0,10.0,0.8016697295670959,0.19833027043290427,6338.599999999999,72.65168041185748,20347.2,2272.7360310134277,9.6,1.8973665961010273,5.3,0.9486832980505137,5.3,0.9486832980505137,2.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.155164,1.0353391309579216E-7,10000.0,80.54,56.70609660031175,54.297792390793795,35.86025049439684,85.31320754716981,71.17037037037038,81.16025272831706,79.11725955204216,63.300377621377436,10000.0,422352.0,10.0,0.7237926296836502,0.2762073703163499,12743.1,105.68238579189372,35812.0,4989.464099480024,16.6,1.2649110640673518,8.8,0.6324555320336759,8.8,0.6324555320336759,4.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.591884,1.706692077053918E-7,15000.0,81.5,58.61671809428002,56.08482354802974,38.26473859844269,86.1159753839996,72.2860281633876,81.93849376368657,80.47587280409162,63.72094760904341,15000.0,594224.0,10.0,0.7437153245639415,0.2562846754360585,19151.399999999994,148.02717468236875,52482.4,7765.519274330596,24.2,3.0110906108363236,12.6,1.5055453054181618,12.6,1.5055453054181618,5.4,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.998445,2.4623722517242034E-7,20000.0,81.875,59.379719236205155,56.7319169252805,39.40153794717486,86.42067802959357,72.75460353250656,82.29880136986301,80.88235294117648,63.871189575394524,20000.0,718480.0,10.0,0.7611014708756468,0.2388985291243533,25511.7,158.8115934754833,64568.0,8471.225649219834,29.799999999999997,2.859681411936963,15.399999999999999,1.4298407059684815,15.399999999999999,1.4298407059684815,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.460881,3.5301068836202227E-7,25000.0,82.364,60.41041823522464,57.83282325937261,40.78699973139942,86.80927449513838,73.39969834087479,82.65724703737466,81.67293233082707,64.09566665699829,25000.0,892512.0,10.0,0.8646358903285533,0.1353641096714468,31948.0,194.10306540598486,81442.40000000001,12119.964532401349,37.599999999999994,5.25357021462548,19.299999999999997,2.62678510731274,19.299999999999997,2.62678510731274,6.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.925355,4.792495667147967E-7,30000.0,82.63666666666667,60.999307795738986,58.66529122361531,41.83787405091559,87.0174214291055,73.79383206721337,82.96264613629883,81.87095333779861,64.1937690656378,30000.0,1050592.0,10.0,0.7314655179962953,0.2685344820037047,38401.399999999994,245.53533350619816,96774.4,11401.109840712877,44.6,3.238655413730965,22.8,1.6193277068654826,22.8,1.6193277068654826,7.4,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.361586,6.158561950176954E-7,35000.0,82.92285714285714,61.66739809413517,59.201365187713314,42.79287901990812,87.22453777920273,74.25371527029938,83.11201629327903,82.47846889952153,64.34098328297458,35000.0,1210480.0,10.0,0.9070204988041952,0.09297950119580463,44795.8,263.3210123699884,112263.2,8091.522213609337,52.0,3.018461712712472,26.5,1.509230856356236,26.5,1.509230856356236,7.8,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.741697,7.548900672069026E-7,40000.0,83.09,62.067040645230435,59.56963538553496,43.269311414912345,87.34423530292258,74.52737817277999,83.1380231522707,82.97693920335429,64.44279679600061,40000.0,1413880.0,10.0,0.6811992221701256,0.3188007778298745,51209.9,285.9997863247065,132015.19999999998,9831.066188364313,60.6,3.747591819348053,30.8,1.8737959096740264,30.8,1.8737959096740264,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.072107,8.896467454048493E-7,45000.0,83.25333333333333,62.414235029932954,60.00424583377561,43.794749403341285,87.47215480267313,74.7503853112645,83.2826843937955,83.18419090231171,64.51102140256873,45000.0,1576520.0,10.0,0.6283806056215836,0.3716193943784165,57636.2,288.83513175050825,147791.19999999998,10798.726147097163,67.8,4.341018825626588,34.4,2.170509412813294,34.4,2.170509412813294,8.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.395742,1.0355291686165663E-6,50000.0,83.33,62.62049484175566,60.233778625954216,44.056648097187754,87.52002635243386,74.90440490169513,83.26732955354854,83.4776189517482,64.56487987003786,50000.0,1742408.0,10.0,0.7548420082632026,0.2451579917367975,63979.0,261.70381901854,163941.6,10720.780104285528,74.19999999999999,4.917090377222872,37.599999999999994,2.458545188611436,37.599999999999994,2.458545188611436,8.7,0.8232726023485648,0.0,0.0,0.0,0.0,1.0,0.0
