learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.454007,1.5014115830676425E-8,5000.0,95.56,78.44378917015968,74.71526195899773,55.241935483870954,97.48811948404617,80.895008605852,95.64831261101243,94.75806451612904,68.99390863096927,5000.0,127832.0,10.0,0.9638458889544852,0.036154111045514796,965.0,22.125902367034787,7170.4,4705.5493291313915,3.9999999999999996,3.1622776601683795,2.5,1.5811388300841898,2.5,1.5811388300841898,1.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.702754,2.5753529990712802E-8,10000.0,96.57,82.86226376405045,80.59954751131222,65.2834008097166,98.06749676038088,84.762327854287,96.57123834886818,96.5587044534413,69.48559973158278,10000.0,166888.0,10.0,0.9114040090707566,0.08859599092924347,1904.3,38.494011078203954,10953.6,5627.590192771483,5.800000000000001,3.155242550986462,3.4000000000000004,1.577621275493231,3.4000000000000004,1.577621275493231,1.7999999999999998,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.972361,4.020856478561958E-8,15000.0,97.01333333333334,84.75943309445557,83.06878306878305,69.60651289009492,98.32222305445285,86.4160097028502,97.0501256838681,96.67571234735414,69.59271478237184,15000.0,207248.0,10.0,0.9034830871602909,0.09651691283970906,2848.6000000000004,60.60106343034657,14840.0,3959.2232683809193,8.0,1.699673171197595,4.500000000000001,0.8498365855987974,4.500000000000001,0.8498365855987974,2.6999999999999997,0.483045891539648,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.182657,5.3132713838583894E-8,20000.0,97.17,85.54262463381463,83.95691609977325,71.23983739837401,98.41046955740282,87.11293260473589,97.16614906832298,97.20528455284553,69.70857795514992,20000.0,237560.0,10.0,0.872281590441645,0.12771840955835503,3792.0,73.49829930005185,17789.6,2522.6132482011585,9.2,1.1352924243950933,5.1,0.5676462121975466,5.1,0.5676462121975466,3.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.359289,6.476296062684722E-8,25000.0,97.38799999999999,86.44346647330163,84.99540441176468,73.16070694615696,98.53610419889255,87.89171147784165,97.38556299020694,97.41060419235512,69.78469874954001,25000.0,254520.0,10.0,0.951002208274905,0.04899779172509502,4699.299999999999,76.67108682910109,19446.4,2595.051153424319,9.800000000000002,1.398411797560202,5.400000000000001,0.699205898780101,5.400000000000001,0.699205898780101,3.4000000000000004,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.537686,7.750186335088478E-8,30000.0,97.50333333333333,86.9872730781957,85.66781477229237,74.27884615384612,98.60154222446275,88.37137090513895,97.47858830478441,97.73351648351648,69.85916274696915,30000.0,276024.0,10.0,0.8898697826609928,0.11013021733900703,5623.499999999999,73.84255021477941,21527.2,3009.319923172011,10.8,1.7511900715418263,5.9,0.8755950357709131,5.9,0.8755950357709131,3.6999999999999997,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.721636,9.144857267745667E-8,35000.0,97.62285714285714,87.52352888073844,86.32028937849392,75.42097488921716,98.66973650550014,88.8412017167382,97.5992408666772,97.84342688330871,69.90040553351352,35000.0,293072.0,10.0,0.9106042591142162,0.08939574088578371,6554.9,97.05147545961833,23177.600000000002,2982.6778125257397,11.6,1.8973665961010278,6.3,0.9486832980505139,6.3,0.9486832980505139,3.8999999999999995,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.889115,1.0557870001221696E-7,40000.0,97.735,88.16847990588695,87.09401709401712,76.80491551459299,98.73166088027774,89.42577030812325,97.69767828447942,98.07987711213516,69.96026647258688,40000.0,326128.0,10.0,0.896135967365645,0.10386403263435492,7556.999999999999,125.55830872104366,26333.6,3305.163206593923,13.8,2.1499353995462798,7.4,1.0749676997731399,7.4,1.0749676997731399,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.042899,1.1999484140632881E-7,45000.0,97.76444444444444,88.3675181576566,87.36180904522612,77.25525661315847,98.74747877188177,89.60958479652965,97.7302412696848,98.07822744743386,69.9657896255589,45000.0,362360.0,10.0,0.8944788228347628,0.10552117716523725,8559.6,143.39626525432521,29807.2,4514.050676621953,16.0,2.8674417556808756,8.5,1.4337208778404378,8.5,1.4337208778404378,4.2,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.216132,1.3825339355816444E-7,50000.0,97.08,85.45668402833118,83.66890380313198,70.9163346613546,98.35400225479142,87.0796460176991,96.97643397065362,98.00796812749005,69.81840769061975,50000.0,407416.0,10.0,0.9090333415327244,0.09096665846727557,9537.8,140.2353577224927,34139.2,5042.154319115766,18.6,3.238655413730964,9.8,1.619327706865482,9.8,1.619327706865482,4.300000000000001,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.389184,1.5866898433615765E-7,55000.0,97.31,86.3624647984291,84.83652762119502,72.8008088978766,98.48748945740792,87.85553047404062,97.19232049717013,98.38220424671385,69.9239809979173,55000.0,456024.0,10.0,0.9553232272665355,0.044676772733464515,10483.3,153.940861660863,38770.4,4921.405472242886,22.0,2.70801280154532,11.5,1.35400640077266,11.5,1.35400640077266,4.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.57271,1.8253765888512137E-7,60000.0,99.0,94.55132326563171,94.40715883668904,89.8989898989899,99.44308309200267,95.10763209393347,99.0899001109878,98.18181818181819,70.22672537802221,60000.0,502728.0,10.0,0.9043155187436633,0.09568448125633669,11434.8,145.84299015646155,43274.4,3845.8493412451244,24.4,2.3190036174568114,12.7,1.1595018087284057,12.7,1.1595018087284057,4.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.745581,2.0628031087004477E-7,65000.0,99.21,95.64813100998616,95.5518018018018,91.97154471544714,99.56064734998054,96.08717186726102,99.2790594498669,98.57723577235772,70.33070012843335,65000.0,530896.0,10.0,0.8326917733422304,0.16730822665776957,12382.9,132.41219312770585,46023.200000000004,3171.4716107475683,25.4,1.837873166945363,13.2,0.9189365834726815,13.2,0.9189365834726815,4.699999999999999,0.48304589153964805,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,2.90767,2.2973267742536137E-7,70000.0,99.21333333333334,95.66326470608988,95.56057185854024,92.01623815967521,99.5625417068288,96.10046265697291,99.30483656263867,98.37618403247632,70.299541356099,70000.0,559288.0,10.0,0.8511252007058983,0.14887479929410175,13332.099999999999,135.13404867431132,48779.200000000004,2639.2381392279754,26.599999999999998,1.8378731669453632,13.799999999999999,0.9189365834726816,13.799999999999999,0.9189365834726816,4.699999999999999,0.48304589153964805,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,3.068345,2.5401496781864104E-7,75000.0,99.22999999999999,95.69952190970714,95.57471264367814,92.07003089598348,99.57250721741062,96.12676056338027,99.31886144645033,98.40370751802266,70.30692870629342,75000.0,584176.0,10.0,0.9765645081110415,0.023435491888958607,14239.5,140.39092246691425,51188.0,2787.5666808168016,27.8,2.3475755815545343,14.4,1.1737877907772671,14.4,1.1737877907772671,4.9,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,3.230228,2.7956666956552207E-7,80000.0,99.312,96.13946874816457,96.0496095544327,92.89549772821148,99.61825284090908,96.52103559870551,99.39324150759555,98.55431639818258,70.34691853695124,80000.0,610128.0,10.0,0.9525925526053839,0.04740744739461599,15176.5,144.17601125784475,53700.0,3978.768988854049,28.999999999999996,2.98142396999972,14.999999999999998,1.49071198499986,14.999999999999998,1.49071198499986,4.9,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,3.38403,3.0521923210264917E-7,85000.0,99.34666666666668,96.31470069402963,96.23800383877162,93.2273669661369,99.63772134117038,96.67683960664633,99.43554932487272,98.51416724257084,70.34730211021663,85000.0,644720.0,10.0,0.9653662583515124,0.034633741648487634,16092.2,144.5228163455321,57024.799999999996,4501.901149020886,31.0,3.265986323710904,16.0,1.632993161855452,16.0,1.632993161855452,5.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,3.545341,3.3343958684760674E-7,90000.0,99.38,96.52873122772584,96.4703968770332,93.64568081991217,99.65588874264601,96.87274823461594,99.48393224631945,98.41874084919473,70.33894246708472,90000.0,676240.0,10.0,0.9240148567289168,0.0759851432710832,17107.6,140.18337197320474,60095.200000000004,4935.327092616164,32.2,3.552776691859794,16.6,1.7763883459298977,16.6,1.7763883459298977,5.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
