learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.211288,1.75770492437813E-7,5000.0,97.44,94.71642037480395,94.74548440065682,93.75000000000001,97.82312925170068,96.89320388349513,97.4915254237288,97.36585365853658,69.79566230831709,5000.0,560920.0,10.0,0.6091838230584276,0.3908161769415725
10000.0,2.094408,3.783557192318969E-7,10000.0,98.14,96.1467485539224,96.16019818331958,95.40627315386516,98.43170320404722,97.71498771498773,98.11733064380567,98.17329054554432,70.0518774176235,10000.0,886728.0,10.0,0.6208436557445285,0.3791563442554716
15000.0,2.981714,6.437943375152018E-7,15000.0,98.45333333333333,96.78676436478838,96.7844767844768,96.14873837981409,98.70376578388647,98.08296149396794,98.42879429462893,98.48987719880517,70.16385670226411,15000.0,1156360.0,10.0,0.6368850391124199,0.3631149608875801
20000.0,3.79201,9.296898216547237E-7,20000.0,98.67,97.23216990647596,97.22048066875654,96.67292057535961,98.88926006347086,98.34288562172938,98.65033741564608,98.69951231711892,70.2406310002916,20000.0,1363848.0,10.0,0.7549119653601692,0.2450880346398308
25000.0,4.552293,1.2278150759430395E-6,25000.0,98.788,97.47723664835073,97.46061012403621,96.96696696696696,98.98821250876549,98.48900413903156,98.76066098081023,98.82906325060048,70.28330602486815,25000.0,1515744.0,10.0,0.7830932342536777,0.21690676574632245
30000.0,5.323283,1.558672132032613E-6,30000.0,98.85333333333334,97.61481662599283,97.59910664433279,97.13381103149476,99.04146232724031,98.57332448573325,98.75527895087798,99.00033322225926,70.31280327457034,30000.0,1658800.0,10.0,0.6056043782773922,0.3943956217226079
35000.0,6.073099,1.9075437766686083E-6,35000.0,98.94857142857143,97.81156964205738,97.79772591262717,97.36747979111526,99.12217928533944,98.68936533941164,98.848660735525,99.09877691152278,70.34689716807839,35000.0,1798512.0,10.0,0.572095057184498,0.427904942815502
40000.0,6.828475,2.2824601317817967E-6,40000.0,99.0125,97.94309659527705,97.93518034500785,97.52180186962796,99.17679178042223,98.76628041353031,98.8985410864957,99.18449281726366,70.37098725749117,40000.0,1918552.0,10.0,0.567284367461016,0.4327156325389841
45000.0,7.548546,2.662433994807717E-6,45000.0,99.08,98.08242672362726,98.07316392069255,97.68740922801922,99.234070894694,98.84833648603538,98.97770888692058,99.23480786416444,70.3939835410465,45000.0,2039768.0,10.0,0.7447383560268303,0.2552616439731697
50000.0,8.199163,3.0277463979108466E-6,50000.0,98.88,97.68229610289679,97.7039770397704,97.23593287265548,99.05341446923596,98.62879529872674,98.55364951227716,99.35865811544153,70.3406546080783,50000.0,2170408.0,10.0,0.5880192714518019,0.4119807285481983
55000.0,8.889505,3.408381604784065E-6,55000.0,99.06,98.05372513695978,98.0375782881002,97.67958528758332,99.20648320108053,98.84719156242336,98.78950907868192,99.45705824284305,70.40002970907132,55000.0,2131312.0,10.0,0.6553714751081475,0.3446285248918525
60000.0,9.74258,3.920753981543498E-6,60000.0,99.56,99.08318053008836,99.08902691511388,98.89779559118239,99.63345551482838,99.44972486243121,99.60026648900732,99.4994994994995,70.55135824144473,60000.0,2321672.0,10.0,0.5912774520867687,0.4087225479132312
65000.0,10.594349,4.47025857526602E-6,65000.0,99.6,99.16497671871589,99.16317991631799,98.99295065458207,99.66799468791501,99.49698189134809,99.63491536674411,99.54705586311022,70.56592152552362,65000.0,2493744.0,10.0,0.4547807742188939,0.5452192257811062
70000.0,11.443143,5.049384887688276E-6,70000.0,99.56,99.08057838863283,99.07524169819253,98.88944977284201,99.63547995139733,99.4450983689255,99.6134732192159,99.47855340622371,70.54998699954515,70000.0,2637384.0,10.0,0.5331401697829738,0.4668598302170263
75000.0,12.251632,5.628156566510185E-6,75000.0,99.595,99.15393956759544,99.14718888186987,98.97920604914934,99.66430436404326,99.48963518366833,99.67669733897041,99.47083280836588,70.55982039151891,75000.0,2767168.0,10.0,0.7496441663545079,0.25035583364549224
80000.0,13.096498,6.258387906776949E-6,80000.0,99.59599999999999,99.15669873438013,99.150689539186,98.98472054684358,99.66461896065084,99.49207945687705,99.71428571428571,99.41708542713567,70.5569576904754,80000.0,2883464.0,10.0,0.6326666170808536,0.3673333829191464
85000.0,13.933705,6.9050757318755825E-6,85000.0,99.59666666666666,99.15769384761859,99.15248301463893,98.9853249475891,99.66547786901108,99.49221536782912,99.73441044652243,99.38794332187474,70.55536013804996,85000.0,2985824.0,10.0,0.6022718578089012,0.3977281421910988
90000.0,14.828158,7.6245069619723495E-6,90000.0,99.58857142857143,99.14018969837734,99.13762127200862,98.96305897602073,99.65921999242711,99.48096885813148,99.73947231301217,99.35920512635899,70.55116537651436,90000.0,3109096.0,10.0,0.5731249427749672,0.42687505722503294
95000.0,15.699449,8.349233648340322E-6,95000.0,99.6125,99.18992833191427,99.18750327619648,99.02226707878637,99.6792417689299,99.51068598667803,99.74735970180161,99.40712708924629,70.56105278251026,95000.0,3215240.0,10.0,0.44384627594098686,0.5561537240590129
100000.0,16.555524,9.085695409023514E-6,100000.0,99.61777777777779,99.20111118951598,99.19850885368128,99.03625259147198,99.68349771823935,99.51761274399821,99.76059813634856,99.40052664014792,70.56222870213506,100000.0,3325376.0,10.0,0.5717914577638659,0.42820854223613414
