learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.750893,5.8556696275870004E-8,5000.0,97.28,94.37533086289042,94.41707717569786,93.359375,97.69725702675245,96.6780654616512,97.79661016949153,96.53658536585365,69.70172084234098,5000.0,301440.0,10.0,0.6091838230584276,0.3908161769415725,5773.5,66.63207435862503,23946.4,3166.933715055551,12.600000000000001,1.837873166945363,6.800000000000001,0.9189365834726815,6.800000000000001,0.9189365834726815,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.434729,1.5607593750788107E-7,10000.0,98.08,96.01837965720489,96.03633360858794,95.25808841689306,98.38465421504291,97.6337194971654,98.28542612203732,97.77832633917552,70.01138344248255,10000.0,551240.0,10.0,0.6208436557445285,0.3791563442554716,11575.800000000001,95.20014005591935,47960.799999999996,4265.547269824952,26.8,2.7406406388125952,13.9,1.3703203194062976,13.9,1.3703203194062976,4.7,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.921285,2.396189500143131E-7,15000.0,98.42666666666666,96.72887061097599,96.72903672903672,96.08233731739708,98.68347651455986,98.04538678151398,98.5625139291286,98.2243611018918,70.14037265210037,15000.0,663712.0,10.0,0.6368850391124199,0.3631149608875801,17389.6,134.38849157076896,58884.8,5041.106333600459,31.6,3.657564459825388,16.299999999999997,1.828782229912693,16.299999999999997,1.828782229912693,5.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.316166,3.186737985598544E-7,20000.0,98.665,97.2199683488711,97.21003134796238,96.66041275797375,98.88652570999625,98.33343736346045,98.77530617345663,98.49943728898337,70.22726384076914,20000.0,773864.0,10.0,0.7549119653601692,0.2450880346398308,23171.7,137.4983232220992,69529.6,5226.297674049747,37.0,3.39934634239519,19.0,1.699673171197595,19.0,1.699673171197595,5.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.687012,4.0045145666640667E-7,25000.0,98.776,97.45093873429545,97.43546765001676,96.93693693693693,98.97925145106412,98.4716811507342,98.85394456289978,98.65892714171338,70.26963634896177,25000.0,852400.0,10.0,0.7830932342536777,0.21690676574632245,28992.5,160.58590639696027,77179.2,5061.143937446903,40.0,3.681787005729087,20.5,1.8408935028645435,20.5,1.8408935028645435,5.800000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.074416,4.933601721148524E-7,30000.0,98.85333333333334,97.61369300689591,97.59910664433279,97.13381103149476,99.04236957853128,98.57130990946092,98.8497443876417,98.8587137620793,70.30441987345479,30000.0,927032.0,10.0,0.6056043782773922,0.3943956217226079,34868.8,219.5145148326696,84402.40000000001,4632.152828029557,43.599999999999994,3.533962208186285,22.299999999999997,1.7669811040931425,22.299999999999997,1.7669811040931425,6.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.488099,6.011953250587815E-7,35000.0,98.94,97.79264694164867,97.7797725912627,97.3460190285428,99.11588780592426,98.67674858223062,98.93905514058709,98.94142049924898,70.33499762561951,35000.0,1007616.0,10.0,0.572095057184498,0.427904942815502,40722.9,229.96108366417124,92184.0,5857.674320448726,47.599999999999994,4.115013163202923,24.299999999999997,2.0575065816014617,24.299999999999997,2.0575065816014617,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.890142,7.135606206498212E-7,40000.0,99.00999999999999,97.93695171805646,97.9299529534762,97.51552795031056,99.17544663307375,98.76149371364234,98.98582650983,99.04648390941597,70.3619766669552,40000.0,1080344.0,10.0,0.567284367461016,0.4327156325389841,46578.20000000001,262.0787837442939,99239.2,6918.871532908301,50.8,4.661902329879223,25.9,2.3309511649396115,25.9,2.3309511649396115,6.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.310997,8.393562322027153E-7,45000.0,99.08444444444444,98.09082332792947,98.0824723075491,97.69858116411574,99.23844731977817,98.85236768802228,99.06997342781222,99.10634495084896,70.38755543039217,45000.0,1155408.0,10.0,0.7447383560268303,0.2552616439731697,52406.899999999994,269.0350865180572,106449.59999999999,7948.431839747453,55.199999999999996,5.996295152471695,28.099999999999998,2.9981475762358474,28.099999999999998,2.9981475762358474,6.6000000000000005,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.73755,9.766293269106082E-7,50000.0,99.02,97.97057886048913,97.9909799097991,97.58144126357354,99.17299578059071,98.79754601226995,98.82273797510932,99.30932412432166,70.37969559813239,50000.0,1243984.0,10.0,0.5880192714518019,0.4119807285481983,58151.899999999994,227.8373932825301,115023.2,9005.744694977264,59.4,5.796550698475775,30.2,2.8982753492378874,30.2,2.8982753492378874,6.7,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
