learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.4683,2.6552103459835054E-8,5000.0,97.11999999999999,93.32033520042333,93.36405529953916,90.67357512953366,97.89964994165695,95.41984732824427,97.1627099015634,97.02457956015525,69.67554977567788,5000.0,219168.0,10.0,0.8016697295670959,0.19833027043290427,2936.6,57.23479904937403,15977.6,2631.903544331871,8.8,1.4757295747452437,4.9,0.7378647873726218,4.9,0.7378647873726218,2.6999999999999997,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.772826,4.9561855143143076E-8,10000.0,97.74000000000001,94.69283440591308,94.69234382339128,92.55108767303891,98.36846664741553,96.32400780741706,97.83170591614015,97.5296442687747,69.88586233726298,10000.0,292072.0,10.0,0.7237926296836502,0.2762073703163499,5751.099999999999,87.52199723498101,23077.600000000002,2026.3054063985521,11.6,1.3498971154211057,6.3,0.6749485577105528,6.3,0.6749485577105528,3.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.008751,7.186024850027429E-8,15000.0,97.96000000000001,95.17901331859015,95.15746162367464,93.1924360400445,98.53462312039078,96.64400087738541,97.95296581928973,97.97642873026462,69.98739074818306,15000.0,365344.0,10.0,0.7437153245639415,0.2562846754360585,8536.6,115.1648094399211,30066.4,3715.6840913439705,16.599999999999998,2.7968235951204043,8.799999999999999,1.3984117975602022,8.799999999999999,1.3984117975602022,4.3999999999999995,0.6992058987801008,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.257116,1.0353966874587867E-7,20000.0,98.13,95.5738723078729,95.53592742898064,93.74791039786024,98.65834409527909,96.91520950181459,98.10930365296804,98.17847593582889,70.05137036289814,20000.0,493048.0,10.0,0.7611014708756468,0.2388985291243533,11359.8,131.8431728312931,42348.8,2457.4984932740945,23.8,1.6865480854231354,12.4,0.8432740427115677,12.4,0.8432740427115677,4.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.453665,1.3265365067662465E-7,25000.0,98.252,95.85175281650224,95.82058148431521,94.13107708836958,98.7483889445797,97.10308253231686,98.21672743846855,98.33512352309344,70.09847554718327,25000.0,572576.0,10.0,0.8646358903285533,0.1353641096714468,14139.9,151.14264785294728,50072.0,2701.1819635115294,27.199999999999996,1.9888578520235058,14.099999999999998,0.9944289260117529,14.099999999999998,0.9944289260117529,5.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.642331,1.6399972883984448E-7,30000.0,98.35333333333334,96.09662172882679,96.0799873036026,94.4841447074587,98.81993215804309,97.27643621126916,98.29864081361087,98.48180397410137,70.13922668302529,30000.0,642232.0,10.0,0.7314655179962953,0.2685344820037047,17018.200000000004,179.8899663683325,56830.4,4155.032589790629,30.2,3.0110906108363236,15.6,1.5055453054181618,15.6,1.5055453054181618,5.2,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.833461,1.9869422904526195E-7,35000.0,98.46285714285715,96.35515465913049,96.32764505119454,94.85068912710565,98.89866939611053,97.4562647754137,98.39511201629327,98.622009569378,70.18139382800673,35000.0,701672.0,10.0,0.9070204988041952,0.09297950119580463,19841.8,147.54795830508837,62650.399999999994,4612.929539168503,31.999999999999996,3.1622776601683786,16.5,1.581138830084189,16.5,1.581138830084189,5.4,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.021091,2.353535901154909E-7,40000.0,98.545,96.54639604633557,96.52121936640766,95.11867818502057,98.95833333333334,97.5878647214854,98.46838824577026,98.72536687631028,70.21284695874405,40000.0,755240.0,10.0,0.6811992221701256,0.3188007778298745,22641.0,174.1627591268195,67803.2,5107.3387895371825,35.0,3.2659863237109037,18.0,1.6329931618554518,18.0,1.6329931618554518,5.699999999999999,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.20445,2.7300643757192625E-7,45000.0,98.61999999999999,96.72338326665074,96.70417153168452,95.3684367541766,99.01226320561149,97.7109366360721,98.52801519468186,98.83668903803132,70.24327445256114,45000.0,793776.0,10.0,0.6283806056215836,0.3716193943784165,25500.2,161.98888850782302,71551.2,4924.723947142171,36.6,3.5023801430836516,18.8,1.7511900715418258,18.8,1.7511900715418258,5.699999999999999,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.426878,3.209014113019738E-7,50000.0,98.68599999999999,96.87994934063498,96.86545801526717,95.59030807436739,99.05953420461215,97.8202448492087,98.58115615829512,98.93295751962955,70.26985727855235,50000.0,832344.0,10.0,0.7548420082632026,0.2451579917367975,28350.8,152.13575808760046,75312.8,5055.521004033335,38.0,3.1622776601683795,19.5,1.5811388300841898,19.5,1.5811388300841898,5.699999999999999,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
