learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.40104,2.2919601400693258E-7,5000.0,96.58,93.15792438794233,93.20349761526232,93.01185124642419,96.50806616295691,96.64902998236332,95.43618739903069,97.70206022187004,69.4870936974811,5000.0,632352.0,10.0,0.518143019154826,0.481856980845174
10000.0,2.351793,4.6074714623598583E-7,10000.0,97.5,94.99955356014185,95.04165013883379,94.9525540076721,97.46398863866911,97.53500295799645,96.42713769570453,98.56516540454365,69.81982223914784,10000.0,941416.0,10.0,0.47836194436290735,0.5216380556370926
15000.0,3.308955,7.576199300359519E-7,15000.0,98.04,96.08001923403897,96.08574091332714,96.04306864064604,98.02206673842842,98.05761099365749,97.10743801652893,98.97305948252867,70.0143730777934,15000.0,1198912.0,10.0,0.5289545573707779,0.471045442629222
20000.0,4.112926,1.0391223642374904E-6,20000.0,98.33,96.66013279312014,96.64826894129452,96.58416854162405,98.32042643065473,98.33946504921944,97.48703629836459,99.17769755314882,70.11860199895484,20000.0,1353456.0,10.0,0.5984789987062809,0.40152100129371915
25000.0,4.948085,1.376591825706677E-6,25000.0,98.512,97.02414718329963,97.01803607214428,96.95356645647367,98.50710329882013,98.51686468383701,97.74609748327492,99.28479588556735,70.18384667586308,25000.0,1561952.0,10.0,0.41096968714610177,0.5890303128538984
30000.0,5.71025,1.7124383334422274E-6,30000.0,98.64666666666668,97.29341744189,97.28137136734968,97.24353316586327,98.64004823474242,98.65322099117627,97.91195637717782,99.38510894265472,70.23123687502458,30000.0,1703312.0,10.0,0.5663906506745,0.4336093493255
35000.0,6.483227,2.084901901711192E-6,35000.0,98.77142857142857,97.5429655732907,97.53185627367698,97.49738098009546,98.76882551680696,98.77402064207105,98.08359397213535,99.46597760551249,70.27616444742269,35000.0,1862600.0,10.0,0.5069833985843758,0.49301660141562414
40000.0,7.282119,2.501111785806715E-6,40000.0,98.8775,97.7550883933945,97.7466626518117,97.71640728308412,98.8762357652359,98.87876139343238,98.24919174334742,99.51244031163608,70.31387346302711,40000.0,2013848.0,10.0,0.5665833631169519,0.4334166368830481
45000.0,8.114984,2.967402525492426E-6,45000.0,98.95111111111112,97.90223856922242,97.89717544328612,97.85493546627886,98.95685997171145,98.94529853414372,98.3525897289461,99.56379007959707,70.34137825784748,45000.0,2164136.0,10.0,0.6927794413546671,0.3072205586453331
50000.0,8.962393,3.4709174736713366E-6,50000.0,99.5,98.94690266381392,98.92194911599827,98.7012987012987,99.59170341335947,99.35517152437451,99.18672739102146,100.0,70.56676402369274,50000.0,2296792.0,10.0,0.6722549278421812,0.3277450721578188
55000.0,9.757687,3.972836883639295E-6,55000.0,99.48,98.76498682549698,98.68487607486091,98.25970548862115,99.62788034921998,99.13707268503153,99.2868349736129,99.93308798929408,70.57264394985265,55000.0,2439544.0,10.0,0.9375389544805588,0.06246104551944121
60000.0,10.46544,4.436887629487448E-6,60000.0,99.53999999999999,97.8812232158978,97.84442361761947,96.22331691297205,99.73747289122247,98.14366424535916,99.49897517649738,99.83579638752053,70.5929832851711,60000.0,2534464.0,10.0,0.8043137757600887,0.19568622423991117
65000.0,11.119928,4.878242953874998E-6,65000.0,99.35000000000001,96.7887355562266,96.70719351570418,94.15467625899285,99.6330793113181,97.15536105032822,99.29117911791178,99.82014388489209,70.55340583607638,65000.0,2606688.0,10.0,0.8326917633628416,0.16730823663715838
70000.0,11.76286,5.322139027855462E-6,70000.0,99.46666666666667,97.27050993425206,97.20279720279721,95.02487562189059,99.70046428036542,97.56986634264884,99.41756272401435,99.87562189054727,70.5856190407369,70000.0,2668816.0,10.0,0.8511252007058983,0.14887479929410175
75000.0,12.407862,5.779216738873058E-6,75000.0,99.53999999999999,97.56899817357774,97.5013579576317,95.55984555984551,99.74278684857974,97.82608695652173,99.49799196787149,99.9034749034749,70.60479213044721,75000.0,2739248.0,10.0,0.9765645081110415,0.023435491888958607
80000.0,13.078643,6.269233669286801E-6,80000.0,99.528,97.47179946567041,97.41000877963128,95.37436299490402,99.73654833668229,97.73512476007677,99.49663682123925,99.80399843198745,70.58693846123847,80000.0,2823792.0,10.0,0.9525925526053839,0.04740744739461599
85000.0,13.756328,6.776491986068173E-6,85000.0,99.49333333333334,97.26054100566405,97.19142645971914,94.97354497354497,99.71754562009885,97.54283866795991,99.46248517200475,99.76851851851852,70.57460656824863,85000.0,2893368.0,10.0,0.9653662583515124,0.034633741648487634
90000.0,14.434354,7.295051903292123E-6,90000.0,99.50571428571429,97.33661180072313,97.2755905511811,95.11988716502117,99.7243247549996,97.61214630779847,99.47862025115244,99.74612129760226,70.57349742445011,90000.0,2956344.0,10.0,0.9240148567289168,0.0759851432710832
95000.0,15.095626,7.81297304144957E-6,95000.0,99.5025,97.32984268184485,97.27397260273976,95.10936347997055,99.72238885091303,97.60731032824336,99.4739918176505,99.75423937085279,70.57411550783036,95000.0,3027512.0,10.0,0.9301449402236098,0.0698550597763901
100000.0,15.779088,8.359568578218007E-6,100000.0,99.53111111111112,97.47392782243193,97.4224285365258,95.37584922200311,99.73848270391532,97.73532252871097,99.50293048445731,99.78084593469208,70.58395292471748,100000.0,3091392.0,10.0,0.792222566980931,0.20777743301906895
