learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.612805,4.552563089463446E-8,5000.0,95.98,91.95706593765405,92.01112877583465,91.78586023702493,95.88199139520592,96.07345184606369,94.50726978998385,97.42472266244057,69.26976116106226,5000.0,287168.0,10.0,0.518143019154826,0.481856980845174,3928.1,77.46174683172477,22633.6,3378.549432325457,10.8,1.9888578520235058,5.9,0.9944289260117529,5.9,0.9944289260117529,3.4000000000000004,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.027921,8.846391167077753E-8,10000.0,96.89,93.77924305829532,93.83181277270924,93.72097718554411,96.83073473963111,96.94708942770197,95.36330790847049,98.40573933838182,69.6004754378252,10000.0,399832.0,10.0,0.47836194436290735,0.5216380556370926,7883.3,96.49876222579827,33587.2,4178.904396556059,15.399999999999999,2.4585451886114362,8.200000000000001,1.2292725943057183,8.200000000000001,1.2292725943057183,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.331418,1.2974704133346675E-7,15000.0,97.52,95.04003244920992,95.04726401278126,94.99327052489906,97.48953974895397,97.54972994335397,96.28099173553719,98.75966924513203,69.82847932267127,15000.0,525800.0,10.0,0.5289545573707779,0.471045442629222,11743.7,120.42521884278801,45792.8,4764.4154310891045,21.2,2.8982753492378874,11.1,1.4491376746189437,11.1,1.4491376746189437,4.7,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.584106,1.6906403770256374E-7,20000.0,97.905,95.81022876150963,95.79528349222277,95.71487011658826,97.88735945141934,97.92234839093568,96.79896290386917,99.01724829522664,69.96717287397995,20000.0,601448.0,10.0,0.5984789987062809,0.40152100129371915,15643.2,143.65839109962667,53126.40000000001,5745.930718536569,24.6,2.7968235951204026,12.8,1.3984117975602013,12.8,1.3984117975602013,4.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.828227,2.1341450785390203E-7,25000.0,98.13199999999999,96.26426643849476,96.25651302605209,96.17557939562688,98.12125357042282,98.14262418963528,97.1248805352023,99.14818386370942,70.04874452816976,25000.0,702256.0,10.0,0.41096968714610177,0.5890303128538984,19556.2,176.8406690278634,62932.0,6415.8883337470215,28.599999999999998,3.3730961708462712,14.799999999999999,1.6865480854231356,14.799999999999999,1.6865480854231356,5.1,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.061943,2.5911109519294563E-7,30000.0,98.28666666666666,96.57348032341298,96.55818936654613,96.51028583067418,98.27424120333065,98.29891448239343,97.32012235669637,99.25812057211603,70.10318161981174,30000.0,755784.0,10.0,0.5663906506745,0.4336093493255,23367.0,216.1285625630159,68152.0,7193.853178621004,30.6,4.087922591134904,15.8,2.043961295567452,15.8,2.043961295567452,5.4,0.6992058987801009,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.33548,3.178204867347247E-7,35000.0,98.42571428571428,96.85163654332321,96.83733210882791,96.79315562798277,98.41880219244126,98.43256621056524,97.51492749502417,99.34539190353145,70.15346024939818,35000.0,829648.0,10.0,0.5069833985843758,0.49301660141562414,27248.3,214.7044738963559,75344.8,9131.701226435787,33.4,4.880801391392834,17.2,2.440400695696417,17.2,2.440400695696417,5.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.616453,3.818585407692525E-7,40000.0,98.57249999999999,97.14517685629374,97.13439726989861,97.09592106601565,98.56780957636259,98.5771598016496,97.73190748570008,99.42196531791907,70.20574634665228,40000.0,881000.0,10.0,0.5665833631169519,0.4334166368830481,31087.500000000004,237.9552945874968,80306.40000000001,9804.372031564959,36.0,5.436502143433363,18.5,2.7182510717166815,18.5,2.7182510717166815,5.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.877705,4.452402251917455E-7,45000.0,98.67111111111112,97.34236443000485,97.33582820992605,97.28231230685329,98.67581930912313,98.6663693131133,97.88252866493872,99.47834689931196,70.24259312629529,45000.0,937792.0,10.0,0.6927794413546671,0.3072205586453331,34932.7,246.82924822187795,85860.0,11154.411503974554,37.8,6.338594306135848,19.4,3.169297153067924,19.4,3.169297153067924,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.091847,4.998101493592064E-7,50000.0,99.33999999999999,98.61071771501626,98.57697283311772,98.28571428571428,99.46051986267778,99.1501416430595,98.95901106050748,99.94807892004154,70.51721243436758,50000.0,985040.0,10.0,0.6722549278421812,0.3277450721578188,38362.6,215.34478813701938,90376.8,9162.361228902126,41.0,4.521553322083512,21.0,2.260776661041756,21.0,2.260776661041756,6.1,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
