learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.81464,4.428067339791192E-8,5000.0,79.16,58.357737883620345,58.58505564387917,57.41724560686554,80.00767459708365,78.2372598162072,84.20840064620356,74.20760697305863,62.93171053198502,5000.0,210112.0,10.0,0.518143019154826,0.481856980845174,4994.2,53.07813946333176,15184.0,2328.0962179428925,6.199999999999999,1.0327955589886444,3.5999999999999996,0.5163977794943222,3.5999999999999996,0.5163977794943222,2.3000000000000003,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.416778,9.781193585859405E-8,10000.0,81.04,62.09730182366353,62.39587465291551,61.720169594185336,82.14016578749059,79.79539641943734,87.51505419510237,74.61139896373057,63.66444320789135,10000.0,343648.0,10.0,0.47836194436290735,0.5216380556370926,9964.6,96.00254626252823,28088.800000000003,4520.347597253998,12.8,2.3944379994757297,6.9,1.1972189997378648,6.9,1.1972189997378648,3.6999999999999993,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.937791,1.673315445250935E-7,15000.0,82.02000000000001,64.0386024601774,64.09266409266411,63.70121130551818,83.24324324324324,80.60409924487595,89.29618768328446,74.73993064817284,64.03829290577968,15000.0,515776.0,10.0,0.5289545573707779,0.471045442629222,14939.699999999999,125.83768204406118,44748.8,3904.1278667584643,21.0,1.8856180831641265,11.0,0.9428090415820632,11.0,0.9428090415820632,4.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.374859,2.425645739916298E-7,20000.0,82.39,64.7646486621291,64.65629703963872,63.98036408263448,83.68235730170495,80.875325803649,90.05783805345034,74.67910148415564,64.17494439763972,20000.0,665368.0,10.0,0.5984789987062809,0.40152100129371915,19322.6,144.99747124231746,59284.0,3798.5639391749087,26.8,2.5733678754158373,13.9,1.2866839377079187,13.9,1.2866839377079187,5.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.784815,3.2548502386444147E-7,25000.0,82.652,65.27954791329523,65.23446893787576,64.48284333797396,83.9495207431257,81.12624570259803,90.33131570563874,74.90356798457087,64.27186081214111,25000.0,781856.0,10.0,0.41096968714610177,0.5890303128538984,22925.899999999998,138.03980907292248,70639.20000000001,5738.836986320097,30.6,3.8643671323171835,15.8,1.9321835661585918,15.8,1.9321835661585918,5.3,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.187806,4.167815551741256E-7,30000.0,82.64666666666668,65.27952970885119,65.13994910941476,64.65476271301515,83.92813040256854,81.14314691393798,90.39100944274504,74.8629862317872,64.27557772485056,30000.0,875712.0,10.0,0.5663906506745,0.4336093493255,26551.3,106.81037194746348,79818.39999999998,4619.345677570463,33.2,3.1902629637347726,17.1,1.5951314818673863,17.1,1.5951314818673863,5.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.631863,5.248595681558881E-7,35000.0,82.83142857142856,65.63634242519207,65.50912639191824,65.02735420789197,84.13046348870989,81.30076240858877,90.57719647426784,75.01004880849842,64.34035383854487,35000.0,940808.0,10.0,0.5069833985843758,0.49301660141562414,30149.1,127.85099834486157,86162.40000000001,5070.851675124317,35.8,3.2930904093942583,18.4,1.6465452046971292,18.4,1.6465452046971292,6.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.092805,6.405139029336472E-7,40000.0,82.87,65.71134703003217,65.60931539851435,65.1528251029853,84.18209520291796,81.32053868382314,90.69339434938321,74.964817048653,64.35413961005854,40000.0,969880.0,10.0,0.5665833631169519,0.4334166368830481,33747.299999999996,186.75120109683695,88969.6,8332.417058959809,39.8,3.293090409394259,20.4,1.6465452046971294,20.4,1.6465452046971294,6.199999999999999,0.421637021355784,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.521258,7.526771130619777E-7,45000.0,83.00444444444445,65.94927493088898,65.93318485523386,65.2821281038631,84.37972305052898,81.36361421121887,90.84791978186296,74.99326206091096,64.38966956018139,45000.0,1011928.0,10.0,0.6792694836493179,0.32073051635068206,37228.0,209.88144801821412,93020.0,11731.25814982254,44.0,2.538591035287969,22.5,1.2692955176439844,22.5,1.2692955176439844,6.3999999999999995,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.906287,8.585684146566522E-7,50000.0,85.22,69.16885919605734,69.42490690939181,64.47115384615384,87.77097468144962,81.32423553196865,91.38525155065473,76.69208770257387,64.82232240000904,50000.0,1063088.0,10.0,0.6146281128358515,0.3853718871641484,40406.299999999996,215.29568814384876,97972.0,10173.617645655846,48.2,1.0327955589886442,24.6,0.5163977794943221,24.6,0.5163977794943221,6.7,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.216358,9.487673155114881E-7,55000.0,86.21,69.36597384747196,69.03906600808261,61.0781823313576,89.53002809202036,79.8067066920486,91.56701351141481,76.52344846953103,64.82485286927881,55000.0,1124456.0,10.0,0.8966322457058483,0.10336775429415171,42804.0,229.6862594448736,103953.6,9197.788951699207,50.4,1.3498971154211048,25.7,0.6749485577105524,25.7,0.6749485577105524,6.8,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
