learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.206725,1.4033143253376088E-7,5000.0,79.67999999999999,59.38401866672124,59.61844197138314,58.479771148344895,80.19493177387915,79.13757700205338,83.07754442649434,76.3470681458003,63.131729853595544,5000.0,449520.0,10.0,0.518143019154826,0.481856980845174
10000.0,2.092905,2.8978211062235965E-7,10000.0,81.06,62.134285976586746,62.43554145180483,61.76054916212396,81.97220635827148,80.05055824731409,86.43115214773184,75.72738142686329,63.67074162725669,10000.0,651896.0,10.0,0.47836194436290735,0.5216380556370926
15000.0,3.042586,5.288829214477705E-7,15000.0,81.96666666666667,63.93210093329766,63.98615364132606,63.59353970390309,83.05456367850655,80.7295006055425,88.36310317248733,75.56681781808481,64.0175602843806,15000.0,973208.0,10.0,0.5289545573707779,0.471045442629222
20000.0,3.860642,7.96791687982364E-7,20000.0,82.44,64.86595200224858,64.75664826894129,64.08263448557989,83.63161819537657,81.06125970664367,89.46948544076585,75.37103890894504,64.19511748367451,20000.0,1265920.0,10.0,0.5984789987062809,0.40152100129371915
25000.0,4.627645,1.0942518242283001E-6,25000.0,82.828,65.63238763569579,65.5899326707278,64.84317418720825,84.08408408408408,81.3566682590003,90.31538706594456,75.27322404371584,64.34061918991385,25000.0,1499112.0,10.0,0.4698727184314916,0.5301272815685085
30000.0,5.366964,1.4236193687737817E-6,30000.0,82.89999999999999,65.78618978558367,65.64885496183206,65.17075157851856,84.18033797952387,81.3941679965182,90.76339938821651,74.9966582007753,64.3739189402416,30000.0,1722072.0,10.0,0.648776427046345,0.351223572953655
35000.0,6.212124,1.8452847211083606E-6,35000.0,83.16857142857143,66.31057303740644,66.18837169259025,65.71810986964618,84.49451214697444,81.59465117005654,91.28703861684582,74.97272779468335,64.47087838930247,35000.0,1928552.0,10.0,0.45059089756801,0.54940910243199
40000.0,7.084678,2.3323855212848222E-6,40000.0,83.2925,66.5579418635515,66.47436540583928,66.02958369338687,84.64983806876909,81.67183171982558,91.70399124116652,74.80156736662313,64.51851645221504,40000.0,2157888.0,10.0,0.5870262470529477,0.41297375294705213
45000.0,7.966316,2.8770359974747736E-6,45000.0,83.46666666666667,66.89786955795833,66.89213243147027,66.38199810220956,84.85465352984286,81.79861043154908,92.07457147905991,74.75406903952782,64.58108092130924,45000.0,2387976.0,10.0,0.47956843090577195,0.520431569094228
50000.0,8.878459,3.5017446176624965E-6,50000.0,83.582,67.13305816697758,67.04139398562653,66.67613867013071,84.95335154059057,81.93561164535792,92.20546691600684,74.86628865564805,64.62811995788962,50000.0,2647384.0,10.0,0.5159920771407429,0.48400792285925726
55000.0,9.827688,4.198987665259176E-6,55000.0,90.06,69.73632483774529,70.71302298173245,52.846299810246656,93.73187034935049,76.00193143408983,94.17131272174353,74.66793168880456,64.96907810846405,55000.0,2839328.0,10.0,0.8861295120522622,0.11387048794773785
60000.0,10.786201,4.977006106436667E-6,60000.0,90.41,70.32934366651841,70.98335854765507,53.805394990366096,93.98632971718818,76.33851468048358,94.57344775365976,74.51830443159922,65.01764225678653,60000.0,3137576.0,10.0,0.7402463101251036,0.2597536898748964
65000.0,11.785217,5.835115566396466E-6,65000.0,90.56666666666666,70.40983074506832,71.00409836065572,53.65214543072385,94.11177229412009,76.29418663092645,94.65137691470662,74.58237798886341,65.04493733250307,65000.0,3320264.0,10.0,0.7649596910850524,0.23504030891494768
70000.0,12.772246,6.737478622864519E-6,70000.0,90.59,70.43018688891772,70.85333746321822,53.56526030101162,94.12975670617591,76.29722921914357,94.61967768232269,74.73476437207007,65.06812623212551,70000.0,3533896.0,10.0,0.7958314192783414,0.2041685807216587
75000.0,13.761505,7.661207623359645E-6,75000.0,90.656,70.41587738524015,70.9127132362097,53.57710651828301,94.18529397122516,76.22633828617953,94.74659455128204,74.42368839427664,65.03273847562447,75000.0,3609416.0,10.0,0.9539135283822553,0.04608647161774474
80000.0,14.762701,8.613867570039715E-6,80000.0,90.63333333333333,70.17416757693833,70.78090880732036,53.22902796271638,94.18195370408714,75.98701076739019,94.79826608869624,74.00133155792277,64.96144965412545,80000.0,3678080.0,10.0,0.9079936662339904,0.09200633376600967
85000.0,15.765469,9.620853021420126E-6,85000.0,90.74857142857144,70.48449617490739,71.03497629483856,53.65015745777272,94.25703238622255,76.22264649728301,94.85257371314343,74.29144002290295,65.02768905167366,85000.0,3881728.0,10.0,0.924502772932271,0.07549722706772886
90000.0,16.789201,1.0693479139558559E-5,90000.0,90.7725,70.49999927668652,71.0350780820843,53.67139450232208,94.27565563982073,76.21931576573675,94.88340149221116,74.24375549140203,65.02444866809968,90000.0,4050088.0,10.0,0.7670780542099717,0.23292194579002834
95000.0,17.78778,1.1795565350330954E-5,95000.0,90.79777777777778,70.59379374951357,71.21306916927355,53.865864527629235,94.29055963821368,76.29786503348407,94.92005329780146,74.25356506238859,65.03337957545149,95000.0,4266144.0,10.0,0.7212214392935393,0.27877856070646073
100000.0,18.788516,1.2953985053046298E-5,100000.0,90.83200000000001,70.66363165808846,71.25117591721542,53.92964824120603,94.31420704026195,76.34430797811952,94.92883895131085,74.34170854271358,65.05200755818848,100000.0,4474544.0,10.0,0.8292428676714821,0.17075713232851786
