learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.381561,1.6475900808970135E-8,5000.0,95.66,78.09380133318903,75.28473804100227,56.249999999999986,97.55823112411389,80.50314465408806,96.24777975133215,90.32258064516128,68.29538058984909,5000.0,166912.0,10.0,0.9638458889544852,0.036154111045514796,972.8000000000001,26.071696019502316,10915.199999999999,1363.7553381095245,6.3999999999999995,0.9660917830792958,3.6999999999999997,0.4830458915396479,3.6999999999999997,0.4830458915396479,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.602112,3.0092824945847196E-8,10000.0,95.49,77.87416986436423,74.49095022624432,54.35222672064774,97.45240919618143,80.3656943839791,95.71682201509098,93.42105263157895,68.76370311557362,10000.0,238656.0,10.0,0.9114040090707566,0.08859599092924347,1920.3000000000002,32.632805579661635,17817.6,1571.9397217733542,10.4,0.9660917830792959,5.7,0.48304589153964794,5.7,0.48304589153964794,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.78742,4.307402364081807E-8,15000.0,96.08666666666666,80.45286135921633,77.81557067271352,60.17639077340565,97.79513954099839,82.61770802487415,96.24427029424811,94.640434192673,69.08051543071338,15000.0,270784.0,10.0,0.9034830871602909,0.09651691283970906,2856.8000000000006,34.70446657132183,20975.999999999996,341.7913593602595,11.2,0.6324555320336759,6.1,0.31622776601683794,6.1,0.31622776601683794,3.1000000000000005,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.947433,5.5548302423622875E-8,20000.0,96.61,82.83673614868913,80.78231292517005,65.54878048780485,98.09357777527836,84.71596032461677,96.73358473824312,95.47764227642277,69.32013181873393,20000.0,301344.0,10.0,0.872281590441645,0.12771840955835503,3797.0,36.70906639449654,23923.2,1283.7013152079678,12.8,1.1352924243950933,6.9,0.5676462121975466,6.9,0.5676462121975466,3.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.092823,6.763425085279677E-8,25000.0,96.992,84.48918292117791,82.72852549379881,69.10435497124075,98.31269071979895,86.15611192930781,97.08410883630239,96.1380443714051,69.50218579435246,25000.0,321328.0,10.0,0.951002208274905,0.04899779172509502,4712.700000000001,49.77739335169025,25880.8,1274.5408585055252,13.400000000000002,1.2649110640673518,7.200000000000001,0.6324555320336759,7.200000000000001,0.6324555320336759,3.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.223905,7.906253154906962E-8,30000.0,97.28999999999999,85.88702365117267,84.45506692160612,72.10020590253944,98.48187776595148,87.3894834806887,97.3565679686923,96.67124227865477,69.64693285553697,30000.0,337008.0,10.0,0.8898697826609928,0.11013021733900703,5657.5,64.8095500507277,27421.6,1571.1082571088336,13.8,1.0327955589886444,7.4,0.5163977794943222,7.4,0.5163977794943222,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.342702,8.9718477703217E-8,35000.0,97.46285714285715,86.68353259247384,85.40913572132763,73.78984651711922,98.58019953952419,88.0901287553648,97.5199291408326,96.93034238488784,69.72271357415036,35000.0,346728.0,10.0,0.9106042591142162,0.08939574088578371,6581.8,90.32386174206682,28393.600000000002,1612.7174582052494,13.8,1.0327955589886444,7.4,0.5163977794943222,7.4,0.5163977794943222,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.475994,1.0246495199907157E-7,40000.0,97.6075,87.56708690129467,86.45626945938297,75.69832402234641,98.65930709852762,88.8966237382527,97.64294825578172,97.28288471305231,69.80792092750544,40000.0,369648.0,10.0,0.8960597986339224,0.10394020136607762,7649.799999999999,115.08238594830904,30528.8,1664.506119610926,16.2,2.1499353995462798,8.6,1.0749676997731399,8.6,1.0749676997731399,4.200000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.634309,1.2075042253774073E-7,45000.0,97.65777777777778,88.31338219303811,87.35756267242412,77.44006849315068,98.67989278825681,89.62394172081119,97.6839912715731,97.43150684931507,69.84187463851615,45000.0,446464.0,10.0,0.6171150671204418,0.3828849328795584,9074.7,122.98423566547955,37918.4,3138.8191410146587,20.400000000000002,2.503331114069145,10.700000000000001,1.2516655570345725,10.700000000000001,1.2516655570345725,4.699999999999999,0.48304589153964805,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.896637,1.59812651982324E-7,50000.0,98.56,96.75572794255476,96.64022398506768,95.60975609756099,98.92150988615937,97.83393501805054,98.27380952380952,99.14634146341463,70.25314067485242,50000.0,575592.0,10.0,0.5567755430354807,0.4432244569645192,12041.3,112.13687073294751,50331.200000000004,3872.5200752653727,27.8,2.5298221281347035,14.4,1.2649110640673518,14.4,1.2649110640673518,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
