learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.053688,1.6582403168082237E-7,5000.0,96.34,92.45342152795534,92.48768472906404,91.06445312500001,96.88085904209989,95.57222356641665,96.33898305084746,96.34146341463415,69.40469120770612,5000.0,608328.0,10.0,0.6091838230584276,0.3908161769415725
10000.0,1.836523,3.547233226460715E-7,10000.0,97.49,94.8036556096463,94.81833195706028,93.80093850333415,97.8806045765431,96.92288831678313,97.42813918305598,97.58084423599112,69.82280849032196,10000.0,932744.0,10.0,0.6208436557445285,0.3791563442554716
15000.0,2.623012,6.014680932462215E-7,15000.0,97.96000000000001,95.76531106677922,95.75883575883577,94.9203187250996,98.28744123572868,97.47774480712167,97.84934254513038,98.12479256554928,69.99538111737796,15000.0,1212712.0,10.0,0.6368850391124199,0.3631149608875801
20000.0,3.238024,8.243626765658458E-7,20000.0,98.215,96.28829767212218,96.26959247648902,95.53470919324577,98.50683842904346,97.78136846684482,98.10880613180039,98.37439039639865,70.08623198036099,20000.0,1400936.0,10.0,0.7549119653601692,0.2450880346398308
25000.0,3.809112,1.0533409385465914E-6,25000.0,98.436,96.74683538136381,96.7230975527992,96.08608608608608,98.69252633338907,98.05424234884299,98.32755863539445,98.59887910328263,70.16524027940706,25000.0,1549864.0,10.0,0.7830932342536777,0.21690676574632245
30000.0,4.380798,1.3048568895417784E-6,30000.0,98.56666666666666,97.01901459668389,96.9993021632938,96.41756227609764,98.8014271379195,98.2175426960703,98.48846901917199,98.68388171595169,70.20903623023244,30000.0,1700632.0,10.0,0.6056043782773922,0.3943956217226079
35000.0,4.766919,1.4906111231591138E-6,35000.0,98.71714285714286,97.32990796744113,97.31330780277645,96.78826895565093,98.92893776388922,98.40094020442322,98.65829289180702,98.80560720926907,70.26092443547056,35000.0,1859592.0,10.0,0.572095057184498,0.427904942815502
40000.0,5.094766,1.6630982094878952E-6,40000.0,98.7925,97.48521445375232,97.47569771088116,96.97121715683203,98.99309971022953,98.4920857918891,98.71938796723629,98.9027525236692,70.28907107276804,40000.0,2033704.0,10.0,0.5672510684973626,0.43274893150263727
45000.0,5.421361,1.8492101950384676E-6,45000.0,98.87333333333333,97.65390451185907,97.64284718025013,97.17643127645356,99.06022354445867,98.59365898310726,98.81295762147771,98.96424991647177,70.31664232917224,45000.0,2202760.0,10.0,0.5733118060084624,0.4266881939915375
50000.0,5.769051,2.0601554277063242E-6,50000.0,99.52,99.03331595987294,99.03303787268331,98.94921190893169,99.55686853766618,99.47643979057592,99.3001841620626,99.78118161925602,70.54809809295334,50000.0,2345200.0,10.0,0.5435243106636137,0.4564756893363863
55000.0,6.207956,2.344121574260708E-6,55000.0,99.55000000000001,99.09993584342693,99.07730161984828,99.09383809907372,99.54605064057299,99.55388123327054,99.33561505939198,99.76157361414664,70.55090160188222,55000.0,2500912.0,10.0,0.4284846340285832,0.5715153659714168
60000.0,6.666724,2.6585315467893245E-6,60000.0,99.6,99.16977599394002,99.18334013883218,99.0108803165183,99.50568462679189,99.66409136714813,99.50568462679189,99.66409136714813,70.56376123654762,60000.0,2649144.0,10.0,0.30214930932654555,0.6978506906734545
65000.0,7.071679,2.9517524183831276E-6,65000.0,99.68,99.33587336865077,99.33319441550323,99.20909540286704,99.6046454163578,99.73122795229297,99.6046454163578,99.73122795229297,70.59317838301567,65000.0,2798920.0,10.0,0.2812554902519122,0.7187445097480877
70000.0,7.430542,3.2241104815631274E-6,70000.0,99.67333333333333,99.32171449019397,99.31612002791348,99.1918192314036,99.59580961808135,99.72590479386922,99.5547493403694,99.7538048343778,70.58834078209148,70000.0,2933688.0,10.0,0.36614981423466186,0.6338501857653382
75000.0,7.775093,3.49476107429713E-6,75000.0,99.71,99.3981352653219,99.39241567148544,99.28350833848054,99.64170990857426,99.75642533176551,99.61709486166008,99.77318548387096,70.60281161992259,75000.0,3036392.0,10.0,0.49657548948212327,0.5034245105178766
80000.0,8.16124,3.8065108947435186E-6,80000.0,99.72800000000001,99.4350882467591,99.42823509627513,99.32646592709986,99.66319960376424,99.77188862797719,99.64345845300583,99.78527813191975,70.60961984477143,80000.0,3120728.0,10.0,0.37958916076627575,0.6204108392337242
85000.0,8.523933,4.1087173917185925E-6,85000.0,99.73333333333333,99.44617980924438,99.43973667623783,99.33998844979787,99.66983078827899,99.77634889572268,99.61227520211186,99.81541559458552,70.60943470894972,85000.0,3220824.0,10.0,0.3426297937517653,0.6573702062482347
90000.0,8.866916,4.402173591806656E-6,90000.0,99.73142857142857,99.44210712577576,99.43759722388417,99.3349370312721,99.66725663716815,99.77485029940118,99.59674566678459,99.8226695422957,70.60796966509523,90000.0,3307296.0,10.0,0.502356765728833,0.49764323427116697
95000.0,9.236385,4.727893748722142E-6,95000.0,99.7425,99.46476776384998,99.4619443138484,99.36104218362283,99.68035254321447,99.78441509512946,99.62161156255816,99.82411323757276,70.61262719941294,95000.0,3407760.0,10.0,0.24442948005214982,0.7555705199478502
100000.0,9.614096,5.070616985215908E-6,100000.0,99.74888888888889,99.47797299185633,99.4753215396759,99.37655172413793,99.68814681937353,99.78982609504324,99.64139909522233,99.82138870283546,70.61564766361238,100000.0,3507408.0,10.0,0.361616136301725,0.6383838636982749
