learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.368524,2.481663611945179E-7,5000.0,96.16,90.92674937942746,91.15207373271889,87.56476683937824,97.24137931034484,93.68421052631578,97.97336421540244,92.10866752910736,68.93512017551537,5000.0,2603032.0
10000.0,0.957627,1.04167760891219E-6,10000.0,97.1,93.09437258993603,93.18929074682949,90.44166117336849,97.92886730467076,95.16505501833944,98.44916714531878,94.00527009222661,69.36397430178461,10000.0,5206720.0
15000.0,1.491763,2.118596842214465E-6,15000.0,97.63333333333334,94.32577191559511,94.38202247191012,92.10233592880981,98.31825287791936,96.00719829040602,98.80034275921166,94.90771625528129,69.58952130430504,15000.0,7793520.0
20000.0,2.030841,3.558049122885697E-6,20000.0,97.97,95.13223814606471,95.15397469563142,93.2129722500836,98.55762398749467,96.57441781977725,98.96546803652969,95.63836898395722,69.7502396089947,20000.0,1.0321624E7
25000.0,2.697626,5.788976405778278E-6,25000.0,98.20400000000001,95.68318920582097,95.70581484315225,93.96991673381683,98.72606043410413,96.9569637411047,99.12260711030082,96.03920515574652,69.85016325429156,25000.0,1.293308E7
30000.0,3.651014,9.603909043067445E-6,30000.0,98.33,95.99194241222857,96.02444056498967,94.40598481464939,98.81417311652348,97.17762379584248,99.20159680638723,96.28265237776289,69.9078409736973,30000.0,1.546748E7
35000.0,4.672998,1.4395055163960077E-5,35000.0,98.45142857142856,96.28445012016287,96.30034129692831,94.81240428790197,98.90016233766235,97.38416988416988,99.26272912423624,96.54545454545455,69.96573869932533,35000.0,1.8121648E7
40000.0,5.66793,1.9709082134152866E-5,40000.0,98.5325,96.47645792180948,96.49133293484759,95.07674243059633,98.95827787538376,97.51807534565134,99.30899376669635,96.70440251572327,70.00239215241498,40000.0,2.0645848E7
45000.0,6.903311,2.7115559386817947E-5,45000.0,98.60222222222222,96.64411698234731,96.66171319392846,95.30877088305489,99.00771427219233,97.63631580925181,99.335232668566,96.87546607009693,70.03761466859486,45000.0,2.3174648E7
50000.0,8.19173,3.574432795624146E-5,50000.0,98.68,96.83184965428481,96.85114503816794,95.57017249479831,99.06271301976824,97.76906435911303,99.3703524316932,97.05388900073821,70.07571644878692,50000.0,2.5887736E7
55000.0,10.318989,3.7517602108098155E-5,55000.0,99.1,97.85272970543268,97.87435049598488,96.95740365111561,98.49447975911676,99.3581514762516,99.52670723461799,98.92076114740131,70.43569201442179,55000.0,3222240.0
60000.0,10.629775,3.797966670190916E-5,60000.0,99.22,98.13251796194503,98.16211121583412,97.35324058364438,98.68731066980814,99.44515578318394,99.491007804547,99.10676307954061,70.46236067647882,60000.0,5747032.0
65000.0,10.962367,3.869154066458966E-5,65000.0,99.21333333333334,98.1272791251105,98.13909478000315,97.35603853909926,98.68918018218173,99.43804171825887,99.5294644857719,99.07943437411028,70.46433474813378,65000.0,8273584.0
70000.0,11.433385,4.000737233641868E-5,70000.0,99.22999999999999,98.17705131089185,98.17036949031721,97.4393082806784,98.72937293729373,99.44763271162124,99.48453608247422,99.12054912054911,70.46365822234596,70000.0,1.0798544E7
75000.0,11.990777,4.19288356487929E-5,75000.0,99.248,98.21872930788797,98.2149639194835,97.49800372637743,98.75792811839322,99.4607618173474,99.46766036731435,99.15360860116664,70.46652910575364,75000.0,1.33252E7
80000.0,12.732803,4.497113508431655E-5,80000.0,99.27666666666667,98.28490804119522,98.27668360864041,97.58942457231727,98.80315481771551,99.4817167833003,99.50011108642524,99.18087436898753,70.47712136846481,80000.0,1.5848392E7
85000.0,13.601379,4.911015515369053E-5,85000.0,99.30857142857143,98.36366583626796,98.35898826880042,97.70463814853456,98.85978137957031,99.50385435460062,99.50678175092479,99.22312630330785,70.48579786989586,85000.0,1.8420104E7
90000.0,14.547756,5.42376062687921E-5,90000.0,99.3425,98.44355657336304,98.44138911935522,97.81778957849319,98.91524025572282,99.52829342659851,99.49385994025887,99.2772291398311,70.49310056312072,90000.0,2.094304E7
95000.0,15.593458,6.058563681697059E-5,95000.0,99.3488888888889,98.45808242878729,98.45740760240075,97.83827652353548,98.92504677697471,99.5330156352103,99.46879150066401,99.29720791197609,70.49219804571285,95000.0,2.3465696E7
100000.0,16.779631,6.858069335519854E-5,100000.0,99.35000000000001,98.46029165127118,98.45920447541839,97.84196547144755,98.92636516798255,99.53390985099456,99.42231075697211,99.31883228391528,70.48779026201761,100000.0,2.6054088E7
