learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.281212,2.03449595976207E-7,5000.0,96.12,91.98254343477758,92.0361247947455,90.52734375000001,96.70963364993214,95.27290448343079,96.64406779661017,95.36585365853658,69.28382232800575,5000.0,613816.0,10.0,0.6091838230584276,0.3908161769415725
10000.0,2.234188,4.310492644459009E-7,10000.0,97.35000000000001,94.50950485513091,94.52931461601982,93.45517411706595,97.76616370226755,96.74327147597396,97.47856782652546,97.16119476672426,69.75667756445431,10000.0,923192.0,10.0,0.6208436557445285,0.3791563442554716
15000.0,3.179411,7.29876498248842E-7,15000.0,97.84,95.51377139257188,95.50935550935552,94.62151394422312,98.18872987477639,97.32496697490093,97.86048584800535,97.80949220046466,69.94104268033006,15000.0,1222048.0,10.0,0.6368850391124199,0.3631149608875801
20000.0,3.944959,1.0079768245915571E-6,20000.0,98.2,96.25531328137504,96.23824451410657,95.49718574108817,98.49573792411833,97.75952203136669,98.19211863700743,98.21182943603851,70.07209645662208,20000.0,1404208.0,10.0,0.7549119653601692,0.2450880346398308
25000.0,4.701397,1.3144665840516489E-6,25000.0,98.428,96.72866790478069,96.70578373847444,96.06567223946342,98.6870677847192,98.04156077141576,98.40762209341062,98.45861275147632,70.15451426046776,25000.0,1566192.0,10.0,0.8047839108283099,0.1952160891716902
30000.0,5.468044,1.6561737993049126E-6,30000.0,98.57666666666667,97.03854373474452,97.01940527711854,96.44196316973586,98.81081683237252,98.22770099198938,98.57198421959215,98.58368741148045,70.20606662373855,30000.0,1722904.0,10.0,0.6805395464046876,0.3194604535953124
35000.0,6.094132,1.964427508035054E-6,35000.0,98.71142857142857,97.31705383582606,97.3006942781901,96.77350121619688,98.92493623513145,98.39209954009056,98.71550903901046,98.70529327610873,70.253256564219,35000.0,1903160.0,10.0,0.6880572966874992,0.31194270331250096
40000.0,6.635731,2.2535582480145E-6,40000.0,98.7925,97.48410458055329,97.47543382814135,96.96988707653703,98.99398054612483,98.49010597392855,98.77795327957436,98.81445238991343,70.28378292136242,40000.0,2063568.0,10.0,0.6098060608326552,0.39019393916734485
45000.0,7.136076,2.5404430205540528E-6,45000.0,98.88222222222223,97.66959789348701,97.66133531709133,97.19072884669087,99.0698792507258,98.59970490799255,98.87424796072787,98.89428715027643,70.31510063830605,45000.0,2216360.0,10.0,0.5593024925457144,0.44069750745428554
50000.0,7.621822,2.8380307154191868E-6,50000.0,98.94800000000001,97.80680311062099,97.79851839450886,97.356783919598,99.12455895080221,98.68223268864615,98.94012891222008,98.95990352728369,70.33847319204189,50000.0,2368144.0,10.0,0.5981688611978865,0.4018311388021137
55000.0,8.122572,3.165951076013347E-6,55000.0,99.68,99.32916442565659,99.32998324958125,99.1840897501275,99.59266802443992,99.7364953886693,99.44077275038129,99.83514671941973,70.58256149180919,55000.0,2531336.0,10.0,0.4104125534901702,0.5895874465098299
60000.0,8.617337,3.510251259925879E-6,60000.0,99.62,99.20458757049185,99.20915712799166,99.0357777213905,99.51837769328264,99.68620974401321,99.46795034203191,99.71914753015034,70.56682964966299,60000.0,2689928.0,10.0,0.33399279996248055,0.6660072000375195
65000.0,9.086232,3.850663737309062E-6,65000.0,99.62,99.20652400234266,99.20479910714285,99.04298186702484,99.52177196073497,99.68475194956031,99.480040254948,99.71232573578224,70.56776282246912,65000.0,2806288.0,10.0,0.5000103944297412,0.4999896055702588
70000.0,9.600218,4.239798845928163E-6,70000.0,99.595,99.1552400719068,99.15040906230334,98.98394380331159,99.4919400363796,99.66329966329967,99.41087991977939,99.71718516053902,70.55637198019721,70000.0,2926520.0,10.0,0.5778643616782707,0.42213563832172957
75000.0,10.192251,4.7056900161856585E-6,75000.0,99.636,99.24167951767112,99.23612859900949,99.09009099090092,99.54502274886255,99.69665655521851,99.48036374537823,99.73987861001801,70.572700521412,75000.0,3041872.0,10.0,0.32859054811752075,0.6714094518824791
80000.0,10.769414,5.173605468736755E-6,80000.0,99.66000000000001,99.29172582067683,99.28476263936611,99.15028323892037,99.57510622344414,99.71661943657276,99.51706910907578,99.75541967759867,70.58195392355515,80000.0,3133800.0,10.0,0.3924973059404068,0.6075026940595931
85000.0,11.333199,5.646290612460839E-6,85000.0,99.67714285714285,99.3277719650213,99.3211582362129,99.19452562549004,99.59713358765019,99.73063812543205,99.5226220163876,99.78058669210589,70.58739418417666,85000.0,3240864.0,10.0,0.3519107365667407,0.6480892634332593
90000.0,11.893357,6.128531850394276E-6,90000.0,99.6875,99.34941079779254,99.34496672430959,99.22074683623214,99.61019116225404,99.73921932697723,99.52639122577429,99.79543272241473,70.59069059518205,90000.0,3327792.0,10.0,0.47664325057500834,0.5233567494249917
95000.0,12.432024,6.604664986052861E-6,95000.0,99.70666666666666,99.38912617943075,99.38641751499094,99.26788685524126,99.6337606126186,99.75536528410986,99.55089820359282,99.81085892300847,70.59776149542584,95000.0,3416728.0,10.0,0.4599371897391239,0.5400628102608761
100000.0,12.942126,7.0686284246233605E-6,100000.0,99.70599999999999,99.38773948366008,99.38509160880112,99.26621075225876,99.63293130571579,99.75480793288077,99.5558660611807,99.8064150061747,70.59785426402055,100000.0,3515840.0,10.0,0.3908545563886208,0.6091454436113792
