learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.827451,5.7649509906768803E-8,5000.0,86.33999999999999,60.44430256645239,59.72877358490564,35.19924098671724,91.22446357445715,69.19260261614795,89.96452103395845,72.77039848197343,63.783798788550506,5000.0,269312.0,10.0,0.8861295120522622,0.11387048794773785,7852.4,74.41057272547582,20850.399999999998,5041.402344586275,9.6,3.40587727318528,5.3,1.70293863659264,5.3,1.70293863659264,2.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.577622,1.6025963348026077E-7,10000.0,87.79,63.64412042353618,63.044794188862,41.184971098265905,92.2382556735109,71.3984539704849,91.5572942958102,73.41040462427746,64.21987599647161,10000.0,528728.0,10.0,0.7402463101251036,0.2597536898748964,15808.3,121.3947189039856,45964.0,6161.830896738404,21.8,3.155242550986462,11.4,1.577621275493231,11.4,1.577621275493231,4.4,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.204568,2.8200437483067314E-7,15000.0,88.45333333333333,64.98347524640351,64.50092232014755,43.2689158205044,92.7085964469142,72.27025296189562,92.16539717083788,73.92728463806093,64.43847488280949,15000.0,750624.0,10.0,0.7649596910850524,0.23504030891494768,23703.1,161.78823607831615,67499.20000000001,6037.046165137385,31.400000000000002,3.3730961708462712,16.2,1.6865480854231354,16.2,1.6865480854231354,5.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.772803,4.1865582648871675E-7,20000.0,88.75,65.73051313225774,65.14869888475835,44.485566247224256,92.90713069793834,72.81952162358058,92.40609519031793,74.36466814705157,64.56987752376673,20000.0,929584.0,10.0,0.7958314192783414,0.2041685807216587,31622.699999999997,135.06710266464623,84892.0,8867.243089032803,38.8,4.565571644870381,19.9,2.2827858224351907,19.9,2.2827858224351907,5.800000000000001,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.300743,5.728616438454225E-7,25000.0,89.05199999999999,66.30867116573721,65.91531755915318,45.608108108108105,93.1219058628402,73.18506907024592,92.78846153846155,74.22496025437202,64.61683638821107,25000.0,1129064.0,10.0,0.948792809313617,0.05120719068638305,39506.9,138.6141326769316,104181.59999999999,7558.310969463422,48.6,4.1952353926806065,24.8,2.0976176963403033,24.8,2.0976176963403033,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.952002,8.010121037417817E-7,30000.0,89.22333333333333,66.55060299547678,66.3789517470882,46.18841544607191,93.2492535131862,73.30085060698654,93.06852284094698,73.8681757656458,64.60199273369838,30000.0,1354160.0,10.0,0.8864119336222103,0.1135880663777897,47409.3,104.47652580577397,126006.4,8376.357670385274,58.6,4.599516882842757,29.8,2.2997584414213783,29.8,2.2997584414213783,6.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.610859,1.0683258296218185E-6,35000.0,89.46,67.15591093530632,66.99767400250491,47.19438877755508,93.40625949559404,73.74937735714795,93.2712215320911,74.17692527912969,64.70087843515357,35000.0,1568312.0,10.0,0.8964372742555158,0.10356272574448404,55316.1,128.65064667108723,146732.80000000002,9736.541717787806,68.80000000000001,5.370702416299422,34.900000000000006,2.685351208149711,34.900000000000006,2.685351208149711,6.800000000000001,0.421637021355784,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.162966,1.3230542706511917E-6,40000.0,89.5675,67.36023239702253,67.23975506358926,47.60828625235405,93.48223350253807,73.87793427230046,93.41657562041516,74.08662900188324,64.7115145515654,40000.0,1783432.0,10.0,0.84930612359563,0.15069387640437,63187.200000000004,187.82012671702736,167643.2,9395.340083727084,77.6,5.081557066709198,39.3,2.540778533354599,39.3,2.540778533354599,7.2,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.693798,1.5931812213920058E-6,45000.0,89.68666666666667,67.62351432787969,67.71253652427997,48.20312500000002,93.56391019151562,74.05958303057403,93.6015538290788,73.93973214285714,64.71887011759706,45000.0,1967040.0,10.0,0.8579493711088153,0.1420506288911847,71119.8,174.6722645413418,185499.2,11924.221892154366,85.0,7.055336829505577,43.0,3.5276684147527884,43.0,3.5276684147527884,7.3,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.297655,1.7604609601323804E-6,50000.0,87.22,58.7344508310972,60.26119402985074,37.16814159292035,92.09842957833561,66.59696811291167,93.49736379613357,62.635201573254676,62.476508659132875,50000.0,1070808.0,10.0,0.8455349750427522,0.15446502495724793,79028.4,208.4941779096524,98601.6,97468.34930056924,93.59999999999998,6.467010300148144,47.29999999999999,3.233505150074072,47.29999999999999,3.233505150074072,4.7,3.093002855909879,0.0,0.0,0.0,0.0,1.0,0.0
