learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.420193,1.734049870736069E-9,5000.0,81.16,56.007950325410405,56.58986175115207,38.98963730569947,86.33594429939077,69.67160334835802,86.1609727851766,69.98706338939198,62.47960390690881,5000.0,15952.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.679732,3.2498685436116325E-9,10000.0,83.76,60.34177187493162,61.86002818224519,46.47330257086355,88.6178861788618,71.6678297278437,90.78116025272833,67.65480895915678,62.93567533837329,10000.0,22576.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.846861,5.011492092162371E-9,15000.0,84.8,62.33493533205752,63.91834150973254,49.27697441601778,89.45225758697262,72.80534351145039,92.04989050747405,67.86746720035579,63.22921747654122,15000.0,40744.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
20000.0,1.007747,7.457494017564589E-9,20000.0,85.465,63.697270754071766,65.30198137980426,51.40421263791375,89.96790558028782,73.62786900117936,93.00085616438356,67.81417112299465,63.406432498481216,20000.0,58768.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
25000.0,1.151378,1.0217251581036384E-8,25000.0,86.264,65.59311714856274,67.16389366991777,53.887471465019466,90.53629498980322,74.95989499781246,93.59010882570794,69.00255067794335,63.75591335391002,25000.0,74272.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
30000.0,1.273463,1.2679752101086909E-8,30000.0,86.64,66.47409140145261,68.2005712472231,55.252874846488766,90.80776111187559,75.55799487742406,94.0877334727437,69.14834244893403,63.88193718134997,30000.0,77968.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
35000.0,1.391454,1.535637183735768E-8,35000.0,86.99142857142857,67.33683194387531,68.92574392574393,56.42645229208537,91.05307630332685,76.17602427921092,94.3745162735753,69.6488374318247,64.03580125707025,35000.0,87688.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
40000.0,1.504761,1.812582646807035E-8,40000.0,87.2175,67.84320940090724,69.43082625851969,57.11290052004699,91.21915196895017,76.5146295530752,94.59324690126799,69.85072123448506,64.11785401425898,40000.0,94480.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
45000.0,1.626812,2.1386354325546162E-8,45000.0,87.2911111111111,67.98745653126863,69.63147833474935,57.32089552238805,91.27682616189503,76.59887884119645,94.69270206975125,69.84032233994925,64.13521349650684,45000.0,103264.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
50000.0,1.812744,2.5325612641043137E-8,50000.0,83.82,58.57037157818923,62.42452392011146,47.12418300653594,89.0394255520932,69.11034746086293,94.72470452579994,59.11169170476812,62.015400553122305,50000.0,81896.0,49.0,25.0,25.0,7.0,0.0,0.0,1.0
55000.0,1.975028,2.9229022827413352E-8,55000.0,80.67999999999999,50.05046660930571,54.541176470588226,36.42645607107599,86.98814655172413,62.5,92.78735632183907,52.960526315789465,60.363043875708534,55000.0,92976.0,51.0,26.0,26.0,7.0,0.0,0.0,1.0
60000.0,2.072032,2.956007612248262E-8,60000.0,76.64,42.48943538806236,44.43387250237868,21.872909698996658,83.7144450641383,58.698727015558696,85.67351598173516,55.481283422459896,59.40429264880508,60000.0,13192.0,57.0,29.0,29.0,2.0,0.0,0.0,1.0
65000.0,2.156697,3.017160498019722E-8,65000.0,77.84,46.461698080313624,46.653827636013474,25.059181602975972,84.33922261484099,62.11965811965812,84.73445044021585,61.42663962136579,60.44855045027582,65000.0,27920.0,65.0,33.0,33.0,4.0,0.0,0.0,1.0
70000.0,2.238945,3.1113607614404626E-8,70000.0,77.94,48.21279631702053,46.74927582877373,25.540054005400535,84.07680092392089,64.10673608851285,82.76646139270488,66.47919010123734,61.0830687453451,70000.0,44272.0,71.0,36.0,36.0,4.0,0.0,0.0,1.0
75000.0,2.323972,3.2330808467749095E-8,75000.0,78.18,49.8653896050297,47.35826296743065,26.10904165255674,83.99002127815687,65.75105948830638,81.22472149293975,70.91586253597427,61.672640617398976,75000.0,55336.0,75.0,38.0,38.0,6.0,0.0,0.0,1.0
80000.0,2.411359,3.381672658233179E-8,80000.0,78.32000000000001,50.83226889731264,48.06439248754313,26.914778856526432,83.92359257281842,66.71988210733146,80.45839731558893,73.25064042065526,61.98972449854979,80000.0,65728.0,79.0,40.0,40.0,6.0,0.0,0.0,1.0
85000.0,2.502406,3.55859089228842E-8,85000.0,78.52,51.69513785026273,48.38606327593112,27.66864968009879,83.96137189506696,67.49066693572799,79.97629208155524,75.0729517396184,62.25938560192624,85000.0,75112.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
90000.0,2.601903,3.800669927563932E-8,90000.0,78.73714285714286,52.55482184050535,48.90140071408954,28.3320493066256,84.0224998926532,68.22645376142088,79.49624212878327,76.93789118921521,62.536815820362655,90000.0,94048.0,91.0,46.0,46.0,8.0,0.0,0.0,1.0
95000.0,2.698516,4.053967623247041E-8,95000.0,78.9475,53.374844062357,49.511361592421615,29.062421026029835,84.08098451766574,68.92734585439652,79.06356655290102,78.67250673854448,62.79651130664933,95000.0,101344.0,93.0,47.0,47.0,8.0,0.0,0.0,1.0
100000.0,2.797347,4.348854675682055E-8,100000.0,79.09333333333333,53.945356896984364,49.94679719089169,29.58610882418982,84.11883862255233,69.41482444733418,78.75339781275682,79.89821882951654,62.978491694044514,100000.0,115336.0,99.0,50.0,50.0,8.0,0.0,0.0,1.0
