learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.63108,2.9705637693405154E-8,5000.0,80.86,60.251862804548814,60.71428571428571,53.271484374999986,83.95103136005366,76.29427792915531,84.84745762711864,75.1219512195122,63.23950680678788,5000.0,181952.0,10.0,0.6091838230584276,0.3908161769415725,3733.0,56.07930891950156,12400.0,1481.447940361051,5.4,0.8432740427115678,3.2,0.4216370213557839,3.2,0.4216370213557839,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.144408,6.070395290851593E-8,10000.0,80.43,59.577200235505664,59.59950454170107,51.66707829093604,83.39414509970301,76.17772367620206,82.60211800302571,77.24018760799802,63.21437842987616,10000.0,233424.0,10.0,0.6208436557445285,0.3791563442554716,6819.600000000001,78.77845165046365,17411.199999999997,2065.8534313934283,7.4,1.2649110640673518,4.199999999999999,0.6324555320336759,4.199999999999999,0.6324555320336759,2.3000000000000007,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.545826,9.522439837455749E-8,15000.0,79.96,58.58065218763602,58.33679833679833,50.099601593625486,83.02462163993674,75.54506996420436,81.91441943392022,77.04945237305012,63.04043777746359,15000.0,332416.0,10.0,0.6368850391124199,0.3631149608875801,9859.3,95.21210240533736,27011.2,3889.8234407232417,11.799999999999999,2.3475755815545347,6.3999999999999995,1.1737877907772674,6.3999999999999995,1.1737877907772674,3.6999999999999993,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.909449,1.3393965420416658E-7,20000.0,80.45,59.48554769182586,59.14315569487984,51.09443402126329,83.53406889581402,75.9443829211271,82.62934266433392,77.17894210328873,63.207650796328174,20000.0,411560.0,10.0,0.7549119653601692,0.2450880346398308,12890.6,101.79303621673839,34708.0,4104.479504151531,15.0,2.1081851067789197,8.0,1.0540925533894598,8.0,1.0540925533894598,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.252004,1.7647191880063877E-7,25000.0,80.908,60.355599227983234,59.99832383506538,52.22222222222223,83.98483374156964,76.36777739268209,83.3888592750533,77.18174539631705,63.35822848521144,25000.0,479944.0,10.0,0.7830932342536777,0.21690676574632245,15981.7,104.82689434385513,41356.0,5354.878149874187,17.799999999999997,3.293090409394258,9.399999999999999,1.646545204697129,9.399999999999999,1.646545204697129,4.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.578904,2.2675071406281656E-7,30000.0,81.35333333333334,61.214109762359115,60.95756560580682,53.39110148308615,84.41174831410578,76.80185784191755,84.16314736608135,77.14095301566145,63.50277560503612,30000.0,594528.0,10.0,0.6056043782773922,0.3943956217226079,19099.8,142.49584789272518,52420.0,4440.52969813287,23.6,2.836272984824353,12.3,1.4181364924121764,12.3,1.4181364924121764,4.8,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.912323,2.860891385169493E-7,35000.0,81.68571428571428,61.81328997660631,61.63973668461998,54.14550397024107,84.76348942239125,77.04976727533118,84.82801275036871,76.96159073027681,63.59827110084155,35000.0,687936.0,10.0,0.572095057184498,0.427904942815502,22143.899999999998,151.57722637505836,61516.0,5624.725415520298,27.2,3.32665998663324,14.1,1.66332999331662,14.1,1.66332999331662,5.3,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.233022,3.483912530251675E-7,40000.0,82.0275,62.42298122445361,62.420282279142704,54.8967940272288,85.12795051614638,77.29383152774707,85.51893262396608,76.7580452920143,63.69399067337129,40000.0,750944.0,10.0,0.567284367461016,0.4327156325389841,25181.1,169.76287383681216,67667.20000000001,6409.6407387621975,29.4,3.6270588023294517,15.2,1.8135294011647258,15.2,1.8135294011647258,5.6,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.544294,4.1490145827747056E-7,45000.0,82.18444444444445,62.6600322921866,62.687331285488234,55.217294157077426,85.3267931987481,77.32941209738992,86.02745792736935,76.36840929401251,63.7173185290667,45000.0,825944.0,10.0,0.7447383560268303,0.2552616439731697,28226.699999999997,158.6814068783391,74951.2,5323.9269717004945,32.6,2.4585451886114367,16.8,1.2292725943057183,16.8,1.2292725943057183,5.9,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.949835,5.143395467392272E-7,50000.0,79.46,56.038834446103,57.89257892578925,49.30898321816387,83.79870642057107,71.94755531275608,89.33736966027581,64.97286630488406,62.11083560160012,50000.0,947808.0,10.0,0.5880192714518019,0.4119807285481983,31322.7,150.23540786970852,86814.4,4458.1256450067285,35.6,2.674987019698518,18.3,1.337493509849259,18.3,1.337493509849259,6.0,0.4714045207910316,0.0,0.0,0.0,0.0,1.0,0.0
