learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.178986,1.2137959932701456E-7,5000.0,82.0,62.24388770493178,63.05418719211821,56.054687499999986,85.23622047244093,76.94672131147541,88.0677966101695,73.26829268292683,63.5090720474438,5000.0,397960.0,10.0,0.6091838230584276,0.3908161769415725
10000.0,2.048731,2.7003501313221127E-7,10000.0,83.23,64.61155686528201,65.37985136251034,58.582366016300334,86.39350912778905,78.14983713355048,89.49403261052278,74.03110343125154,63.93847355891723,10000.0,660680.0,10.0,0.6208436557445285,0.3791563442554716
15000.0,2.868858,4.735239575389359E-7,15000.0,83.62666666666667,65.2731797942845,65.95980595980598,59.22974767596282,86.83109919571045,78.36123348017621,90.22732337864943,73.79688018586127,64.03596715216197,15000.0,959096.0,10.0,0.6368850391124199,0.3631149608875801
20000.0,3.66117,7.299386111978028E-7,20000.0,84.27,66.54083176195246,67.1264367816092,60.650406504065046,87.40894901144641,79.04622352471029,90.97725568607848,74.20282605977242,64.26120169780731,20000.0,1250976.0,10.0,0.7549119653601692,0.2450880346398308
25000.0,4.440472,1.0312040791536372E-6,25000.0,84.624,67.25717237601637,67.78410995641971,61.521521521521514,87.7172801635992,79.44824636441402,91.45788912579957,74.35948759007206,64.38504809268058,25000.0,1494328.0,10.0,0.7830932342536777,0.21690676574632245
30000.0,5.225413,1.374986284207553E-6,30000.0,84.94333333333334,67.92592333529271,68.4743160245673,62.364605899016844,87.98254715726182,79.846517646009,91.8815292287175,74.54181939353549,64.50258689042111,30000.0,1692968.0,10.0,0.6056043782773922,0.3943956217226079
35000.0,5.853993,1.6926327557013268E-6,35000.0,85.17142857142858,68.36269853721623,68.94075403949732,62.87288074969598,88.19542373652368,80.0645309979258,92.24035396545982,74.5440240326157,64.5725131147293,35000.0,1953376.0,10.0,0.572095057184498,0.427904942815502
40000.0,6.389902,1.9945419649386572E-6,40000.0,85.28999999999999,68.56291345475594,69.24202822791426,63.08425873643265,88.32122583462348,80.1337024782227,92.47682779832911,74.44325951947808,64.59877849421906,40000.0,2177648.0,10.0,0.567284367461016,0.4327156325389841
45000.0,6.92446,2.3225770753849714E-6,45000.0,85.28222222222223,68.50061520586169,69.17527692450899,63.004133616355716,88.34245683206308,80.04339048422575,92.61514614703276,74.18453976764968,64.57547636577729,45000.0,2372072.0,10.0,0.7447383560268303,0.2552616439731697
50000.0,7.622863,2.68049747136525E-6,50000.0,80.76,58.33186787407803,60.557605576055764,52.517275419545896,85.1634793337446,72.63936291240044,92.86915573494787,62.9995066600888,62.42368588825813,50000.0,1980992.0,10.0,0.5880192714518019,0.4119807285481983
55000.0,8.193226,2.7927300647998026E-6,55000.0,78.45,53.89090575463747,55.010438413361165,46.80325845470254,82.98997553082327,70.60428318101214,88.38264963012777,63.86969397828233,61.69528823346441,55000.0,760624.0,10.0,0.6553714751081475,0.3446285248918525
60000.0,8.617667,2.8609055479864282E-6,60000.0,79.46,58.810825621960525,57.47412008281573,48.54709418837675,81.4453477868112,76.99888017917134,75.08327781479014,86.03603603603604,63.46639147037316,60000.0,620888.0,10.0,0.5912774520867687,0.4087225479132312
65000.0,9.014345,2.946479049312572E-6,65000.0,80.54,60.98071621278912,59.28870292887029,51.00704934541793,82.44949494949496,78.16427289048475,75.85462993693993,87.64469048817313,63.93342639517944,65000.0,833880.0,10.0,0.4547807742188939,0.5452192257811062
70000.0,9.405322,3.0566934272502032E-6,70000.0,81.10000000000001,62.1581553290928,60.27742749054226,52.29681978798588,82.91654112684543,78.85117493472585,75.98012147984538,88.8982338099243,64.2024834585411,70000.0,1089656.0,10.0,0.5331401697829738,0.4668598302170263
75000.0,9.840311,3.205630833829443E-6,75000.0,81.26,62.55013104106828,60.539060854916826,52.76622558286075,82.98220123501636,79.1499777481086,75.75230042278041,89.63084288774095,64.30068882028431,75000.0,1323512.0,10.0,0.7496441663545079,0.25035583364549224
80000.0,10.262621,3.3815945644428336E-6,80000.0,81.308,62.72003793573201,60.70467541204171,53.02573381584239,82.93217429416707,79.34220414658945,75.43521594684385,90.19095477386935,64.34791580166238,80000.0,1610624.0,10.0,0.6326666170808536,0.3673333829191464
85000.0,10.698958,3.5876623349636795E-6,85000.0,81.45,63.03831915198839,61.02122294599705,53.333333333333336,83.03301929936889,79.54119333848021,75.34443645216622,90.70176909532992,64.42945862482009,85000.0,1825536.0,10.0,0.6022718578089012,0.3977281421910988
90000.0,11.263794,3.888710598548253E-6,90000.0,81.59428571428572,63.34287571805457,61.42052940471914,53.61129113559445,83.15993098760913,79.7076797076797,75.34460707687936,91.09367125063,64.50548006322977,90000.0,2060232.0,10.0,0.5731249427749672,0.42687505722503294
95000.0,11.968555,4.311329023827695E-6,95000.0,81.7625,63.69354906780762,61.76023483776276,53.98347315965434,83.30549007941049,79.90524199102002,75.38206668047215,91.47902869757174,64.58736242060901,95000.0,2317976.0,10.0,0.44384627594098686,0.5561537240590129
100000.0,12.598699,4.730549225796841E-6,100000.0,81.79333333333332,63.77370967640063,61.8219944082013,54.09312489494032,83.30990649636374,79.97360123194251,75.31214319914552,91.65219340019048,64.60734025622321,100000.0,2571608.0,10.0,0.5717914577638659,0.42820854223613414
