learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.557635,2.5371395548184715E-8,5000.0,79.46,57.59177437337407,57.8407224958949,49.853515624999986,82.54885301614276,75.04252733900366,82.33898305084746,75.3170731707317,62.78058143677453,5000.0,175872.0,10.0,0.6091838230584276,0.3908161769415725,3673.3,72.67744568372714,11898.4,507.41068179532834,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.958269,5.136206995281908E-8,10000.0,81.5,61.331027018241336,61.80842279108174,54.30970610027166,84.69303326162502,76.62370482688905,86.03126575895108,74.8457171068872,63.418645299674736,10000.0,250768.0,10.0,0.6208436557445285,0.3791563442554716,7300.0,93.44992717433709,19170.4,2549.213525776137,8.200000000000001,1.398411797560202,4.6000000000000005,0.699205898780101,4.6000000000000005,0.699205898780101,2.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.272807,8.237491478108699E-8,15000.0,82.30666666666666,62.769437608086456,63.215523215523206,55.942895086321364,85.54781093443694,77.19147473358544,87.53064408290618,74.52704945237305,63.65094137860006,15000.0,381128.0,10.0,0.6368850391124199,0.3631149608875801,10872.3,106.93928703292875,31784.8,4658.0071275170885,14.4,2.503331114069145,7.7,1.2516655570345725,7.7,1.2516655570345725,3.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.620502,1.2690899732626148E-7,20000.0,83.12,64.33929023166861,64.72309299895508,57.77360850531584,86.31203373337657,77.98643714136672,88.6778305423644,74.77804176566212,63.92493103399224,20000.0,495104.0,10.0,0.7549119653601692,0.2450880346398308,14442.2,128.4789649882206,42856.0,2919.945204965327,19.200000000000003,1.4757295747452441,10.100000000000001,0.7378647873726221,10.100000000000001,0.7378647873726221,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.974702,1.8138593108703694E-7,25000.0,83.48400000000001,65.06065666320238,65.39557492457259,58.668668668668666,86.64143129832735,78.37200775234403,89.21908315565032,74.86989591673338,64.04861026446704,25000.0,594520.0,10.0,0.7830932342536777,0.21690676574632245,18035.1,145.91127441016974,52525.6,3624.4582491732467,23.2,1.9888578520235063,12.1,0.9944289260117531,12.1,0.9944289260117531,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.323362,2.427909673129519E-7,30000.0,83.88,65.86845206438178,66.24790619765494,59.70671554740876,86.98530599063459,78.82847386393486,89.80328961991553,75.0,64.18786677011387,30000.0,680776.0,10.0,0.6056043782773922,0.3943956217226079,21585.6,181.92929029341786,60896.0,5097.931606707437,27.0,2.9814239699997196,14.0,1.4907119849998598,14.0,1.4907119849998598,4.800000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.653684,3.080406340708336E-7,35000.0,84.21428571428572,66.51147989759515,66.93596648713346,60.47642892910796,87.29914254844716,79.15015660968339,90.33731385888957,75.00894070524284,64.2935172789863,35000.0,763560.0,10.0,0.572095057184498,0.427904942815502,25120.200000000004,179.50598875803573,68943.2,5718.040316985066,30.400000000000002,3.7771241264574122,15.700000000000001,1.888562063228706,15.700000000000001,1.888562063228706,5.199999999999999,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.006643,3.860952509753407E-7,40000.0,84.405,66.85342364214947,67.39153162571876,60.8632912980739,87.49298259684018,79.29225866418803,90.68955484434099,74.92001756477009,64.3446913911923,40000.0,854824.0,10.0,0.567284367461016,0.4327156325389841,28632.900000000005,205.91500404023267,77821.59999999999,7451.092376289531,34.0,4.447221354708777,17.5,2.2236106773543884,17.5,2.2236106773543884,5.500000000000001,0.5270462766947296,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.360861,4.725069570727647E-7,45000.0,84.46222222222222,66.91693713521572,67.45787954947409,60.94291140654676,87.57640369580668,79.26453143534992,90.9506938293475,74.64253798033958,64.34151688639442,45000.0,942984.0,10.0,0.7447383560268303,0.2552616439731697,32187.7,207.19987666233968,86394.4,8319.71114883203,37.599999999999994,4.42718872423573,19.299999999999997,2.213594362117865,19.299999999999997,2.213594362117865,5.6,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.817099,5.599504659097228E-7,50000.0,80.76,58.35234607901625,60.557605576055764,52.517275419545896,85.14973757332511,72.68597387847814,92.7682475613858,63.147508633448446,62.43311545062329,50000.0,740864.0,10.0,0.5880192714518019,0.4119807285481983,35814.200000000004,179.1261504576533,66794.4,42015.05931924885,40.6,2.9514591494904874,20.8,1.4757295747452437,20.8,1.4757295747452437,4.8,1.8135294011647256,0.0,0.0,0.0,0.0,1.0,0.0
