learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,1.008238,1.0232748108191624E-7,5000.0,92.10000000000001,58.160963564660506,55.01138952164011,20.362903225806456,95.58412520961431,62.55924170616114,94.91563055062167,66.53225806451613,63.53107283352332,5000.0,392312.0,10.0,0.9638458889544852,0.036154111045514796,7357.9,66.42865847408537,32740.000000000004,9559.737234882557,15.8,5.827139568909908,8.4,2.913569784454954,8.4,2.913569784454954,3.999999999999999,1.0540925533894594,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.773542,2.2741104181028078E-7,10000.0,92.15,59.77829179583727,55.599547511312196,20.546558704453428,95.5926113076189,64.1388761991777,94.46293830448292,71.05263157894737,64.32642728370477,10000.0,631784.0,10.0,0.9114040090707566,0.08859599092924347,14732.2,117.29999526380587,55964.799999999996,8162.359745944933,26.4,4.221637386396684,13.7,2.110818693198342,13.7,2.110818693198342,5.1000000000000005,0.5676462121975471,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.329162,3.455980868265033E-7,15000.0,92.40666666666667,60.68264411093895,56.953892668178405,22.72727272727272,95.74285180340124,64.89984591679507,94.69170486470502,71.438263229308,64.44570740049585,15000.0,822232.0,10.0,0.9034830871602909,0.09651691283970906,22089.5,168.72479235594156,74392.0,10191.76486733829,35.599999999999994,4.325634186002219,18.299999999999997,2.1628170930011095,18.299999999999997,2.1628170930011095,6.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.888767,4.923105377269289E-7,20000.0,92.57,61.37739740838697,57.87981859410429,24.491869918699187,95.83660203967275,65.50603528319405,94.8480479148181,71.6971544715447,64.52619669296394,20000.0,1013416.0,10.0,0.872281590441645,0.12771840955835503,29435.2,202.95856172573184,92963.2,8215.472621827668,43.6,5.3374983736661585,22.3,2.6687491868330793,22.3,2.6687491868330793,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.510225,6.943297359243864E-7,25000.0,92.86,62.40209252133513,58.984374999999986,26.633785450061602,96.00608596424495,66.36517806670436,95.06801967474631,72.37977805178791,64.70081099308845,25000.0,1256560.0,10.0,0.9559019874474145,0.04409801255258552,36776.09999999999,196.79512753679143,116458.4,8244.147435201128,55.6,5.081557066709201,28.3,2.5407785333546005,28.3,2.5407785333546005,6.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.13203,9.309105245893201E-7,30000.0,92.88,62.32588774977088,59.12743972445463,26.648351648351582,96.01982633324637,66.277233975371,95.11591848789132,72.08104395604396,64.6523322170081,30000.0,1470712.0,10.0,0.9107945239554042,0.0892054760445957,44147.2,180.72987824067403,137252.8,7611.489981162254,64.8,4.157990967870048,32.9,2.0789954839350235,32.9,2.0789954839350235,7.1,0.31622776601683783,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.738491,1.1949131429029837E-6,35000.0,92.99428571428572,62.84390869784614,59.684314370272965,27.562776957164026,96.08494331789876,66.72998643147896,95.17317728926142,72.6440177252585,64.77213811017047,35000.0,1682704.0,10.0,0.9348305048942636,0.06516949510573633,51513.600000000006,186.9469324582664,157847.2,10148.158593776729,73.6,6.397916327472041,37.3,3.1989581637360205,37.3,3.1989581637360205,7.3,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.385355,1.5059738423592515E-6,40000.0,93.0725,63.3238298683662,60.52706552706554,29.057859703021027,96.12767087298593,67.17213600284326,95.29007591289411,72.58064516129032,64.78246697104557,40000.0,1858808.0,10.0,0.8570205473964501,0.14297945260354994,58974.0,217.25049546037334,174957.59999999998,13378.17528829864,81.0,8.16496580927726,41.0,4.08248290463863,41.0,4.08248290463863,7.499999999999999,0.5270462766947295,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.989427,1.8277442172169686E-6,45000.0,93.12444444444445,63.77867294090224,61.17942283563361,30.158013544018047,96.15413300186451,67.60209424083769,95.33645550899679,72.86681715575621,64.8466021979473,45000.0,2059016.0,10.0,0.8685553809804097,0.13144461901959031,66443.6,258.97284284907744,194351.19999999998,15700.43450778778,90.20000000000002,8.804039476916893,45.60000000000001,4.4020197384584465,45.60000000000001,4.4020197384584465,8.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.614733,2.193368943747547E-6,50000.0,93.16600000000001,63.819709910690584,61.40727354867859,30.577001219016687,96.17986069963219,67.62058182507344,95.4234881760504,72.4908573750508,64.79088391724201,50000.0,2260192.0,10.0,0.8435980042581039,0.15640199574189606,73862.0,267.39691679432576,213831.2,14986.998549112865,99.6,7.947046970765654,50.3,3.973523485382827,50.3,3.973523485382827,8.3,0.483045891539648,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,7.157322,2.2330987484173644E-6,55000.0,80.38,30.297952450840487,-11.731207289293886,-97.78225806451626,88.27536751523844,39.92651561543172,81.99378330373001,65.7258064516129,60.76997403227661,55000.0,283040.0,10.0,0.9638458889544852,0.036154111045514796,81258.5,280.6837880763488,22115.2,3063.087070260981,111.2,7.450577904505871,56.1,3.7252889522529355,56.1,3.7252889522529355,3.8999999999999995,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,7.541059,2.286535438417147E-6,60000.0,79.45,32.395462659793466,-16.23303167420818,-107.99595141700406,87.51139471285325,42.03102961918194,79.89347536617842,75.40485829959515,62.30937603318091,60000.0,538280.0,10.0,0.9114040090707566,0.08859599092924347,88664.4,266.8625114173962,46913.6,6317.750148061676,122.4,7.244921593011819,61.7,3.6224607965059095,61.7,3.6224607965059095,5.1,0.737864787372622,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,7.945555,2.3642160047280293E-6,65000.0,78.88,33.06374022240416,-19.727891156462615,-114.92537313432854,87.05353494074376,42.71247739602171,78.74463995268371,80.12211668928086,63.02117831371542,65000.0,742336.0,10.0,0.9034830871602909,0.09651691283970906,96071.1,257.5588174465093,66656.0,11807.642873250454,132.20000000000002,9.150591966279197,66.60000000000001,4.575295983139599,66.60000000000001,4.575295983139599,6.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,8.36592,2.465694226026535E-6,70000.0,78.33,33.10459860042598,-22.84580498866213,-120.22357723577227,86.63005923000988,42.85337552742616,77.86712511091393,82.5711382113821,63.33211336326462,70000.0,933144.0,10.0,0.872281590441645,0.12771840955835503,103421.09999999999,265.4026082095734,85180.80000000002,11333.703648851948,140.4,9.47745863732584,70.7,4.73872931866292,70.7,4.73872931866292,6.500000000000001,0.7071067811865474,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,8.766495,2.5855208983148136E-6,75000.0,78.084,33.12530628829421,-25.896139705882355,-125.19523222359238,86.44315229493998,42.8377673448096,77.40506048655116,84.38142211261817,63.59765770041561,75000.0,1156304.0,10.0,0.9559019874474145,0.04409801255258552,110833.9,289.2989418884524,106800.0,11171.411131395473,150.6,9.082339395160748,75.8,4.541169697580374,75.8,4.541169697580374,7.199999999999999,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,9.215315,2.7410758611766825E-6,80000.0,78.01333333333334,33.29005929916346,-26.2150784538844,-126.51098901098908,86.38090518665346,42.98063623789765,77.22238629651507,85.37087912087912,63.756032149396304,80000.0,1339720.0,10.0,0.9107945239554042,0.0892054760445957,118209.59999999999,322.37459232665555,124652.0,11012.16022807918,157.8,9.531235200352809,79.4,4.765617600176404,79.4,4.765617600176404,7.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,9.70317,2.9332640503139957E-6,85000.0,77.93714285714286,33.45839357231766,-26.964814205853315,-128.12407680945336,86.31433432581882,43.12021213906894,77.02356476356161,86.46971935007386,63.932246189547314,85000.0,1522784.0,10.0,0.9348305048942636,0.06516949510573633,125531.2,332.5881002748667,142378.4,11130.728030496874,166.4,7.8343970908920495,83.7,3.9171985454460247,83.7,3.9171985454460247,7.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,10.204302,3.158131748218503E-6,90000.0,77.925,33.80161208293463,-25.78347578347579,-126.06246799795184,86.28285590008076,43.49884822114154,76.94076577824569,87.0199692780338,64.02357672300874,90000.0,1734512.0,10.0,0.8570205473964501,0.14297945260354994,132988.9,312.51149312198686,162871.2,13369.89996472175,176.40000000000003,9.240009620004606,88.70000000000002,4.620004810002303,88.70000000000002,4.620004810002303,8.4,1.07496769977314,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,10.745343,3.4311516116849246E-6,95000.0,77.89111111111112,34.116672492647915,-24.830614805520707,-124.5823927765237,86.23604443645118,43.84489473387142,76.82277544983978,87.67494356659142,64.12833208037443,95000.0,1950592.0,10.0,0.8685553809804097,0.13144461901959031,140436.3,388.7813009906766,183836.8,13389.011321892956,185.8,9.199033765685517,93.4,4.599516882842758,93.4,4.599516882842758,8.600000000000001,0.9660917830792957,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,11.29587,3.7339766666955415E-6,100000.0,77.764,34.06156191926074,-25.570363677433917,-125.88378707842347,86.13923103774998,43.81443298969073,76.63827144061405,88.07395367736692,64.1701303407553,100000.0,2126256.0,10.0,0.8435980042581039,0.15640199574189606,147858.0,418.9757351764748,200889.6,14941.973595657748,193.4,9.879271228182775,97.2,4.9396356140913875,97.2,4.9396356140913875,8.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
