learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.164004,1.1012636716167132E-7,5000.0,86.04,60.306881262755276,58.84433962264152,33.776091081593954,90.9679089026915,69.27816901408451,89.0775468829194,74.66793168880456,63.9815361201425,5000.0,365712.0,10.0,0.8861295120522622,0.11387048794773785
10000.0,2.02056,2.565895840028922E-7,10000.0,87.21,62.36279044802345,61.289346246973366,38.39113680154142,91.83425908191279,70.50956882637767,90.76224129227663,73.65125240847784,64.1119126412468,10000.0,660960.0,10.0,0.7402463101251036,0.2597536898748964
15000.0,2.857832,4.541712519857619E-7,15000.0,87.7,63.1800162069129,62.18487394957983,39.567638388470364,92.1970818354832,70.96774193548386,91.23629363020005,73.86177530298067,64.24524669833184,15000.0,912184.0,10.0,0.7649596910850524,0.23504030891494768
20000.0,3.676325,6.861079533729288E-7,20000.0,88.065,64.08307568043539,63.02664188351922,41.10535405872196,92.44309367777885,71.62724355164626,91.55327020756255,74.33999506538368,64.39977974980702,20000.0,1095360.0,10.0,0.7958314192783414,0.2041685807216587
25000.0,4.37646,9.183455245817701E-7,25000.0,88.412,64.7487466859198,63.92278953922791,42.42845786963435,92.69080358269206,72.05016883743366,91.9921875,74.20508744038156,64.45876102989833,25000.0,1282192.0,10.0,0.9539135283822553,0.04608647161774474
30000.0,5.095801,1.1976949966243571E-6,30000.0,88.64999999999999,65.14717683602555,64.59026622296172,43.32556591211716,92.86417838506192,72.27875926076692,92.34744914971658,73.88482023968042,64.46554688153141,30000.0,1501120.0,10.0,0.9079936662339904,0.09200633376600967
35000.0,5.666716,1.4493892697348362E-6,35000.0,88.92571428571429,65.84724009749714,65.32474503488996,44.51760664185514,93.0477830391735,72.7961819202695,92.58941957592633,74.23418265101633,64.58010572671407,35000.0,1704136.0,10.0,0.924502772932271,0.07549722706772886
40000.0,6.178372,1.7090919755254354E-6,40000.0,89.10249999999999,66.23588541499001,65.79029979595039,45.286808083343765,93.1695316295031,73.06432676265217,92.80741735085692,74.20610016317309,64.61685490528575,40000.0,1962008.0,10.0,0.7670780542099717,0.23292194579002834
45000.0,6.741328,2.0298897720728482E-6,45000.0,89.30222222222223,66.75820857265339,66.53225806451614,46.36809269162213,93.30123566737171,73.4561093956771,93.06295802798135,74.20900178253119,64.66683071917792,45000.0,2202720.0,10.0,0.7212214392935393,0.27877856070646073
50000.0,7.275793,2.3637159313861693E-6,50000.0,89.452,67.12182430112368,66.921726041144,46.994974874371835,93.40189160786669,73.7193541957345,93.2059925093633,74.34170854271358,64.7201091338845,50000.0,2414368.0,10.0,0.8292428676714821,0.17075713232851786
55000.0,8.188886,2.438124542203214E-6,55000.0,79.02,40.79448495829992,38.14858490566037,0.4743833017077803,86.3854639844257,54.291938997821354,84.3385707045109,59.108159392789375,59.884624507735765,55000.0,315000.0,10.0,0.8861295120522622,0.11387048794773785
60000.0,8.613613,2.506384640669243E-6,60000.0,79.10000000000001,45.80059931570793,36.74334140435837,-0.6743737957610582,85.95430107526883,59.1796875,80.70418980312974,72.97687861271676,61.98408433135205,60000.0,621240.0,10.0,0.7402463101251036,0.2597536898748964
65000.0,9.113141,2.616162489025543E-6,65000.0,79.24666666666667,47.41932066505489,36.19594179135069,-1.9652800524074698,85.92103477906925,60.539992394473316,79.50950029296058,78.21814608581722,62.79483385971688,65000.0,849488.0,10.0,0.7649596910850524,0.23504030891494768
70000.0,9.702895,2.7777607399949595E-6,70000.0,79.10000000000001,48.066723525735746,35.25402726146221,-3.1334813718233248,85.69864513480225,61.19569253620496,78.535147676679,81.32247717739945,63.21740758170934,70000.0,1059176.0,10.0,0.7958314192783414,0.2041685807216587
75000.0,10.245232,2.9531652679459912E-6,75000.0,78.892,48.121155696038734,34.28393524283935,-4.868839427662972,85.48879417021861,61.29812981298131,77.84455128205127,83.04848966613673,63.4218103155744,75000.0,1250184.0,10.0,0.9539135283822553,0.04608647161774474
80000.0,10.780965,3.1677383974567054E-6,80000.0,78.93333333333334,48.54265861367236,34.27620632279534,-5.193075898801579,85.47994302256123,61.63651814981183,77.5383461153718,84.50399467376832,63.64792627987579,80000.0,1548208.0,10.0,0.9079936662339904,0.09200633376600967
85000.0,11.344151,3.428206657423741E-6,85000.0,78.94857142857143,48.84568425867843,34.084809447128265,-5.468079015173229,85.45827741375226,61.887026691495976,77.28278717783965,85.62839965645577,63.81833334440336,85000.0,1787744.0,10.0,0.924502772932271,0.07549722706772886
90000.0,11.904642,3.7230809631012374E-6,90000.0,78.9825,49.13627717540505,34.02134672735834,-5.522781473578516,85.45577219175475,62.125512456638276,77.10173883182968,86.54449604619053,63.962144053733105,90000.0,2033624.0,10.0,0.7670780542099717,0.23292194579002834
95000.0,12.547564,4.104110161502741E-6,95000.0,79.0111111111111,49.396165797041505,34.33676307007785,-5.225044563279857,85.44796240659426,62.36302052201634,76.97646013768599,87.17691622103388,64.06117708072493,95000.0,2290880.0,10.0,0.7212214392935393,0.27877856070646073
100000.0,13.185815,4.518777175475325E-6,100000.0,79.014,49.537906107322414,34.18840943301555,-5.457286432160852,85.43387425906131,62.475413939849076,76.83395755305867,87.78894472361809,64.15272836689738,100000.0,2511368.0,10.0,0.8292428676714821,0.17075713232851786
