learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.485273,2.0026216117872132E-9,5000.0,81.16,56.007950325410405,56.58986175115207,38.98963730569947,86.33594429939077,69.67160334835802,86.1609727851766,69.98706338939198,62.47960390690881,5000.0,15952.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.710785,3.3197080633706513E-9,10000.0,83.76,60.34177187493162,61.86002818224519,46.47330257086355,88.6178861788618,71.6678297278437,90.78116025272833,67.65480895915678,62.93567533837329,10000.0,22576.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.923963,5.566711185706986E-9,15000.0,84.8,62.33493533205752,63.91834150973254,49.27697441601778,89.45225758697262,72.80534351145039,92.04989050747405,67.86746720035579,63.22921747654122,15000.0,40744.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
20000.0,1.109533,8.38799195157157E-9,20000.0,85.465,63.697270754071766,65.30198137980426,51.40421263791375,89.96790558028782,73.62786900117936,93.00085616438356,67.81417112299465,63.406432498481216,20000.0,58768.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
25000.0,1.284699,1.1753669927517572E-8,25000.0,86.268,65.60141748211915,67.16717674062738,53.89470856835885,90.53931159919529,74.96536133595856,93.5904740200547,69.01181525241675,63.75780134079112,25000.0,74272.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
30000.0,1.431421,1.4713108034597501E-8,30000.0,86.64333333333335,66.48104285899325,68.20345976829077,55.25904421616795,90.81026534871454,75.5626029151674,94.08801444729589,69.15606162089752,63.883502578559636,30000.0,77968.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
35000.0,1.563823,1.771664056099123E-8,35000.0,86.99142857142857,67.33470413262987,68.92150170648466,56.42228177641655,91.0534279145625,76.17353079700665,94.37474541751527,69.64593301435407,64.03527903270769,35000.0,87688.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
40000.0,1.692944,2.0867009847942324E-8,40000.0,87.22999999999999,67.87894361152638,69.46802151823071,57.158433280214695,91.22698543555923,76.54298310066129,94.59661620658949,69.88679245283019,64.12554262137274,40000.0,94312.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
45000.0,1.824394,2.4435757446206276E-8,45000.0,87.41777777777779,68.33737084980216,69.95011145313661,57.77147971360384,91.35836385836384,76.87091503267976,94.74200696422919,70.16405667412378,64.207877950909,45000.0,104944.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
50000.0,1.951036,2.8258471474465395E-8,50000.0,87.52799999999999,68.58296798136304,70.24809160305342,58.14484193570036,91.43994509265613,77.03130755064457,94.89444143707799,70.17649822159586,64.23996802199426,50000.0,116680.0,47.0,24.0,24.0,7.0,0.0,0.0,1.0
