learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.311221,2.2510946155422267E-7,5000.0,77.96,54.68004606020727,54.761904761904745,46.191406249999986,81.09777015437393,73.57314148681056,80.13559322033899,74.82926829268293,62.24244161201863,5000.0,2795936.0
10000.0,0.768116,8.831198643416995E-7,10000.0,81.5,61.24800851421052,61.80842279108174,54.30970610027166,84.76112026359144,76.46310432569975,86.4851235501765,74.17921500863984,63.37671862735091,10000.0,5566968.0
15000.0,1.176807,1.767241477198485E-6,15000.0,82.39333333333333,62.70606558001156,63.395703395703386,56.15869853917661,85.80336504864808,76.82723523734316,88.93470024515267,72.65184201792235,63.55834765455184,15000.0,8362176.0
20000.0,1.672453,3.1933290334521896E-6,20000.0,83.42500000000001,64.69455153112969,65.36050156739813,58.536585365853675,86.76699532952776,77.82460365241823,90.54403065900192,72.7397774165312,63.89127641461179,20000.0,1.1121848E7
25000.0,2.360103,5.674766975465334E-6,25000.0,83.904,65.62727110716358,66.26990779547359,59.715687255981585,87.20915448188174,78.2955771305286,91.39849423679127,72.64538084275848,64.03980697182607,25000.0,1.3948848E7
30000.0,3.201055,9.303888754933659E-6,30000.0,84.34,66.52788921492254,67.20647773279353,60.85326222814766,87.57931472081218,78.81493506493506,92.03200533422236,72.80679830042489,64.19478242712707,30000.0,1.6681408E7
35000.0,4.144863,1.406007856298445E-5,35000.0,84.65714285714286,67.15407606119858,67.85970792434762,61.58248676491629,87.86221237737897,79.1521080829257,92.46431969552806,72.91845493562231,64.30061714928372,35000.0,1.9479504E7
40000.0,5.084044,1.947215617729972E-5,40000.0,84.83000000000001,67.47283923110939,68.28350407693917,61.932245922208295,88.02825237738232,79.29999317732141,92.73006899991687,72.90804165098483,64.35023516874311,40000.0,2.2274968E7
45000.0,6.122248,2.6186952490198116E-5,45000.0,84.98222222222222,67.75357878493539,68.57913334573182,62.2563529740296,88.17497812773404,79.427701674277,92.99819141475658,72.85419109845311,64.39184391543887,45000.0,2.500072E7
50000.0,7.460147,3.5818998739531054E-5,50000.0,85.116,68.02667505714538,68.85280207592183,62.60301507537689,88.29027283884571,79.58074960215113,93.21549604624893,72.86704853783539,64.43650839859426,50000.0,2.7829E7
55000.0,8.94592,4.7559381565517846E-5,55000.0,76.52,51.35896586012596,51.7864476386037,42.67578124999999,80.20236087689713,71.15479115479117,80.61016949152543,70.6341463414634,61.4907138991305,55000.0,3.054444E7
60000.0,10.494048,6.088667559855514E-5,60000.0,78.24,55.51924959665811,55.06917200082593,46.25833539145468,81.10783122069803,74.34567319028531,78.51739788199697,77.83263391755122,62.52000315889871,60000.0,3.3276488E7
65000.0,12.298838,7.770048966231859E-5,65000.0,78.96666666666667,57.077388547868146,56.26559467701691,47.62616201859228,81.69422686393966,75.28397963180572,78.44885223980388,79.73780285429804,62.88613819716192,65000.0,3.601156E7
70000.0,14.124891,9.600278292303904E-5,70000.0,79.61,58.53648683923386,57.383216637057174,48.993120700437785,82.13440813107859,76.25480377314545,78.0971423810714,81.88070526447417,63.24117480833701,70000.0,3.8743112E7
75000.0,15.902527,1.1514361912613734E-4,75000.0,79.784,58.9958255186603,57.63265990443457,49.40434477925719,82.19042920572275,76.6256590509666,77.70004663868346,82.91462316084476,63.36692153630478,75000.0,4.162176E7
80000.0,17.959782,1.388337377384036E-4,80000.0,79.91,59.369725547248756,57.92670157068064,49.77918506791102,82.18392503473352,76.97069275151887,77.24065121964772,83.9123552445222,63.47302703987142,80000.0,4.4512448E7
85000.0,19.9494,1.6315125799817135E-4,85000.0,80.13142857142857,59.90152173552027,58.37672831747172,50.25039347546145,82.3071443110116,77.34558248631744,76.95052331113226,84.91416309012875,63.61302665359923,85000.0,4.7244576E7
90000.0,22.15492,1.9166726313060147E-4,90000.0,80.39,60.475256321288384,58.99848413569598,50.79046424090337,82.4981034405819,77.70450798703884,76.84346163438357,85.7420649855727,63.75451486364637,90000.0,4.9978136E7
95000.0,24.522398,2.2395024419185393E-4,95000.0,80.59333333333333,60.9343146085569,59.394615706514145,51.225914549008635,82.63989663055364,77.99974807910314,76.72092422396929,86.45222538672027,63.869622985165954,95000.0,5.270964E7
100000.0,27.112813,2.611017543963839E-4,100000.0,80.69800000000001,61.194370543932806,59.60572576594677,51.50251256281408,82.68413025926259,78.19722128092171,76.55658183267991,86.96110943623756,63.93701808594875,100000.0,5.5438248E7
