learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.741571,4.2454519623683555E-8,5000.0,81.98,61.98087650747301,63.01313628899835,56.005859374999986,85.40417949133322,76.45675463809772,89.35593220338983,71.36585365853658,63.38804813644414,5000.0,221296.0,10.0,0.6091838230584276,0.3908161769415725,5747.9,115.00671477980951,16304.8,2975.3128238892796,6.999999999999999,1.6329931618554523,3.9999999999999996,0.8164965809277261,3.9999999999999996,0.8164965809277261,2.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.431295,1.1036291895227299E-7,10000.0,83.62,65.22422498321401,66.1849710982659,59.545566806618936,86.87079192048732,78.22966507177036,91.09093965372331,72.64872870896075,63.98040097613566,10000.0,380584.0,10.0,0.6208436557445285,0.3791563442554716,11560.699999999999,143.62764357880425,31733.6,4555.864089280978,14.4,2.3190036174568114,7.7,1.1595018087284057,7.7,1.1595018087284057,3.7999999999999994,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.995893,1.940902776726418E-7,15000.0,83.92666666666668,65.7390391924929,66.58350658350659,59.97675962815406,87.19528387062509,78.41733058812999,91.47537330064631,72.6850315300365,64.0625485035295,15000.0,573232.0,10.0,0.6368850391124199,0.3631149608875801,17420.2,151.2450550155827,50396.8,4430.32170389465,23.2,2.7406406388125952,12.1,1.3703203194062976,12.1,1.3703203194062976,4.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.51537,2.9302751204826764E-7,20000.0,84.555,67.01847740421901,67.72204806687566,61.36335209505942,87.72696571178831,79.1720045849909,91.97700574856286,73.4150306364887,64.30241760327748,20000.0,736200.0,10.0,0.7549119653601692,0.2450880346398308,23241.4,143.6950474674289,66258.40000000001,6675.99352905618,29.599999999999998,3.533962208186286,15.299999999999999,1.766981104093143,15.299999999999999,1.766981104093143,5.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.005829,4.024201782647934E-7,25000.0,84.852,67.64560666262857,68.25649622799665,62.08829712683954,87.96669950112802,79.56176803928977,92.22466520087947,73.776398758883,64.42070008152707,25000.0,862160.0,10.0,0.8047839108283099,0.1952160891716902,29064.9,188.39642011224967,78541.59999999999,5921.647878758075,34.2,3.011090610836324,17.6,1.505545305418162,17.6,1.505545305418162,5.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.484335,5.221932898068593E-7,30000.0,85.14666666666668,68.27917379548812,68.89571408627671,62.869760853262235,88.2004024997352,79.9604245367872,92.53764516308274,74.06481712905108,64.53728811550224,30000.0,967552.0,10.0,0.6805395464046876,0.3194604535953124,34865.1,225.52381002654465,88808.8,5496.28587320565,38.199999999999996,2.3475755815545356,19.599999999999998,1.1737877907772678,19.599999999999998,1.1737877907772678,5.9,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.010234,6.733388064553339E-7,35000.0,85.37142857142858,68.72016021980791,69.35599712712474,63.37101158964088,88.40212023739409,80.1964879709136,92.83063748810656,74.15593705293276,64.61164263138636,35000.0,1110952.0,10.0,0.6880572966874992,0.31194270331250096,40730.899999999994,274.59766528100306,102688.0,5985.197741094274,45.0,3.8873012632302,23.0,1.9436506316151,23.0,1.9436506316151,6.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.431974,8.105738619466622E-7,40000.0,85.515,68.9841050336742,69.71565962784862,63.651191969887066,88.54034810126582,80.31929347826087,93.0376589907723,74.16258938652615,64.65296752224495,40000.0,1257832.0,10.0,0.6098060608326552,0.39019393916734485,46580.100000000006,317.4724659977091,116876.0,6722.487634797107,52.4,4.718756898449704,26.7,2.359378449224852,26.7,2.359378449224852,6.7,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.824149,9.544246052516003E-7,45000.0,85.64,69.21993600833272,69.95536544541568,63.909522479754266,88.65718799368088,80.43596730245233,93.21226885173292,74.18328028145417,64.69071593613475,45000.0,1417864.0,10.0,0.5593024925457144,0.44069750745428554,52421.100000000006,306.5490535333988,132401.6,8982.468495166942,59.400000000000006,5.4812812776251905,30.200000000000003,2.7406406388125952,30.200000000000003,2.7406406388125952,6.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.324227,1.1581593956529266E-6,50000.0,85.726,69.39417111255534,70.12932658100699,64.1356783919598,88.73241660220079,80.53138383480183,93.36833012160277,74.16842528389107,64.71799506425818,50000.0,1574816.0,10.0,0.5981688611978865,0.4018311388021137,58245.9,330.0533458565617,147673.6,11596.519201898474,65.6,6.397916327472041,33.3,3.1989581637360205,33.3,3.1989581637360205,6.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.863973,1.1843176226835285E-6,55000.0,76.38000000000001,50.970216793842425,51.498973305954834,42.33398437500001,80.17458452241061,70.78901805589909,80.94915254237289,69.80487804878048,61.39096647536048,55000.0,187336.0,10.0,0.6091838230584276,0.3908161769415725,64024.1,313.00885681469833,13031.199999999999,1334.8282286496642,22.9,27.91833328358506,-12.700000000000001,27.809071261810317,-12.700000000000001,27.809071261810317,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,6.197638,1.2150701081876955E-6,60000.0,78.86,56.91367036300089,56.3493702250671,47.78957767349963,81.52420905436112,75.29796681467633,78.39973104723484,79.53591705751666,62.83622524164534,60000.0,356264.0,10.0,0.6208436557445285,0.3791563442554716,69772.99999999999,331.0595783910224,29380.0,4288.809625059149,30.9,28.64126781799685,-8.700000000000001,28.162425716230878,-8.700000000000001,28.162425716230878,3.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,6.598462,1.2710139717285834E-6,65000.0,79.90666666666667,59.28629459785234,58.220127529803165,49.96679946879151,82.23715228665723,76.87231430325353,77.74682415868062,83.12313308994358,63.417260514907184,65000.0,539512.0,10.0,0.6368850391124199,0.3631149608875801,75582.8,343.3740428939483,47160.8,3157.6744185133043,38.9,28.21918181347968,-4.700000000000001,27.9763789254038,-4.700000000000001,27.9763789254038,4.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,7.046438,1.3535214533035957E-6,70000.0,80.50500000000001,60.65059512770604,59.25384052670082,51.23202001250784,82.63947637917983,77.77207684852631,77.3140048321253,85.29448543203702,63.759017061150324,70000.0,711936.0,10.0,0.7549119653601692,0.2450880346398308,81408.0,390.6589874103036,63860.799999999996,6847.80186629257,46.89999999999999,29.148851702177836,-0.7000000000000002,28.343331569250015,-0.7000000000000002,28.343331569250015,5.300000000000001,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
