learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.528975,2.406741678714752E-8,5000.0,79.46,57.59177437337407,57.8407224958949,49.853515624999986,82.54885301614276,75.04252733900366,82.33898305084746,75.3170731707317,62.78058143677453,5000.0,175872.0,10.0,0.6091838230584276,0.3908161769415725,3673.3,72.67744568372714,11898.4,507.41068179532834,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.879331,4.679636321134037E-8,10000.0,81.5,61.331027018241336,61.80842279108174,54.30970610027166,84.69303326162502,76.62370482688905,86.03126575895108,74.8457171068872,63.418645299674736,10000.0,250768.0,10.0,0.6208436557445285,0.3791563442554716,7300.0,93.44992717433709,19170.4,2549.213525776137,8.200000000000001,1.398411797560202,4.6000000000000005,0.699205898780101,4.6000000000000005,0.699205898780101,2.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.173251,7.577631269892056E-8,15000.0,82.30666666666666,62.769437608086456,63.215523215523206,55.942895086321364,85.54781093443694,77.19147473358544,87.53064408290618,74.52704945237305,63.65094137860006,15000.0,381128.0,10.0,0.6368850391124199,0.3631149608875801,10872.3,106.93928703292875,31784.8,4658.0071275170885,14.4,2.503331114069145,7.7,1.2516655570345725,7.7,1.2516655570345725,3.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.490656,1.1643073818749852E-7,20000.0,83.12,64.33929023166861,64.72309299895508,57.77360850531584,86.31203373337657,77.98643714136672,88.6778305423644,74.77804176566212,63.92493103399224,20000.0,495104.0,10.0,0.7549119653601692,0.2450880346398308,14442.2,128.4789649882206,42856.0,2919.945204965327,19.200000000000003,1.4757295747452441,10.100000000000001,0.7378647873726221,10.100000000000001,0.7378647873726221,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.801733,1.643157958197925E-7,25000.0,83.488,65.06831436088103,65.39815590947191,58.674541996195806,86.64509867356843,78.37611314824517,89.21980145246185,74.87738965068561,64.05021293937037,25000.0,595024.0,10.0,0.8047839108283099,0.1952160891716902,18034.199999999997,149.14109650484224,52576.0,3559.7932524235166,23.2,1.9888578520235063,12.1,0.9944289260117531,12.1,0.9944289260117531,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.111583,2.1875746856960987E-7,30000.0,83.86666666666667,65.8438868313124,66.21527293033645,59.670027497708524,86.97173620457605,78.8183807439825,89.76496082680447,75.02291093893193,64.18486421379585,30000.0,679176.0,10.0,0.6805395464046876,0.3194604535953124,21580.199999999997,178.48734782424594,60760.0,4803.585327648506,26.6,2.7968235951204043,13.8,1.3984117975602022,13.8,1.3984117975602022,4.7,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.402008,2.7523656399920585E-7,35000.0,84.17142857142858,66.42980432263622,66.84223126645918,60.36628988410361,87.25792354754128,79.11168086871278,90.24262607040913,75.04291845493563,64.28171289825451,35000.0,751720.0,10.0,0.6880572966874992,0.31194270331250096,25111.399999999998,183.28920681080328,67837.59999999999,5833.60142622034,29.2,3.583914681524163,15.1,1.7919573407620815,15.1,1.7919573407620815,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.738842,3.490155790559948E-7,40000.0,84.37750000000001,66.80622271190909,67.33744511812671,60.79673776662485,87.46313572073427,79.27706847952247,90.60603541441516,74.97804541462803,64.3397390476996,40000.0,846680.0,10.0,0.6098060608326552,0.39019393916734485,28629.3,200.15829846510113,77022.40000000001,7172.232678880408,33.80000000000001,4.442221666388719,17.400000000000006,2.2211108331943596,17.400000000000006,2.2211108331943596,5.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.051697,4.2357947667439783E-7,45000.0,84.52444444444444,67.07402479776673,67.6213501952762,61.10583635855906,87.60942281688136,79.39401112557701,90.87218100616396,74.9204221812699,64.38023826987475,45000.0,921272.0,10.0,0.5593024925457144,0.44069750745428554,32178.4,177.22440263374793,84330.40000000001,7705.943264779467,36.00000000000001,4.027681991198194,18.500000000000004,2.013840995599097,18.500000000000004,2.013840995599097,5.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.413326,5.190656024341783E-7,50000.0,84.672,67.36566282900488,67.92365964926967,61.487437185929664,87.7434831280985,79.54630370963437,91.14559106917403,74.88192141493317,64.42583186969867,50000.0,1020656.0,10.0,0.5981688611978865,0.4018311388021137,35775.4,163.29468930603753,93942.4,7349.167680764945,40.8,3.938414796731181,20.9,1.9692073983655904,20.9,1.9692073983655904,6.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
