learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.9221,9.534474482966795E-8,5000.0,98.08,89.29527207850133,89.06605922551253,80.64516129032258,98.93380719680142,90.36144578313254,98.8898756660746,90.7258064516129,68.85050510302875,5000.0,399688.0,10.0,0.9638458889544852,0.036154111045514796,6887.9,128.0281653040107,33284.8,6553.484243769364,19.800000000000004,4.917090377222872,10.400000000000002,2.458545188611436,10.400000000000002,2.458545188611436,4.199999999999999,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.715562,2.179446404510074E-7,10000.0,98.71,92.77872444284219,92.70361990950224,86.94331983805665,99.28400954653938,93.49470499243569,99.24545051043053,93.82591093117408,69.47506053282801,10000.0,597264.0,10.0,0.9114040090707566,0.08859599092924347,13753.500000000002,157.56779845866689,52335.2,8104.84492688718,30.2,5.181162460726787,15.6,2.5905812303633935,15.6,2.5905812303633935,5.5,0.5270462766947297,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.251447,3.195998391881585E-7,15000.0,99.0,94.3641306623955,94.33106575963718,89.82360922659429,99.44543034605144,94.91869918699184,99.43072600916753,95.04748982360923,69.72772329439287,15000.0,733264.0,10.0,0.9034830871602909,0.09651691283970906,20647.3,214.44349165015717,65484.799999999996,9159.819658583776,36.800000000000004,5.846176338238334,18.900000000000002,2.923088169119167,18.900000000000002,2.923088169119167,6.1,0.7378647873726217,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.724128,4.2412922953151993E-7,20000.0,99.17,95.31798867111208,95.29478458049888,91.56504065040653,99.53975823444605,95.77822990844355,99.55079858030167,95.68089430894308,69.86266758599416,20000.0,854816.0,10.0,0.872281590441645,0.12771840955835503,27481.300000000003,245.94084654648088,77245.6,5646.152735368668,42.6,2.7968235951204035,21.8,1.3984117975602017,21.8,1.3984117975602017,6.2,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.233524,5.525135491581427E-7,25000.0,99.272,95.85043130434626,95.81801470588238,92.51952322235927,99.59682778786939,96.2536023054755,99.61448132228476,96.09535552815454,69.94816596066677,25000.0,974224.0,10.0,0.951002208274905,0.04899779172509502,34349.1,285.3261097216467,88706.40000000001,5855.911414023345,49.8,3.7947331922020555,25.4,1.8973665961010278,25.4,1.8973665961010278,6.3999999999999995,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.754213,6.972132552394436E-7,30000.0,99.37,96.40208519151568,96.38346727898968,93.5096153846154,99.65118210508831,96.75090252707581,99.66405788541051,96.63461538461539,70.05331420961215,30000.0,1074216.0,10.0,0.8898697826609928,0.11013021733900703,41250.4,317.3151955600807,98314.4,6924.755771064342,55.599999999999994,4.427188724235732,28.299999999999997,2.213594362117866,28.299999999999997,2.213594362117866,6.799999999999999,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.222784,8.405521005350682E-7,35000.0,99.39428571428572,96.52867527090484,96.514304505097,93.73707533234858,99.66476913345984,96.8639053254438,99.68053139332595,96.72082717872968,70.07163451997813,35000.0,1182472.0,10.0,0.9106042591142162,0.08939574088578371,48107.3,248.3295525439262,108860.0,5547.32976805558,59.6,3.533962208186287,30.3,1.7669811040931436,30.3,1.7669811040931436,7.1,0.7378647873726217,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.839708,1.0654483460841907E-6,40000.0,99.3425,96.27543574675609,96.25356125356126,93.26676907322069,99.6355977997312,96.6398364635237,99.61489444228958,96.82539682539682,70.07857933557273,40000.0,1409136.0,10.0,0.896135967365645,0.10386403263435492,55039.700000000004,287.6390678147401,130540.0,7741.062114895259,75.0,6.463573143221772,38.0,3.231786571610886,38.0,3.231786571610886,7.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.378831,1.1146505459667079E-6,45000.0,98.66222222222221,92.59604864043472,92.43718592964821,86.38932851006099,99.2564412934463,93.33923434388139,99.02161322916923,95.36513678498757,69.71132440539284,45000.0,352776.0,10.0,0.8944788228347628,0.10552117716523725,62045.3,264.11531572402157,28832.8,3840.56190333307,92.2,7.955431408094026,46.6,3.977715704047013,46.6,3.977715704047013,3.8,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.824671,1.1313396562656593E-6,50000.0,80.38,24.468879946633887,-9.731543624161123,-95.41832669322704,88.46018115515821,34.55637091394263,83.59270787016452,51.59362549800797,58.134828925561585,50000.0,144696.0,10.0,0.9090333415327244,0.09096665846727557,68922.2,230.99725828098792,8851.2,5194.911972305209,92.0,8.096638534327411,42.099999999999994,9.011720763045817,42.099999999999994,9.011720763045817,1.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
