learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.509873,3.186285337433219E-8,5000.0,95.1,85.9240768837262,85.55424528301884,76.75521821631877,96.84237659492203,89.0673806336457,95.21033958438926,94.68690702087287,68.90160495323424,5000.0,241560.0,10.0,0.8861295120522622,0.11387048794773785,2038.1999999999998,70.10595156222078,18109.600000000002,1544.7760858958025,10.4,0.9660917830792957,5.7,0.48304589153964783,5.7,0.48304589153964783,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.803632,5.491811375030213E-8,10000.0,96.2,88.92256429343684,88.49878934624697,81.6955684007707,97.56535110199897,91.34790528233152,96.08783442705703,96.6281310211946,69.41108799180641,10000.0,303376.0,10.0,0.7402463101251036,0.2597536898748964,3984.8000000000006,95.63448936213099,24126.4,1985.02052606236,12.8,1.7511900715418265,6.9,0.8755950357709132,6.9,0.8755950357709132,3.6999999999999997,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.04672,7.540369262504909E-8,15000.0,96.99333333333333,91.0503916528531,90.75630252100841,85.22764493940386,98.08874009407977,92.9564266749961,96.8695069892023,97.47789059941042,69.70426772956817,15000.0,325752.0,10.0,0.7649596910850524,0.23504030891494768,5870.4,117.17147927527239,26350.399999999998,2345.220160240825,13.0,1.632993161855452,7.0,0.816496580927726,7.0,0.816496580927726,3.7999999999999994,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.246063,9.488525512317817E-8,20000.0,97.32499999999999,91.99147905346645,91.71313506815363,86.7999013076733,98.3031494814298,93.68433478928108,97.17815263058883,97.90278805822848,69.83568942324857,20000.0,377768.0,10.0,0.7958314192783414,0.2041685807216587,7792.8,121.37526747882191,31296.799999999996,3802.1962308352495,16.8,3.3266599866332403,8.9,1.6633299933166201,8.9,1.6633299933166201,4.199999999999999,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.446885,1.1923199735995796E-7,25000.0,97.556,92.62528043246225,92.39103362391033,87.85771065182828,98.45406472180757,94.16817791352486,97.43589743589743,98.03259141494436,69.90502286153009,25000.0,468632.0,10.0,0.948792809313617,0.05120719068638305,9683.0,144.5998309511842,40031.2,4632.590942922162,22.000000000000004,3.299831645537221,11.500000000000002,1.6499158227686106,11.500000000000002,1.6499158227686106,4.6000000000000005,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.648584,1.4847181778815058E-7,30000.0,97.78999999999999,93.29107151376417,93.10524126455907,88.9647137150466,98.60506217256831,94.68366610536445,97.67005668556186,98.26897470039947,69.98911190070234,30000.0,560368.0,10.0,0.8864119336222103,0.1135880663777897,11571.5,162.66752048956243,48873.6,5010.523751731616,26.8,2.898275349237888,13.9,1.449137674618944,13.9,1.449137674618944,4.800000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.857814,1.8198741179787453E-7,35000.0,97.95714285714286,93.77013813738456,93.60350688853103,89.76524477526479,98.71261635967518,95.05566696632322,97.85107446276862,98.3824792442027,70.0416936022701,35000.0,619192.0,10.0,0.8964372742555158,0.10356272574448404,13458.7,123.96240469504369,54594.40000000001,4821.34963124089,29.2,2.898275349237887,15.1,1.4491376746189435,15.1,1.4491376746189435,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.122311,2.2478623298100302E-7,40000.0,97.98750000000001,93.85059927819788,93.680326581881,89.89328311362212,98.73262276241007,95.11618030698295,97.88044326517871,98.41807909604519,70.05328728211545,40000.0,625480.0,10.0,0.84930612359563,0.15069387640437,15347.5,126.23280961074353,55238.4,15767.666854815408,31.400000000000002,2.4585451886114362,16.2,1.229272594305718,16.2,1.229272594305718,4.9,0.7378647873726221,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.4383,2.7328157426996366E-7,45000.0,97.52666666666666,92.48291489702109,92.25685265061915,87.57812499999997,98.43953732912723,94.04016064257029,97.40843507214207,98.00223214285714,69.89468277612382,45000.0,593240.0,10.0,0.8579493711088153,0.1420506288911847,17299.8,116.08311198830314,52168.0,29689.12971292879,33.599999999999994,3.134042472944842,17.299999999999997,1.567021236472421,17.299999999999997,1.567021236472421,4.2,1.619327706865483,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.941298,3.3915444929980573E-7,50000.0,70.86,31.13085685503694,9.390547263681594,-43.264503441494575,79.56808301780956,49.21575461833392,71.22771780065278,69.41986234021633,59.29746624875069,50000.0,506224.0,10.0,0.8455349750427522,0.15446502495724793,19270.1,103.60871906681705,43765.6,35475.52632199024,35.2,3.32665998663324,18.1,1.66332999331662,18.1,1.66332999331662,3.3999999999999995,2.011080417199781,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.397589,3.7211766735547123E-7,55000.0,54.410000000000004,5.7220647591600935,-41.408188585607924,-122.93398533007331,65.54825058565707,32.628934535244575,54.519170333123824,53.98533007334964,52.08274676091725,55000.0,279248.0,10.0,0.9144021451197084,0.08559785488029162,21249.600000000002,110.33605233306312,21852.800000000003,34794.087916707285,25.199999999999996,14.366627996854376,7.2,15.090836071382306,7.2,15.090836071382306,1.5,2.223610677354389,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.586675,3.822481168268456E-7,60000.0,90.08,72.20908005555496,69.45812807881775,51.420176297747346,93.54838709677419,78.54671280276817,90.37446594621764,88.93241919686582,66.95276042537071,60000.0,207096.0,10.0,0.8290442236945821,0.17095577630541775,23230.6,116.09976552756495,14811.2,2779.4783203567777,25.400000000000002,15.145222935888986,3.7,14.981840860039716,3.7,14.981840860039716,2.7999999999999994,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,3.764238,3.952861313583951E-7,65000.0,93.43,80.70257886389004,79.44305381727159,67.15,95.80432977840219,84.8652384243262,93.7625,92.10000000000001,68.16569885213531,65000.0,283832.0,10.0,0.6306686754367614,0.36933132456323853,25146.2,105.67118812618682,22212.8,3271.8406915849546,29.400000000000002,14.049120178067302,5.7,14.445683707522388,5.7,14.445683707522388,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.9495,4.116742388717831E-7,70000.0,94.85333333333334,84.68618582877093,83.82907415165481,74.26666666666665,96.728536316637,87.94126835363949,95.10833333333333,93.83333333333333,68.7280267915984,70000.0,341936.0,10.0,0.6548864452927011,0.34511355470729904,27055.399999999998,117.54167109771929,27873.6,2873.4042992009786,31.599999999999998,15.196490822993752,6.800000000000001,15.046594299043223,6.800000000000001,15.046594299043223,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,4.146205,4.315526123427683E-7,75000.0,95.63000000000001,86.83927772088937,86.22754491017966,78.02363590646218,97.23417721518986,89.5952380952381,95.88092117580977,94.61905959265778,69.01086522578666,75000.0,390632.0,10.0,0.909897759436994,0.09010224056300588,28948.699999999997,89.0543529412107,32580.000000000004,2761.1482313623724,34.0,15.634719199411432,8.0,15.260697523012796,8.0,15.260697523012796,4.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,4.31553,4.527669557949736E-7,80000.0,96.26,88.64441224731158,88.21230458900656,81.12255198869373,97.63966374674979,90.99836333878886,96.46829949618396,95.41691903896628,69.26132010999181,80000.0,484296.0,10.0,0.8854940619770582,0.11450593802294194,30832.2,75.04931711881197,41499.2,3548.114391241259,40.6,15.233005102226036,11.3,15.033665923889327,11.3,15.033665923889327,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,4.498373,4.792963503011399E-7,85000.0,96.67666666666666,89.85705810735756,89.49641803624104,83.18718381112986,97.90638583818064,91.94603764439776,96.85085168259245,95.96964586846542,69.42991026046661,85000.0,560856.0,10.0,0.959877678149899,0.040122321850100895,32742.2,82.94415792166048,48922.4,2425.4210722630787,44.0,14.787382008545888,13.0,14.824903971958056,13.0,14.824903971958056,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,4.672505,5.075966308721238E-7,90000.0,97.00285714285715,90.81636154925268,90.51365527220113,84.82349537037038,98.11442848668955,92.69854527737175,97.16604955853033,96.33969907407408,69.55317186020426,90000.0,628224.0,10.0,0.8033157282074015,0.19668427179259848,34639.6,59.60648734268163,55455.19999999999,3539.1488242231344,47.0,14.243907079480998,14.5,14.569755584009561,14.5,14.569755584009561,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
