learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.750036,5.980774976313115E-8,5000.0,96.82,92.47399979930665,92.67281105990783,89.7020725388601,97.71846749892381,94.75420653249752,98.5813549507817,92.88486416558862,69.18565948163867,5000.0,308232.0,10.0,4983.3,68.98478093028926,24611.2,2750.2764628710006,13.2,1.9888578520235065,7.1,0.9944289260117533,7.1,0.9944289260117533,3.6999999999999993,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.343017,1.3444829621248775E-7,10000.0,97.89999999999999,94.99562856239756,95.06810709253169,93.07844429795648,98.50107066381156,96.4941569282137,99.0809879379667,95.19104084321476,69.69075060242598,10000.0,486560.0,10.0,9980.100000000002,62.197624106105835,41806.4,2517.570045367821,22.6,1.2649110640673518,11.8,0.6324555320336759,11.8,0.6324555320336759,4.6,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.784134,2.0266486939870648E-7,15000.0,98.25333333333333,95.8130637142395,95.85377433138156,94.17130144605117,98.75864683028523,97.05419383854283,99.22879177377892,95.97509450744941,69.85769218225512,15000.0,597776.0,10.0,15012.599999999999,85.42599136094356,52560.8,3062.309832644489,28.0,2.160246899469287,14.5,1.0801234497346435,14.5,1.0801234497346435,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.189548,2.733361313947373E-7,20000.0,98.57000000000001,96.57098549205544,96.5862974456911,95.21899030424608,98.98394202074748,97.58690516368547,99.3935502283105,96.64104278074866,70.00617705050377,20000.0,673824.0,10.0,20015.699999999997,77.68747932868267,59976.799999999996,2348.3946668120134,30.8,1.9888578520235065,15.9,0.9944289260117533,15.9,0.9944289260117533,5.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.543314,3.436362994172507E-7,25000.0,98.72,96.92331489283656,96.94014151845477,95.70296763797501,99.09209555694264,97.83109665175546,99.49860406814427,96.88548798496443,70.06855429740017,25000.0,768144.0,10.0,24972.3,79.35580914113629,69028.0,3708.882311424832,36.4,2.3190036174568114,18.7,1.1595018087284057,18.7,1.1595018087284057,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.902755,4.250109023248984E-7,30000.0,98.83333333333333,97.19969157776411,97.22310377657885,96.09244166573629,99.17163684559311,98.02794681090828,99.57226367568082,97.0978903895524,70.11956825045938,30000.0,875112.0,10.0,29947.7,105.47885517433784,79303.2,4462.600258444248,42.6,3.502380143083653,21.8,1.7511900715418265,21.8,1.7511900715418265,5.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.310243,5.298388450406492E-7,35000.0,98.90571428571428,97.37393042174486,97.38602238602239,96.33457747152838,99.22291882240754,98.15091971225802,99.60487188887531,97.26341976844321,70.1548807384986,35000.0,994408.0,10.0,34964.7,95.31357604128526,90809.59999999999,5142.702169093596,49.8,2.8596814119369616,25.4,1.4298407059684808,25.4,1.4298407059684808,5.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.768603,6.577570614611937E-7,40000.0,98.86,97.2631321282504,97.2737056080354,96.17513839959739,99.19068578730655,98.07237064592493,99.529847556632,97.28279100972827,70.14496392585148,40000.0,1078768.0,10.0,39927.5,131.33946686185203,98988.8,29361.26965465447,58.0,2.8674417556808756,29.5,1.4337208778404378,29.5,1.4337208778404378,6.0,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.175391,6.827359606718852E-7,45000.0,98.19777777777777,95.67382851484403,95.69350042480882,93.94776119402984,98.72043672393934,96.95330403095534,99.00943097664408,96.28413669601552,69.8737374971204,45000.0,237360.0,10.0,44919.2,112.1752597005638,17796.8,8989.594142365075,68.2,3.675746333890726,34.6,1.837873166945363,34.6,1.837873166945363,2.9,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.605231,7.253789042329623E-7,50000.0,72.11999999999999,36.01629170255231,35.25313516024151,8.888888888888888,79.49396881435715,56.46470955652717,77.88988181031998,59.04637491835402,58.509883081551706,50000.0,383480.0,10.0,49915.3,145.87365156950807,31960.8,14045.16268486928,73.60000000000001,3.2727833889689526,37.300000000000004,1.6363916944844763,37.300000000000004,1.6363916944844763,3.3000000000000003,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
