learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.825274,6.74451798862881E-8,5000.0,96.0,91.6950419400382,91.78981937602626,90.23437499999999,96.64429530201343,95.04950495049505,97.6271186440678,93.65853658536587,69.15302871701168,5000.0,315904.0,10.0,0.6091838230584276,0.3908161769415725,4970.7,63.63969760386289,25281.6,3126.342954102552,13.4,2.065591117977289,7.2,1.0327955589886444,7.2,1.0327955589886444,3.6999999999999997,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.409038,1.4214458578990564E-7,10000.0,97.25,94.2775629193402,94.32287365813377,93.20819955544579,97.70316545560846,96.57406253893112,98.31904521768364,95.68007899284127,69.64178419069347,10000.0,494632.0,10.0,0.6208436557445285,0.3791563442554716,9989.8,105.59124542835495,42411.2,5130.039046851613,24.4,3.893013685508382,12.7,1.946506842754191,12.7,1.946506842754191,4.9,0.3162277660168379,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.881357,2.2116096093008912E-7,15000.0,97.77333333333334,95.35939580630173,95.37075537075538,94.45551128818062,98.14588653269679,97.21341565159352,98.50679741475373,96.68104878858281,69.8548219887748,15000.0,646672.0,10.0,0.6368850391124199,0.3631149608875801,14966.2,137.02213933035304,57190.399999999994,5267.756579206918,30.6,2.796823595120404,15.8,1.398411797560202,15.8,1.398411797560202,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.26028,2.927783943774799E-7,20000.0,98.14,96.11803474340121,96.1128526645768,95.3470919324578,98.45553433529851,97.66243559130324,98.78363742397734,97.17394022758535,69.99242417068484,20000.0,730584.0,10.0,0.7549119653601692,0.2450880346398308,19980.299999999996,110.03943737486799,65338.4,4964.032840790283,34.2,3.1552425509864612,17.6,1.5776212754932306,17.6,1.5776212754932306,5.3,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.613885,3.6513665486748015E-7,25000.0,98.372,96.60248371629714,96.58900435802884,95.92592592592594,98.64797528485533,97.95446549731116,98.93390191897655,97.52802241793435,70.0824379457705,25000.0,790992.0,10.0,0.7830932342536777,0.21690676574632245,24977.8,108.50888340489774,71205.59999999999,5542.261135032241,36.800000000000004,2.7406406388125957,18.900000000000002,1.3703203194062978,18.900000000000002,1.3703203194062978,5.5,0.5270462766947297,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.982453,4.482487757938603E-7,30000.0,98.53666666666666,96.94753628398954,96.93606923506421,96.34227628728544,98.78363026793383,98.16387134551843,99.05534563236274,97.75908030656448,70.14528243918605,30000.0,871664.0,10.0,0.6056043782773922,0.3943956217226079,29980.300000000003,82.4918177760694,78961.6,4616.967816892621,41.400000000000006,1.5776212754932324,21.200000000000003,0.7888106377466162,21.200000000000003,0.7888106377466162,5.8,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.363217,5.443066455858448E-7,35000.0,98.66,97.2036173576566,97.1932974266906,96.64496745117678,98.88706959967728,98.31652248824437,99.12935915124412,97.9543666404406,70.19325569306582,35000.0,975168.0,10.0,0.572095057184498,0.427904942815502,34982.8,111.75349857809552,88953.6,3880.9461389374296,46.6,3.0983866769659336,23.8,1.5491933384829668,23.8,1.5491933384829668,5.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.813924,6.705657312025625E-7,40000.0,98.655,97.19152986182743,97.18766335598538,96.62463140724012,98.88418782147005,98.3073244399698,99.08558127935491,98.00514396838341,70.19450214363985,40000.0,1082856.0,10.0,0.567284367461016,0.4327156325389841,39959.0,136.45756361106126,99204.0,33280.5690656475,60.2,3.2930904093942583,30.6,1.6465452046971292,30.6,1.6465452046971292,5.6,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.263005,6.947604084428812E-7,45000.0,98.08666666666667,96.00319254395708,95.99273945825189,95.19048151044575,98.41392649903288,97.58924821503571,98.58281665190434,97.33579088471849,69.98546412231308,45000.0,208256.0,10.0,0.7447383560268303,0.2552616439731697,44964.5,115.3634353780353,14924.8,3707.8563078954394,69.4,3.977715704047014,35.2,1.988857852023507,35.2,1.988857852023507,2.6999999999999993,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.605518,7.218157300580705E-7,50000.0,70.16,38.74856252072163,38.82738827388274,26.3573543928924,74.3289745354439,64.37440305635148,72.65388496468213,66.5022200296004,58.98222295621846,50000.0,305336.0,10.0,0.5880192714518019,0.4119807285481983,48593.3,118.7565670698776,24347.199999999997,6784.469795053995,72.0,3.2998316455372216,36.5,1.6499158227686108,36.5,1.6499158227686108,2.6999999999999997,0.8232726023485647,0.0,0.0,0.0,0.0,1.0,0.0
