learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.166679,1.8752481758594513E-7,5000.0,96.72,93.2294074905872,93.26765188834153,91.99218749999999,97.2118327099626,96.01748421563866,96.91525423728814,96.4390243902439,69.52594455085311,5000.0,621312.0,10.0,0.6091838230584276,0.3908161769415725
10000.0,2.053949,4.043146130028698E-7,10000.0,97.71,95.2565026513043,95.27250206440957,94.34428253889848,98.0686514295353,97.18776863563797,97.73071104387292,97.67958528758331,69.89461644709417,10000.0,944464.0,10.0,0.6208436557445285,0.3791563442554716
15000.0,2.977818,6.98174830644081E-7,15000.0,98.15333333333334,96.16549059663859,96.16077616077618,95.40172642762285,98.45069634767046,97.71471000742514,98.07220860262981,98.27414537006305,70.06182162431493,15000.0,1229512.0,10.0,0.6368850391124199,0.3631149608875801
20000.0,3.747907,9.768792442294458E-7,20000.0,98.41,96.69302021046138,96.67711598746081,96.02251407129455,98.67056856187291,98.02238805970148,98.31708739481796,98.54945604601726,70.15456924549449,20000.0,1398960.0,10.0,0.7549119653601692,0.2450880346398308
25000.0,4.419962,1.2510387408898935E-6,25000.0,98.588,97.06231315479458,97.0415688903788,96.46646646646646,98.8201477322103,98.24211941636372,98.50079957356077,98.71897518014411,70.21747908350613,25000.0,1576888.0,10.0,0.7830932342536777,0.21690676574632245
30000.0,5.061078,1.5366209002501435E-6,30000.0,98.72666666666666,97.35119033530805,97.33389168062534,96.81719713381102,98.93569597681933,98.4154637464742,98.66081351411424,98.82539153615461,70.26489255849413,30000.0,1721856.0,10.0,0.6056043782773922,0.3943956217226079
35000.0,5.595593,1.7981670065037906E-6,35000.0,98.84857142857143,97.60311559830377,97.58827049670856,97.11710422777024,99.03894307585911,98.56415006947661,98.7915695323279,98.93426793505472,70.307509817121,35000.0,1891432.0,10.0,0.572095057184498,0.427904942815502
40000.0,6.127633,2.107045727552225E-6,40000.0,98.835,97.57329777898656,97.5640355462624,97.07635359809271,99.02888342433211,98.54438683076154,98.75722182966872,98.95238692679254,70.30462444897584,40000.0,2244120.0,10.0,0.567284367461016,0.4327156325389841
45000.0,7.012829,2.229975209540377E-6,45000.0,98.29333333333334,96.44437737047681,96.42557944708182,95.7099765389342,98.5778831197689,97.86642960328925,98.23590197815176,98.38025022341377,70.10994084321523,45000.0,536808.0,10.0,0.7447383560268303,0.2552616439731697
50000.0,7.612202,2.353766252590964E-6,50000.0,70.39999999999999,39.41062256240336,39.31939319393194,26.94965449160907,74.37673130193906,64.96212121212122,72.2502522704339,67.68623581647756,59.14737696781478,50000.0,798352.0,10.0,0.5880192714518019,0.4119807285481983
55000.0,8.201451,2.3925479887384505E-6,55000.0,64.87,28.4899237763248,26.659707724425896,13.280671439150844,69.20851958979753,59.108369223606104,66.37525218560862,62.660414610069104,56.79693363106799,55000.0,254408.0,10.0,0.6553714751081475,0.3446285248918525
60000.0,8.532018,2.4431992261318696E-6,60000.0,92.24,83.84415774764241,83.93374741200829,80.56112224448898,93.52469959946595,90.3193612774451,93.33777481678881,90.5905905905906,67.81009611543465,60000.0,592288.0,10.0,0.5912774520867687,0.4087225479132312
65000.0,8.906327,2.5308316775411367E-6,65000.0,94.77,89.08347348093923,89.05857740585775,86.83282980866062,95.6579493565795,93.42551854179762,95.60238964487222,93.50780070457976,68.75867042589103,65000.0,904976.0,10.0,0.4547807742188939,0.5452192257811062
70000.0,9.313582,2.6611626984468764E-6,70000.0,96.04,91.72616138554018,91.67717528373267,90.005047955578,96.71859463042757,95.00756429652041,96.67586968525677,95.07148864592094,69.23643519332464,70000.0,1237040.0,10.0,0.5331401697829738,0.4668598302170263
75000.0,9.76968,2.837529958171977E-6,75000.0,96.78,93.27749822388685,93.21962518424931,91.88405797101449,97.32780082987553,95.94968553459118,97.22291303987399,96.10684137583469,69.52153522753017,75000.0,1494728.0,10.0,0.7496441663545079,0.25035583364549224
80000.0,10.217287,3.035589718648957E-6,80000.0,97.272,94.30824666623492,94.26505213588968,93.14435062324085,97.73331560755118,96.57492969063881,97.69435215946844,96.63316582914572,69.70070264864877,80000.0,1710416.0,10.0,0.6326666170808536,0.3673333829191464
85000.0,10.664145,3.25685194854935E-6,85000.0,97.63,95.05269783693093,95.01996217692792,94.03773584905659,98.03270523781855,97.01999245567711,98.01914458031318,97.0403286660518,69.83184682620906,85000.0,1913992.0,10.0,0.6022718578089012,0.3977281421910988
90000.0,11.153206,3.5260621204868786E-6,90000.0,97.89999999999999,95.61295239132619,95.59827524254402,94.70728019010585,98.25940748810004,97.35354480970729,98.27104353180806,97.3360213118295,69.92979780530571,90000.0,2127800.0,10.0,0.5731249427749672,0.42687505722503294
95000.0,11.8343,3.932492356062349E-6,95000.0,98.115,96.06037475685125,96.04759658227184,95.24380243487036,98.43892339544513,97.62145110410094,98.45930834541313,97.59066540523494,70.00892331529033,95000.0,2306648.0,10.0,0.44384627594098686,0.5561537240590129
100000.0,12.323637,4.247495368584576E-6,100000.0,98.27333333333334,96.39220932660476,96.37931034482759,95.64632711380064,98.56935059196111,97.82285858387739,98.58568745165924,97.79819597736568,70.06851707953882,100000.0,2488336.0,10.0,0.5717914577638659,0.42820854223613414
