learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.32515,1.9873253266430563E-7,5000.0,96.94,90.95731426796327,90.97877358490567,85.48387096774195,98.04921586127757,92.90681502086231,97.44044602128737,95.06641366223909,69.3734206457211,5000.0,579704.0,10.0,0.8861295120522622,0.11387048794773785
10000.0,2.230777,4.0723051784146164E-7,10000.0,97.85000000000001,93.54884240428103,93.49273607748185,89.64354527938345,98.63708399366085,94.91124260355029,98.18273599192328,96.57996146435453,69.778703315603,10000.0,889928.0,10.0,0.7402463101251036,0.2597536898748964
15000.0,3.040848,6.24374369525661E-7,15000.0,98.32666666666667,94.89668145223881,94.85550317688049,91.77857844742874,98.94542246124112,95.95095983223099,98.56030802711977,97.41238126433018,69.99512291785942,15000.0,1036160.0,10.0,0.7649596910850524,0.23504030891494768
20000.0,3.805387,8.661141263507306E-7,20000.0,98.58,95.65079264686864,95.60099132589839,92.99284480631631,99.10641243471147,96.54417133122413,98.75838715745908,97.87811497656057,70.11356896742949,20000.0,1222224.0,10.0,0.7958314192783414,0.2041685807216587
25000.0,4.624959,1.171949219006217E-6,25000.0,98.72,96.05542164150313,96.01494396014944,93.64069952305245,99.19622224454939,96.85904986258342,98.88822115384616,98.05246422893482,70.16777846397537,25000.0,1442456.0,10.0,0.9539135283822553,0.04608647161774474
30000.0,5.43346,1.51824754845144E-6,30000.0,98.85000000000001,96.44070163530469,96.4122296173045,94.25765645805595,99.27892151739994,97.16166186754423,98.99133044348116,98.28561917443409,70.22765652111624,30000.0,1655664.0,10.0,0.9079936662339904,0.09200633376600967
35000.0,6.147237,1.849119083419856E-6,35000.0,98.95142857142856,96.74365506068655,96.71676507425299,94.74663612940164,99.34327076212803,97.40029751363605,99.08617120011422,98.411107930146,70.26686259010364,35000.0,1791840.0,10.0,0.924502772932271,0.07549722706772886
40000.0,6.82206,2.185597768038925E-6,40000.0,99.0325,96.98917065367509,96.96280018835348,95.14246265846617,99.3944704354493,97.59462987134067,99.15399744013985,98.54399397514749,70.30255888217856,40000.0,1927392.0,10.0,0.7670780542099717,0.23292194579002834
45000.0,7.538892,2.5664542236034237E-6,45000.0,99.09333333333333,97.18032434010375,97.16351501668521,95.45454545454545,99.43241889711202,97.74784720688893,99.206084832334,98.64081996434938,70.32903113165348,45000.0,2053744.0,10.0,0.7212214392935393,0.27877856070646073
50000.0,8.321857,3.0101033345568507E-6,50000.0,99.136,97.30771541455076,97.29051680883092,95.65829145728644,99.45948651218657,97.84817692767484,99.24094881398253,98.71356783919597,70.34815503145383,50000.0,2190280.0,10.0,0.8292428676714821,0.17075713232851786
55000.0,9.29696,3.157255582604557E-6,55000.0,92.86,79.71851802699923,78.9504716981132,66.1290322580645,95.37864077669902,84.30769230769229,93.36036492650786,90.98671726755218,67.88723779070335,55000.0,583336.0,10.0,0.8861295120522622,0.11387048794773785
60000.0,9.885772,3.2895440855146277E-6,60000.0,95.78999999999999,87.61120780189043,87.25786924939467,79.72061657032754,97.31213688310031,90.29282914456998,96.17617364967188,94.3159922928709,69.00944970483079,60000.0,868456.0,10.0,0.7402463101251036,0.2597536898748964
65000.0,10.538964,3.4701066211548938E-6,65000.0,96.86666666666667,90.5634357039491,90.36687845870055,84.60530625614152,98.01654287643483,92.54441624365482,97.20431907591865,95.54536521454308,69.41716003454437,65000.0,1068536.0,10.0,0.7649596910850524,0.23504030891494768
70000.0,11.209538,3.687536973864253E-6,70000.0,97.50999999999999,92.4396730313436,92.28624535315984,87.71280532938562,98.42832796818784,94.01010343998077,97.78641750799524,96.42240315815445,69.67941243045712,70000.0,1253360.0,10.0,0.7958314192783414,0.2041685807216587
75000.0,11.973992,3.9792194811854915E-6,75000.0,97.924,93.64125517182813,93.53673723536737,89.68600953895071,98.69364947519443,94.94693798072241,98.18209134615384,96.89984101748807,69.83586692446116,75000.0,1474896.0,10.0,0.9539135283822553,0.04608647161774474
80000.0,12.677814,4.288113295288962E-6,80000.0,98.18666666666667,94.4115051986151,94.34276206322795,90.94540612516646,98.86135298057603,95.5497382198953,98.432810936979,97.20372836218375,69.9350661862779,80000.0,1696480.0,10.0,0.9079936662339904,0.09200633376600967
85000.0,13.356447,4.610580101766518E-6,85000.0,98.37714285714286,94.97921039526908,94.9185900876722,91.86945319209846,98.98229771375333,95.99661685931773,98.60069965017492,97.48067563698827,70.01452979331562,85000.0,1836760.0,10.0,0.924502772932271,0.07549722706772886
90000.0,14.057808,4.975529377282492E-6,90000.0,98.52499999999999,95.42120588945451,95.36964369800658,92.59445211497425,99.07607504149831,96.34493866930987,98.75440951518746,97.60261076942388,70.06372461634682,90000.0,2011376.0,10.0,0.7670780542099717,0.23292194579002834
95000.0,14.777038,5.378406929261981E-6,95000.0,98.64666666666668,95.79976872657596,95.76612903225808,93.21524064171125,99.15222384631448,96.64739884393063,98.85909393737509,97.79411764705883,70.11654790141088,95000.0,2165248.0,10.0,0.7212214392935393,0.27877856070646073
100000.0,15.477041,5.792201945301557E-6,100000.0,98.764,96.15402040534882,96.12393376818865,93.78894472361807,99.22639761660366,96.92751317490305,98.96129837702871,97.96984924623115,70.16607934452014,100000.0,2285008.0,10.0,0.8292428676714821,0.17075713232851786
