learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.479853,9.90692464131862E-7,5000.0,89.84413284833671,75.81247900260739,31.52543585036413,69.47119259309697,92.33422341833737,85.19957312270485,96.32619901936758,80.97044907909581,66.57639373277577,5000.0,2587752.0
10000.0,3.132092,3.224086939541416E-6,10000.0,89.16047247483317,78.3800129740357,24.68752735201223,76.42573795721678,87.91969067855375,87.98983027597646,90.1979657371482,86.34666844574654,66.43504989515976,10000.0,5225104.0
15000.0,4.652068,6.128366970980746E-6,15000.0,90.43134699406201,78.87778857858802,41.24012174374199,74.46888562257423,92.24927998150558,87.84014928238038,97.95145209487328,81.03518856446047,66.89294444471213,15000.0,7385912.0
20000.0,6.109036,9.868585145984673E-6,20000.0,70.14772489297665,40.7240705088849,-148.59034789493725,36.8184603379926,70.03133598054487,73.052693338218,65.64170279975762,78.74465331354983,60.08043693942885,20000.0,9923144.0
25000.0,7.530869,1.4317202881185544E-5,25000.0,71.64896587948213,41.755992592428385,-83.81513998115875,37.572122370555874,77.28467208038484,59.60477534615693,87.48144868109074,50.95408803658361,58.8293159737716,25000.0,1.2094248E7
30000.0,9.125599,2.0470541947024562E-5,30000.0,75.01136942617093,42.91127702462628,-170.5606949090138,33.506361555825706,80.71035136366521,62.80862126655269,88.8479000619937,54.77148080242845,59.92065187905213,30000.0,1.4915096E7
35000.0,11.020779,2.8636072094055513E-5,35000.0,77.45239845166613,52.67465846376612,-61.686758057219016,33.68207537958247,78.95584959692015,67.66423157295414,74.53579052190962,75.00206079697641,61.14283509105667,35000.0,1.665468E7
40000.0,13.54319,4.106423809367749E-5,40000.0,85.36112287103596,68.8978010506104,-21.387649942575937,56.321117101124294,78.713280922062,84.60707830548839,83.51680775817668,81.17984462834399,64.16709678381139,40000.0,1.9045552E7
45000.0,15.893129,5.403333984070354E-5,45000.0,92.02410957679456,82.80317635592223,36.589941234030185,77.9167554811799,91.98444015617811,86.25024210034485,91.95326347349878,86.27195666706959,66.7505093876759,45000.0,2.1333184E7
45312.0,17.457165,6.271747116505272E-5,45312.0,91.37969284451484,82.61413572225611,51.822960401682,79.89005941549321,91.17258790834687,88.88371495145864,89.31092308532904,91.09061743968098,67.15682030237325,45312.0,2.1462584E7
