learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,2.380978,1.2693669063804877E-6,5000.0,99.9860248277142,-0.005542117516522953,31.43758338486784,-37.469364329972684,?,99.99299312451087,0.0,99.99615247535843,0.0,5000.0,2060792.0,10.0,2.879884715145055E-42,0.9999999999999994,4994.2,53.07813946333176,198977.6,12254.456995994013,12.0,0.0,11.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,3.501519,1.8835584982505274E-6,10000.0,99.99996961470418,99.03491048918545,-118.04497527934785,98.0454957074301,99.99995305237212,99.03796512415283,99.99993759822405,99.7700954713729,70.67001363194947,10000.0,2118744.0,10.0,0.9999999999999994,1.0309042556375706E-101,9781.6,91.64811933573846,204748.8,5835.680838123728,12.0,0.0,11.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,4.082856,2.2015864728411866E-6,15000.0,99.99999978879792,95.54138177144989,-1757.578976970909,90.64012537830743,97.49425367086863,99.99999987177165,99.9999999640304,99.99999978359547,70.71067807404089,15000.0,2114656.0,10.0,1.993853067984117E-161,0.9999999999999994,11278.800000000001,93.27950828915566,204220.0,5888.79493426098,14.0,0.0,12.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,4.480866,2.439145937849664E-6,20000.0,97.98295634351778,-0.39992683716536526,-5343.368406054692,-12.496212060468757,71.71630135574806,98.9479838940577,60.60608070175355,99.77594439880181,63.32101252754795,20000.0,2307176.0,10.0,7.229869991255075E-29,0.9999999999999994,11411.8,93.37594265476888,223454.4,357.3890503825394,14.0,0.0,12.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,4.838535,2.653052041799658E-6,25000.0,99.99973649401008,73.74984555265354,-701.0276001607072,50.42894902422916,73.7933453570789,99.99986484561448,63.59883622961653,99.99989790360443,63.952860399911145,25000.0,2311768.0,10.0,4.972229905114682E-100,0.9999999999999994,11496.7,98.63743936479919,223913.6,408.318829674395,14.0,0.0,12.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,5.344776,2.987619188566589E-6,30000.0,99.99998809050659,-1.556802355369251E-5,-1553.9664074129444,-352.99814688338995,53.659725454659565,99.99999397005041,39.702582629245434,99.99999069623748,59.097921563597076,30000.0,2554632.0,10.0,1.6169225372438226E-148,0.9999999999999994,11643.5,100.28764186633923,248144.0,2220.1085058568106,14.0,0.0,12.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,5.769866,3.269306168988761E-6,35000.0,99.9999982557445,-8.019938228398955E-5,-2693.3997572666212,-5500.970544280548,52.33935314944853,99.9999991268814,39.50406971567968,99.99999828667026,59.05592011016972,35000.0,2561464.0,10.0,3.489042375855673E-153,0.9999999999999994,11645.099999999999,100.5600428710243,248827.19999999998,1685.1274135803465,14.0,0.0,12.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,6.439109,3.7265784357343287E-6,40000.0,95.71997280351223,89.1277433991548,-1691.4521051152722,82.69935648552527,86.13769032023812,92.06356624923868,80.76269516058414,99.52376485890537,67.13539677761082,40000.0,2641152.0,10.0,0.9999999999997884,2.1143413789808027E-13,11921.9,92.36816430880161,256654.4,9576.603192735467,16.2,0.6324555320336759,13.1,0.31622776601683794,13.1,0.31622776601683794,2.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,7.514134,4.213088034318967E-6,45000.0,99.99545838927877,70.79209926738456,-2530.864951601139,20.669988145374077,99.99698226852206,75.87987358584279,99.99468678425707,97.7409294004426,70.30924835764844,45000.0,1749344.0,10.0,0.9999999999999994,1.6600885350771884E-83,14722.199999999999,118.65337004157216,167486.4,124590.7491796865,22.8,12.272824541327974,19.0,11.86966254317657,19.0,11.86966254317657,1.7999999999999998,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,8.308462,4.519213752574805E-6,50000.0,100.0,?,?,?,100.0,75.87987358584279,100.0,97.7409294004426,70.31019296667493,50000.0,1489712.0,10.0,0.9999999999999994,2.708185739384E-312,19739.199999999997,150.33207686097285,141375.2,122355.31689559805,28.6,15.435888917281916,24.600000000000005,14.766328062333045,24.600000000000005,14.766328062333045,1.7000000000000002,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,9.482991,5.637012899159971E-6,55000.0,91.6142501143354,1.6829999105965068,-1046156.5879294596,-10508.740860412743,95.61586603792013,70.59172012303608,91.61102558780325,98.6292930730488,68.96381635699478,55000.0,3678768.0,10.0,0.9999999999999994,1.4508946373872206E-65,23423.0,132.41936749920265,360075.2,105590.4118340718,28.6,15.435888917281916,24.600000000000005,14.766328062333045,24.600000000000005,14.766328062333045,1.7000000000000002,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,10.324316,6.487296741952499E-6,60000.0,98.99188143931286,1.0241924443852825E-10,-Infinity,-Infinity,99.4933870902695,28.891603337895045,98.9918814393128,98.6292930730488,70.2888992857979,60000.0,3906632.0,10.0,0.9999999999999994,2.366917235614552E-294,28424.8,113.33215685663882,382780.80000000005,126529.73798615266,29.7,16.499494941765136,25.3,15.492291990248283,25.3,15.492291990248283,2.1000000000000005,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,11.193765,7.376742981359777E-6,65000.0,97.34000774071909,0.0,-Infinity,-Infinity,98.65207654051792,13.834288300708083,97.34000774071909,98.6292930730488,69.99451778778247,65000.0,3954376.0,10.0,0.9999999999999994,2.5E-323,33444.399999999994,119.81207507314713,387552.0,130900.19121622568,29.7,16.499494941765136,25.3,15.492291990248283,25.3,15.492291990248283,2.1000000000000005,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,11.874754,7.987353497629778E-6,70000.0,98.57034171351037,0.0,-Infinity,-Infinity,99.28002426034382,7.4969695082339,98.57034171351037,98.6292930730488,70.21389370818271,70000.0,3465984.0,10.0,0.9999999999999994,2.5E-323,38434.4,162.4213997942116,338903.20000000007,167102.27266012205,23.8,19.837114485506987,19.4,19.21342123505222,19.4,19.21342123505222,1.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,12.641933,8.580933668251253E-6,75000.0,99.26772476213434,70.83582669959446,-2590.4076641689508,20.142499602425403,93.05498166515125,99.1273404184031,97.88006452121131,99.27444121536162,70.20585903907396,75000.0,2990784.0,10.0,1.2787275367074016E-41,0.9999999999999994,42556.0,195.86446561050556,291561.6,176613.50738528845,18.099999999999998,20.604476320558224,13.700000000000001,20.193783421857553,13.700000000000001,20.193783421857553,1.7999999999999998,0.7888106377466154,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,13.585792,9.234949061048942E-6,80000.0,95.73125018952227,0.08379632628746547,-351646.3088805992,-168480.48972507517,71.71934623613025,97.81898090089135,92.12591630412629,95.73181881397812,68.53060176266229,80000.0,2678448.0,10.0,5.351274827919731E-68,0.9999999999999994,42770.9,194.99142431285438,260392.80000000002,185961.16772941843,19.5,20.051323037534345,14.7,19.95578445797943,14.7,19.95578445797943,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,14.413245,9.774220909240345E-6,85000.0,98.88591035103214,0.40453028824959286,-2834963.7785848775,-40420.91645975106,71.47268957664603,99.43957280392553,86.7001723778637,98.88626074294416,68.11505581015254,85000.0,2519224.0,10.0,2.51286223752521E-91,0.9999999999999994,42956.4,197.958020241105,243920.8,138187.82006208473,40.5,26.65937400281976,35.199999999999996,24.724257094782217,35.199999999999996,24.724257094782217,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
