learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,2.857213,5.848790221268104E-7,5000.0,58.06054663422149,16.93025978483405,-24.464792080146474,-98.08204205129196,66.97842868510357,39.99380279631575,54.36681361002478,69.87339725088606,55.731546466276804,5000.0,791272.0,10.0,0.730549355501587,0.2694506444984131,7926.2,74.71992148461263,72351.2,35458.39391236502,13.4,3.565264521898917,7.2,2.973961069759395,7.2,2.973961069759395,3.4000000000000004,1.429840705968481,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,5.347605,1.320306302609129E-6,10000.0,60.125352749236605,11.744114029613865,-50.82810189691392,-150.98400729122326,71.6049747659779,34.820906494217944,60.03110668996627,63.1125946802522,55.485065866911086,10000.0,1141496.0,10.0,0.9548844030680793,0.04511559693192072,15793.1,120.04022473969108,106968.8,54092.631982964594,21.700000000000003,7.513691207093591,9.9,6.6907896893167,9.9,6.6907896893167,5.4,1.837873166945363,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,6.916729,1.842102967188176E-6,15000.0,70.6874192728154,9.80942488018939,12.314674378531963,-52.05003409433557,80.03495645438919,37.081510229902584,76.99605045132233,57.15410096128102,57.91160320104326,15000.0,1285424.0,10.0,0.7594353608481558,0.24056463915184417,23738.500000000004,153.9662661465525,121219.2,71399.48008027324,32.1,13.118688958886098,13.100000000000001,11.179842972461147,13.100000000000001,11.179842972461147,5.4,3.3399933466334266,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,8.443071,2.362693994395021E-6,20000.0,61.78030474345903,19.842104392693546,-22.790458841816736,-99.31040388586023,71.76721085464524,38.641325454897014,60.070884624473074,58.74678416340269,54.50175886791998,20000.0,1318400.0,10.0,0.7708269764264344,0.22917302357356548,31615.1,149.8476633859277,124464.79999999999,99992.34107203745,37.2,13.31498737847276,11.7,12.65833059030034,11.7,12.65833059030034,6.4,3.596294389136314,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,10.264391,2.923609227010359E-6,25000.0,53.00309533760763,8.498279065894842,-74.87778595220303,-176.1387519583296,64.29212638101106,33.60302399581354,50.96272062057368,65.68505808311313,54.00180059583356,25000.0,1190456.0,10.0,0.8969951958849455,0.10300480411505442,39551.0,187.96690015945762,111752.0,59359.835639185454,44.099999999999994,16.237473804614915,12.9,15.125034435222508,12.9,15.125034435222508,6.6000000000000005,3.4058772731852804,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,12.044687,3.628964603114873E-6,30000.0,53.42192094744822,11.046364482441353,-47.785238558762885,-132.6939324420724,64.2073801560499,36.84999727185748,51.19419031017781,61.89443377191001,53.171567609505324,30000.0,1531504.0,10.0,0.657966928543805,0.342033071456195,47544.4,248.6283259092661,145564.0,72477.44015592407,56.300000000000004,19.844114716683354,18.4,18.11199725166842,18.4,18.11199725166842,7.4,3.238655413730965,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,13.202083,4.3143183224917286E-6,35000.0,60.82436104781088,19.26193451596497,-8.200544681380432,-62.968417929507815,69.41691250059053,42.036401273884955,58.71921419815569,63.26916708848317,55.224175251115994,35000.0,2288944.0,10.0,0.7864408867773028,0.21355911322269705,55468.200000000004,263.25391207391766,220612.79999999996,110479.5450758998,69.7,21.468581695119035,25.4,19.34022865543333,25.4,19.34022865543333,9.4,3.0258148581093915,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,14.535721,5.17757975111612E-6,40000.0,63.028542687496525,9.462282949899963,-7.424451633442413,-84.80398536478279,74.55686368058643,34.933023939039884,67.38242602449857,53.54558272277507,54.983635917260344,40000.0,2502112.0,10.0,0.8718570665324766,0.12814293346752345,63406.899999999994,309.9345629860176,241798.39999999997,144966.67601992766,79.8,22.175061067183858,30.7,19.78242766812113,30.7,19.78242766812113,9.6,4.221637386396684,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,16.421516,6.68008024652385E-6,45000.0,59.9367524143809,8.813956099916238,-29.581442474806064,-120.90471188985819,71.64690092205801,33.35376013663806,61.675879872819,56.890212893382476,54.44402923328725,45000.0,3079800.0,10.0,0.8099985844646864,0.19000141553531358,71323.40000000001,310.9012705023888,298922.39999999997,170206.4027854286,90.39999999999999,24.286255829629695,35.4,21.30831866770451,35.4,21.30831866770451,10.8,3.190262963734773,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,18.561824,8.742649671182864E-6,50000.0,62.09153821416784,15.650998655960077,-20.98040558370293,-96.10415276407397,72.79999075265648,40.31043846189225,62.547602213672924,63.695699072765,56.17902217163403,50000.0,3725072.0,10.0,0.8191780323143653,0.18082196768563483,79209.1,253.28264843845832,362834.4,177762.42230772824,100.19999999999999,26.05037854278172,39.9,24.066805170423248,39.9,24.066805170423248,11.0,4.371625682868001,0.0,0.0,0.0,0.0,1.0,0.0
