learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,1.113413,5.743071478067173E-8,5000.0,41.118838532851925,8.602086186714864,-74.74313400150531,-178.09853886368205,43.310278457043125,38.281250110648955,28.511886349693473,87.23243639752476,53.79226774063775,5000.0,199384.0,10.0,0.730549355501587,0.2694506444984131,1791.9999999999998,64.18203279215562,13721.6,4010.6131202099264,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.027395,1.6423513050087621E-7,10000.0,38.61985383167878,5.848567051618429,-132.17386432291968,-286.3466165998834,45.455177484004814,31.551793566099366,30.292469211374296,86.4981049619438,54.03484389107599,10000.0,451704.0,10.0,0.9548844030680793,0.04511559693192072,3422.8,96.26329633989383,38669.6,3753.2233021172024,5.4,0.8432740427115678,3.2,0.4216370213557839,3.2,0.4216370213557839,2.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.554379,2.3881807865574954E-7,15000.0,43.876309058879315,9.600983932012126,-67.88778037161501,-191.12445610028635,49.17083484120673,37.68806177462648,33.67878737108246,89.20388694110768,55.42622896972834,15000.0,547072.0,10.0,0.7594353608481558,0.24056463915184417,5162.7,107.48234997224225,48123.200000000004,7151.156002897557,6.599999999999999,1.264911064067352,3.7999999999999994,0.632455532033676,3.7999999999999994,0.632455532033676,2.5999999999999996,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,3.191522,3.699259807293614E-7,20000.0,46.08418768475032,10.683158239858487,-73.21821350435194,-181.16347491147425,52.765829556928345,37.3575776557851,37.173723134136814,83.81191874607909,54.996736694147565,20000.0,795416.0,10.0,0.7708269764264344,0.22917302357356548,6755.8,115.01574771405102,72676.79999999999,13111.840389510542,10.9,2.024845673131659,6.199999999999999,1.4757295747452435,6.199999999999999,1.4757295747452435,4.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.726163,4.959603093688687E-7,25000.0,39.81809228470799,8.084760723145862,-123.9398286170944,-253.60960485277496,45.71031325955987,34.03659059939086,30.482760400763315,85.5311480111691,53.854876383650804,25000.0,911232.0,10.0,0.8969951958849455,0.10300480411505442,8529.0,130.48116083685562,84089.6,15063.139551752005,13.5,2.6352313834736494,7.5,1.5811388300841898,7.5,1.5811388300841898,5.2,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.297517,6.608544328105118E-7,30000.0,40.954524626354925,8.992195571204885,-87.34241173974821,-194.97832751117497,44.331244576912276,37.47952114511291,29.33339877395131,86.59685255356932,53.83545563277063,30000.0,1115584.0,10.0,0.657966928543805,0.342033071456195,10276.1,144.07902923974285,104389.6,10820.898989147496,15.4,1.8973665961010278,8.6,1.3498971154211057,8.6,1.3498971154211057,5.8999999999999995,0.7378647873726221,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.794521,8.298033927919137E-7,35000.0,45.41753157353825,8.079965110633774,-50.753196929475855,-127.05994756087374,49.87708409978744,39.80189962452575,35.33972999293939,78.22999477541829,53.284548597214766,35000.0,1314008.0,10.0,0.7864408867773028,0.21355911322269705,12008.000000000002,189.29166208085675,124062.4,13981.498276094891,17.899999999999995,2.5582111805799843,10.0,1.5634719199411433,10.0,1.5634719199411433,6.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.190754,9.790083176001079E-7,40000.0,43.21098464475603,7.368395455330266,-65.00644758942381,-183.8632049010861,49.225225935713645,36.399142031651024,34.01108110405936,82.6160591953324,53.997023135398805,40000.0,1455576.0,10.0,0.8718570665324766,0.12814293346752345,13661.9,187.88793941543406,138093.6,20302.858579246637,19.800000000000004,3.155242550986462,11.099999999999998,2.131770260709264,11.099999999999998,2.131770260709264,7.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.659982,1.1625960354113745E-6,45000.0,43.36902024125954,8.489828647901684,-83.16847704910624,-212.2575183379666,49.54336478393262,34.70629811872685,34.13334962456263,83.28712398398666,54.18036397269525,45000.0,1512384.0,10.0,0.8099985844646864,0.19000141553531358,15333.7,192.08739330488783,143693.59999999998,18242.234580469816,21.0,2.9814239699997196,11.7,2.110818693198342,11.7,2.110818693198342,7.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.279074,1.4340433980876372E-6,50000.0,47.068314608153244,9.860249330272797,-68.92526009398487,-173.8207468503,54.64664967555252,37.681384207836516,39.41379877280169,82.29468123268613,55.16078317189845,50000.0,1694856.0,10.0,0.8191780323143653,0.18082196768563483,17056.899999999998,180.32344396790018,161714.4,21550.830967222075,24.4,3.657564459825387,13.399999999999999,2.319003617456812,13.399999999999999,2.319003617456812,8.8,1.2292725943057181,0.0,0.0,0.0,0.0,1.0,0.0
