learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.267339,3.546952636912465E-8,5000.0,94.94,69.48086100160678,71.82628062360803,49.90099009900991,97.21641544724393,72.22832052689353,98.28698553948833,65.14851485148515,63.92094734728465,5000.0,512856.0
10000.0,0.544321,1.080375715614193E-7,10000.0,95.11,71.8683359884868,72.41962774957696,50.55611729019205,97.29490512806329,74.57098283931357,97.59183220508267,72.4974721941355,65.20914514069675,10000.0,1012736.0
15000.0,0.70321,1.699629499287241E-7,15000.0,95.36,74.32872947128249,74.24130273871206,53.56904603068712,97.42088490328318,76.90776376907763,97.36315828457151,77.31821214142762,66.08354001300157,15000.0,1506528.0
20000.0,0.863399,2.5214345425574314E-7,20000.0,95.49,75.38144096356272,75.17886626307097,55.23573200992553,97.48886414253897,77.8921568627451,97.35335001390048,78.85856079404466,66.37241723938212,20000.0,1983072.0
25000.0,1.071605,3.8734313465861805E-7,25000.0,95.524,75.66589252165339,75.10013351134846,55.0963081861958,97.50651781536199,78.15732968963498,97.20543806646525,80.33707865168539,66.6225406146731,25000.0,2510064.0
30000.0,1.288894,5.536588800450165E-7,30000.0,95.67666666666666,76.57553629198938,75.82929556466641,56.59303882195448,97.5905181222018,78.98233673634742,97.23826447504813,81.55957161981259,66.85765402982308,30000.0,2958680.0
35000.0,1.519453,7.603706291007497E-7,35000.0,95.71142857142857,76.76829636732303,76.02236421725237,56.91733639494833,97.60983455150559,79.15567282321899,97.24901637263612,81.80252583237659,66.90507122128574,35000.0,3465656.0
40000.0,1.771954,1.019860674422234E-6,40000.0,95.7475,77.08063164485675,76.28276631344114,57.421777221526895,97.6283758348089,79.44907575208408,97.23927232328843,82.30287859824782,66.99666986528813,40000.0,3972464.0
45000.0,2.044109,1.3315229422640467E-6,45000.0,95.79111111111112,77.37669090123957,76.61150901457152,57.9764810295097,97.65187205554177,79.72162740899358,97.25878546909343,82.60483692034613,67.05662204239033,45000.0,4426600.0
50000.0,2.339369,1.7110040205758477E-6,50000.0,95.76,76.48624667258207,76.83060109289619,57.599999999999994,97.64392087130473,78.84231536926148,97.62222222222222,79.0,66.44964676772598,50000.0,4968072.0
55000.0,2.667277,2.1779879292307626E-6,55000.0,95.92,77.21191079803556,77.0786516853933,58.57868020304575,97.7348434377082,79.476861167002,97.63727121464227,80.20304568527918,66.67839172099187,55000.0,5504936.0
60000.0,3.146939,2.9169959132249153E-6,60000.0,92.36,52.92062219711321,58.74730021598271,26.396917148362213,95.80772607550483,56.98198198198199,97.41129212229413,48.747591522158,60.4480941892406,60000.0,5955472.0
65000.0,3.658319,3.7661733765775956E-6,65000.0,93.05,57.840726998143275,60.73446327683617,29.939516129032217,96.17900929132992,61.623412479293215,97.10257548845472,56.25,61.91780347534437,65000.0,6418848.0
70000.0,4.172212,4.67837675753153E-6,70000.0,93.55333333333333,61.61941766932466,63.371212121212125,34.750337381916324,96.44811753902664,65.15315315315314,97.1223553780145,60.99865047233468,62.87308761512138,70000.0,6861536.0
75000.0,4.653216,5.605294140093029E-6,75000.0,93.55499999999999,61.89304925079485,63.44299489506523,34.734177215189874,96.44619668605773,65.43309198176455,97.0374479889043,61.77215189873417,63.00984047901535,75000.0,7448944.0
80000.0,5.192885,6.727266925445033E-6,80000.0,93.5,61.40363424710026,63.21865097329111,34.023548518067486,96.41762747734838,64.97089890062513,97.03154812086791,61.18554608201381,62.89218834698029,80000.0,8036320.0
85000.0,5.785915,8.028247957920862E-6,85000.0,93.57,61.82405421023881,63.79504504504503,35.159663865546165,96.4561938529936,65.34938027663014,97.13968547641073,61.142857142857146,62.90519505956321,85000.0,8480016.0
90000.0,6.431573,9.518570592432386E-6,90000.0,93.59142857142857,61.933338183573824,64.06600448574173,35.582998276852365,96.46821710308775,65.444461562163,97.19208071578146,60.999425617461235,62.88710248000831,90000.0,8922368.0
95000.0,7.073808,1.1077119247275922E-5,95000.0,93.585,61.776215187336014,64.24191750278705,35.576198845091575,96.46595416483031,65.28679653679653,97.23463919815643,60.582475520964095,62.81264098872148,95000.0,9380560.0
100000.0,7.711257,1.2697441686064832E-5,100000.0,93.57555555555555,61.50249926147654,64.1047926496151,35.38220831470718,96.46304611130823,65.0127072491831,97.27829048018556,60.03576218149307,62.71244945417111,100000.0,9825584.0
