learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.039863,1.3674268945430716E-7,5000.0,94.82000000000001,76.35825909157298,71.15812917594657,48.71287128712874,97.04169046259281,79.19678714859437,94.50500556173526,97.62376237623762,69.3052609723773,5000.0,508312.0,10.0,0.8664785755700316,0.13352142442996828
10000.0,1.729985,2.6001328935846686E-7,10000.0,94.71000000000001,75.81699692999292,70.16356457980827,46.51162790697679,96.98007649711708,78.69512686266613,94.26256797247808,98.78665318503539,69.4710769236942,10000.0,690456.0,10.0,0.7411614832712671,0.2588385167287327
15000.0,2.285278,3.8213242276675174E-7,15000.0,94.89333333333333,76.73216854852592,71.65062916358251,48.89926617745159,97.08301599390708,79.5187165775401,94.41522850159248,99.19946631087392,69.57274876208112,15000.0,850088.0,10.0,0.8652140343903814,0.13478596560961864
20000.0,2.82009,5.153573131644064E-7,20000.0,94.95,77.1042471961487,72.20693450742984,49.875930521091824,97.11296592728105,79.86443381180224,94.45093133166527,99.40446650124069,69.61598197125893,20000.0,962912.0,10.0,0.7171149277781222,0.2828850722218778
25000.0,3.317464,6.517207903042435E-7,25000.0,94.848,76.57842776019011,71.33956386292834,48.314606741573016,97.05613457670506,79.3854033290653,94.33090456726497,99.51845906902086,69.61489848378109,25000.0,1059784.0,10.0,0.9443439283058862,0.05565607169411371
30000.0,3.818612,7.997064941086703E-7,30000.0,94.86,76.62362989002737,71.26351099515466,48.39357429718876,97.06319277796823,79.42353883106485,94.33585073300755,99.59839357429718,69.6301379266379,30000.0,1141448.0,10.0,0.9805866840549109,0.01941331594508907
35000.0,4.270529,9.434605684586698E-7,35000.0,94.89428571428572,76.75113658301528,71.45367412140573,48.708381171067686,97.08335373516786,79.53269957622265,94.36794009392054,99.65556831228473,69.64616077110878,35000.0,1229600.0,10.0,0.9843800174167161,0.015619982583284042
40000.0,4.629391,1.0638036817933122E-6,40000.0,94.9175,76.89273951803574,71.65365309537088,49.1113892365457,97.09583874976786,79.66389916975093,94.38966810165255,99.67459324155195,69.65347466982614,40000.0,1296272.0,10.0,0.9913726099406683,0.008627390059331663
45000.0,4.994303,1.1934454272811612E-6,45000.0,94.9688888888889,77.13339550649675,72.04247962459867,49.76702906589752,97.12500634936761,79.87913259864914,94.4410144963327,99.71155979587309,69.66932149307287,45000.0,1373280.0,10.0,0.9430133458629701,0.05698665413702982
50000.0,5.325215,1.3174730967109403E-6,50000.0,95.00999999999999,77.2853638771088,72.31776323088867,50.16976233273412,97.14919046149978,80.0096146142136,94.48580890360722,99.72039145196725,69.67894236345269,50000.0,1448800.0,10.0,0.8792398382840577,0.1207601617159423
55000.0,5.896874,1.3892049794395766E-6,55000.0,88.66000000000001,51.446001445487674,36.64804469273748,-15.714285714285687,93.45794392523364,57.464366091522876,89.80044345898004,78.16326530612245,64.80040678211489,55000.0,485040.0,10.0,0.9477484544728262,0.052251545527173864
60000.0,6.280343,1.4571063438678782E-6,60000.0,87.51,51.921063393675404,31.18457300275481,-24.031777557100295,92.65337333098053,58.352784261420474,87.57922828866896,86.89175769612712,66.04373285649368,60000.0,684464.0,10.0,0.9168156347674535,0.08318436523254646
65000.0,6.720533,1.5563382582987349E-6,65000.0,87.3,52.13258344676891,28.838251774374296,-27.85234899328853,92.5008857221588,58.559930389384384,86.96521095484826,90.33557046979865,66.5771697777562,65000.0,871392.0,10.0,0.9154545975918594,0.0845454024081405
70000.0,7.136548,1.6691447782061166E-6,70000.0,87.205,52.334357328181845,27.65055131467343,-29.766734279918843,92.42832204041778,58.74576817668869,86.63745285112047,92.39350912778905,66.90122606853134,70000.0,1048160.0,10.0,0.95292928562844,0.04707071437155987
75000.0,7.599419,1.8143533841872382E-6,75000.0,87.144,52.5463997582471,27.400045177320987,-30.226904376012936,92.3781066211345,58.963227783452496,86.44150541452157,93.55753646677472,67.08186078987677,75000.0,1212648.0,10.0,0.9452164092822045,0.054783590717795476
80000.0,7.949897,1.936775270810144E-6,80000.0,87.07333333333334,52.51670639321288,26.899151743638072,-31.502204136995495,92.32929820397183,58.93689114781873,86.27777161657609,94.37097321125806,67.20281705922643,80000.0,1350208.0,10.0,0.9353644407499258,0.06463555925007423
85000.0,8.342215,2.088153219436192E-6,85000.0,87.11142857142858,52.93878557654631,27.5108468584284,-30.112489183732333,92.34164643566541,59.349373704604844,86.24615482193258,94.98125180271127,67.31036447395078,85000.0,1491512.0,10.0,0.8111265842527932,0.18887341574720676
90000.0,8.73531,2.25162829020578E-6,90000.0,87.20750000000001,53.34363305078319,28.333333333333353,-28.826787512587998,92.39661807753458,59.71183371388079,86.29676917952703,95.46827794561933,67.41013409071857,90000.0,1607520.0,10.0,0.8097745914659634,0.19022540853403658
95000.0,9.182725,2.449547535042382E-6,95000.0,87.16888888888889,53.45197838765841,28.636756890371977,-28.740245261984416,92.36485771712685,59.83583750695603,86.20264099716155,95.8974358974359,67.47223074987915,95000.0,1709936.0,10.0,0.8612047374685885,0.13879526253141147
100000.0,9.56783,2.6332070073795815E-6,100000.0,87.198,53.492904204380366,28.432468694096602,-29.000403063280967,92.384929274183,59.85071818352882,86.21164350104357,96.15074566706973,67.52080960120985,100000.0,1843472.0,10.0,0.7351454890359188,0.2648545109640812
