learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.714898,5.2608607928786015E-8,5000.0,93.22,68.22948843290968,60.854503464203255,29.95867768595044,96.14466052541793,71.91383595691796,93.60053144375554,89.6694214876033,67.68861664477987,5000.0,284456.0,10.0,0.9811419281995174,0.018858071800482545,6865.0,70.80489625254269,22336.0,4457.109776027011,11.7,2.7507574714370344,5.9,2.6012817353502227,5.9,2.6012817353502227,4.3999999999999995,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.364887,1.2542676334786747E-7,10000.0,92.58999999999999,67.54108046412836,58.277027027026996,25.602409638554178,95.74064493878255,71.53284671532846,92.49222567747668,93.47389558232932,68.18469792772532,10000.0,433048.0,10.0,0.9505021884513489,0.04949781154865122,13775.900000000001,85.81562924212693,36678.4,4712.674994098362,19.3,2.9078437983419185,9.7,2.406010991015812,9.7,2.406010991015812,6.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.824348,1.88016157237192E-7,15000.0,92.25999999999999,67.06067757973621,57.03182827535158,22.651565622918007,95.52928491663137,71.19821384271893,91.88828802133492,95.60293137908062,68.46371655855668,15000.0,526568.0,10.0,0.8306963619275071,0.16930363807249293,20767.800000000003,104.91668652369408,45749.6,4470.125705416149,23.5,3.689323936863109,11.799999999999999,2.859681411936963,11.799999999999999,2.859681411936963,7.400000000000001,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.182991,2.451827372941706E-7,20000.0,92.495,68.09702788426038,58.46707249584949,25.36051715564403,95.66398012537192,72.11592049043286,92.0451386958697,96.5191447041273,68.65935540769317,20000.0,616144.0,10.0,0.9391161913204856,0.06088380867951424,27729.1,120.09482364642793,54457.6,4819.947883535671,27.1,3.0713731999438507,13.6,2.2211108331943574,13.6,2.2211108331943574,8.700000000000001,0.9486832980505139,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.554257,3.134397259561552E-7,25000.0,92.444,68.0783241729221,58.244916003536716,24.95033770361545,95.62984384037017,72.11808118081181,91.92723391006538,97.05999205403258,68.73631244911563,25000.0,710664.0,10.0,0.969458823039757,0.030541176960243117,34624.299999999996,142.7048624882067,63569.6,5241.551322525294,32.1,3.8427420765212266,16.099999999999998,2.601281735350223,16.099999999999998,2.601281735350223,10.3,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.910647,3.849443390510148E-7,30000.0,92.50666666666667,68.35569163567452,58.75229357798166,25.63678465100897,95.66575405853546,72.36292107204328,91.96352448381955,97.35362222957326,68.796283822855,30000.0,775552.0,10.0,0.8411121809951848,0.1588878190048152,41546.3,167.13138544270925,69844.0,7027.243240101737,35.300000000000004,5.8509258526606995,17.700000000000003,3.1989581637360205,17.700000000000003,3.1989581637360205,10.8,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.288024,4.698210802260372E-7,35000.0,92.51428571428572,68.31339521396677,58.557418538437226,25.313568985176765,95.67213981301002,72.31029380680617,91.95668741267623,97.51995438996579,68.82525731928688,35000.0,869392.0,10.0,0.9450565945722426,0.05494340542775736,48471.6,173.87684019315395,78865.59999999999,8121.147417562237,40.7,5.618422079789544,20.4,3.204163957519444,20.4,3.204163957519444,12.700000000000001,1.4944341180973264,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.662592,5.60532828428679E-7,40000.0,92.5325,68.45336246283868,58.77725641733368,25.678029360537387,95.68109194488224,72.44210720546175,91.95686612378755,97.68599154018412,68.85543872200142,40000.0,936128.0,10.0,0.9408327132978119,0.05916728670218817,55335.5,199.5468477436921,85384.79999999999,9554.79240776876,42.9,6.806043066438988,21.5,3.7490739597339977,21.5,3.7490739597339977,12.8,1.6193277068654823,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.065754,6.662654363488156E-7,45000.0,92.59555555555555,68.55003939802884,58.81844024224445,25.7410296411856,95.72184274048585,72.49917464509738,92.00997210771851,97.8827724537553,68.90078819604929,45000.0,1013752.0,10.0,0.6783575785819763,0.32164242141802346,62205.4,198.7159894030784,92832.8,11568.743452366236,47.5,8.209073570683167,23.799999999999997,4.3153472887152695,23.799999999999997,4.3153472887152695,13.4,1.8973665961010275,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.480699,7.829185226870079E-7,50000.0,92.9,71.032780121992,62.39406779661019,33.2706766917294,95.86584371724699,74.87615003538572,92.12175470008953,99.43609022556392,69.20221183706006,50000.0,1086696.0,10.0,0.800426996180782,0.1995730038192181,69118.59999999999,201.7876771923097,99911.2,10958.616263014232,50.7,6.961002482082272,25.4,3.806427312965386,25.4,3.806427312965386,14.0,2.260776661041756,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.889516,9.056819515551129E-7,55000.0,92.92,70.46638089692101,61.39585605234462,31.26213592233011,95.89517625231912,74.2732558139535,92.19620958751393,99.22330097087378,69.17721997854274,55000.0,1160760.0,10.0,0.7537172122373028,0.2462827877626971,76036.9,197.0963949160132,107008.0,10570.807937165657,55.300000000000004,5.8509258526606995,27.700000000000003,3.198958163736021,27.700000000000003,3.198958163736021,14.200000000000001,2.4404006956964177,0.0,0.0,0.0,0.0,1.0,0.0
