learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.946395,1.1482866536825896E-7,5000.0,95.38,86.73333005591068,85.36121673003801,77.1513353115727,97.02434625788999,89.67367009387573,94.4096264728002,99.20870425321465,69.57340201650607,5000.0,469008.0,10.0,0.762007617303945,0.23799238269605502
10000.0,1.636088,2.2997642469902834E-7,10000.0,95.03,85.87368608226666,84.34152488972906,75.48100641341887,96.78629162625283,89.04079382579934,93.86680045152389,99.60532807104094,69.54712943798702,10000.0,645360.0,10.0,0.7941288443288144,0.20587115567118555
15000.0,2.271242,3.590003445371985E-7,15000.0,95.22,86.23966881243392,84.88617200674537,76.0280842527583,96.92499035038814,89.27128535089032,94.09609459571988,99.73253092611168,69.61117466359686,15000.0,785224.0,10.0,0.8298470504879543,0.17015294951204565
20000.0,2.894776,5.098252617774738E-7,20000.0,95.19,86.07559426707608,84.6129238643634,75.62705852546236,96.91270860077022,89.11764705882354,94.05718557279013,99.79731441601216,69.61582075735411,20000.0,935008.0,10.0,0.9249662955641254,0.07503370443587459
25000.0,3.517422,6.817635268138514E-7,25000.0,95.212,86.16506517375429,84.7418738049713,75.8132956152758,96.92453945170988,89.19577579203899,94.07012119096304,99.83835118205698,69.62551119615209,25000.0,1067416.0,10.0,0.8451440290737452,0.1548559709262548
30000.0,4.131516,8.678852303119169E-7,30000.0,95.28999999999999,86.41107476569601,85.06658211794546,76.31181894383904,96.97268344938404,89.39587242026266,94.15851882671105,99.84911986588433,69.64331243784204,30000.0,1171560.0,10.0,0.8634462287172121,0.13655377128278787
35000.0,4.786875,1.0891061384148068E-6,35000.0,95.36857142857143,86.63110487938869,85.35417419588,76.7331706616908,97.02366744395279,89.56684044538844,94.24963435950488,99.87081957801061,69.6635582527758,35000.0,1304816.0,10.0,0.8828397155222416,0.11716028447775846
40000.0,5.322177,1.283784446335501E-6,40000.0,95.42500000000001,86.79069744612212,85.52902103431916,77.03889585947304,97.06014651073126,89.69130238846328,94.31470496409617,99.8870765370138,69.67814964196272,40000.0,1405792.0,10.0,0.8194534502279595,0.1805465497720404
45000.0,5.820568,1.4775301204745968E-6,45000.0,95.5,86.99212703145717,85.76750070283946,77.41719638675141,97.10957906907035,89.84504287648564,94.40512863208725,99.89963198394112,69.69662126244506,45000.0,1502672.0,10.0,0.7763641700924419,0.22363582990755812
50000.0,6.299305,1.6751693189827104E-6,50000.0,96.16,88.82789488445599,87.97745773324984,80.85742771684946,97.53909254037427,91.26478616924476,95.19639729797348,100.0,69.85635212669881,50000.0,1595800.0,10.0,0.6849757886358646,0.3150242113641353
55000.0,6.885318,1.9320158228567902E-6,55000.0,96.04,88.4722869119702,87.46041798606714,80.20000000000002,97.46283956945156,90.98360655737704,95.075,99.9,69.81672435742026,55000.0,1694216.0,10.0,0.900906010835839,0.09909398916416096
60000.0,7.337361,2.138939073077506E-6,60000.0,96.08,88.35029474943029,87.30569948186529,79.77296181630547,97.50826341215358,90.8153701968135,95.13768295708262,100.0,69.84584507275336,60000.0,1769424.0,10.0,0.8555664864987563,0.1444335135012437
65000.0,7.806381,2.3668805246717397E-6,65000.0,95.72,87.48879838210287,86.29961587708068,78.25203252032522,97.26272704016374,90.19248395967003,94.67131474103586,100.0,69.76233130082377,65000.0,1878600.0,10.0,0.876081481655254,0.12391851834474607
70000.0,8.262397,2.5999547844297354E-6,70000.0,95.8,87.68349121750812,86.5154109589041,78.60054347826086,97.31709394429777,90.33445842282909,94.77438619774387,100.0,69.78079717904917,70000.0,1975680.0,10.0,0.8290710123931526,0.1709289876068473
75000.0,8.713663,2.840798058849242E-6,75000.0,95.905,87.91986935169079,86.83491400096446,79.00538323506791,97.3899741865579,90.49994200208793,94.91272749860241,100.0,69.80557418619992,75000.0,2063024.0,10.0,0.6734877498684793,0.3265122501315207
80000.0,9.198982,3.1104042012161677E-6,80000.0,95.864,87.8691495231079,86.82802547770702,78.95807895807899,97.35806632939854,90.48057447983795,94.85213581599123,100.0,69.79472326329392,80000.0,2147360.0,10.0,0.8232244476697396,0.17677555233026043
85000.0,9.708243,3.4066360249680773E-6,85000.0,95.84,87.82171458548747,86.78246134293582,78.88324873096447,97.34083354640757,90.44995408631773,94.81942714819426,100.0,69.78886500513428,85000.0,2248504.0,10.0,0.8801974136066185,0.11980258639338161
90000.0,10.22865,3.720269288079192E-6,90000.0,95.89714285714285,87.97103618896772,86.9785999274574,79.1612247859527,97.37879672897196,90.56256572029443,94.89487352805152,99.98548831809607,69.79977826722438,90000.0,2329600.0,10.0,0.7515691097913182,0.2484308902086819
95000.0,10.749306,4.047064063902944E-6,95000.0,95.9525,88.08165270772261,87.09754542556581,79.33894844308318,97.41839809927765,90.63458089894141,94.97264021887824,99.97447677386421,69.81173199984771,95000.0,2426200.0,10.0,0.6970607038193242,0.3029392961806758
100000.0,11.257401,4.37980592681095E-6,100000.0,95.97333333333333,88.15684953443782,87.20880982634476,79.4929832503395,97.43051616562678,90.69815195071868,94.99502267448291,99.97736532367587,69.8162567025329,100000.0,2531424.0,10.0,0.898088915597988,0.1019110844020121
