learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.552962,1.2588091253489256E-6,5000.0,91.92,82.02168469630621,80.83491461100569,73.5775016350556,93.89912413168227,88.04026050917702,89.5707288965716,97.2531066056246,68.34175800749426,5000.0,3133296.0
10000.0,3.811752,4.9134312014281746E-6,10000.0,92.60000000000001,83.38375614862773,82.20298220298221,75.34155281572811,94.46356426754451,88.84534217666565,90.19859979997142,98.20059980006664,68.62929396402787,10000.0,6254160.0
15000.0,6.980965,1.260461835294134E-5,15000.0,93.09333333333333,84.43687724599945,83.43460185481291,76.91107644305771,94.84884645982497,89.52265372168286,90.72576809664226,98.64051704925339,68.80521149337012,15000.0,9380896.0
20000.0,12.553136,3.055790801798925E-5,20000.0,93.19,84.61988850548396,83.61799374548953,77.10539586485122,94.93228158952225,89.62206644315756,90.7906910540175,98.85695074802487,68.85630722781363,20000.0,1.2454376E7
25000.0,19.736864,5.943126182382927E-5,25000.0,93.30000000000001,84.89381842423859,83.89887532442566,77.59197324414718,95.00551629543489,89.82566968353277,90.90442225392297,98.91638795986623,68.88773661069675,25000.0,1.5536376E7
30000.0,30.288204,1.104854508255567E-4,30000.0,93.57333333333332,85.51257559535048,84.55375741067137,78.59204974461468,95.20731828577111,90.24883673882258,91.2165380584929,99.06728847435043,68.97170190245477,30000.0,1.870364E7
35000.0,43.109697,1.8283404973288585E-4,35000.0,93.60000000000001,85.55342079093379,84.54852728150654,78.62799351206948,95.23323118828738,90.2642559109875,91.25983930829152,99.07451579047802,68.98085877596219,35000.0,2.181192E7
40000.0,57.118327,2.730996733390064E-4,40000.0,93.73,85.83425347378574,84.87151646760768,79.0528689551491,95.33360622185837,90.44716995505448,91.40828486816285,99.16478743840307,69.02410309206594,40000.0,2.490744E7
45000.0,75.847197,4.080099621575595E-4,45000.0,93.58666666666666,85.53509699264897,84.55693493150685,78.582560296846,95.22011328629635,90.2572412396192,91.1847739888977,99.20593692022264,68.99107023903896,45000.0,2.7844272E7
50000.0,97.516358,5.817171094315624E-4,50000.0,92.86,84.20194044423613,83.00809138505473,76.72750977835723,94.58023379383636,89.53999414005274,89.92494226327945,99.47916666666666,68.81208268355677,50000.0,3.0986888E7
55000.0,119.703495,7.770632543283847E-4,55000.0,93.35,85.12621957171206,84.15157292659676,77.9874213836478,95.0056327450244,90.05235602094243,90.65500931632506,99.56996361230566,68.96103481833613,55000.0,3.4033448E7
60000.0,145.40424,0.0010249860373774875,60000.0,93.86,85.94542687080559,85.12596899224806,78.84217780840798,95.48595794736067,90.40325101594249,91.5163472378805,99.58677685950413,69.12002678265262,60000.0,3.7288344E7
65000.0,174.603013,0.001329930842035088,65000.0,93.97,86.34507777417973,85.60859188544153,79.72427706792197,95.52238805970148,90.769937241696,91.55871886120997,99.66386554621849,69.141627187865,65000.0,4.0370024E7
70000.0,207.240398,0.0016964512215765712,70000.0,93.97999999999999,86.41266567068345,85.62101910828025,79.90206988649008,95.51571733624671,90.84457061745918,91.53816866552447,99.68847352024922,69.14236078298414,70000.0,4.3409536E7
75000.0,240.346297,0.0020946830275132486,75000.0,93.94,86.28359245253091,85.57142857142857,79.67125125796713,95.49777117384843,90.73394495412843,91.5722732777659,99.51366761697132,69.1169192193086,75000.0,4.6497856E7
80000.0,276.622974,0.002559619796931075,80000.0,93.892,86.14169759358155,85.41268628200228,79.39827307069616,95.47247012779079,90.61635838505498,91.54489111275373,99.46040739241873,69.10233326472638,80000.0,4.9541456E7
85000.0,314.448142,0.0030742096889341142,85000.0,93.87333333333333,86.16525114236661,85.46461051799129,79.53229398663696,95.43830040702869,90.67383803531561,91.4743803225653,99.48780759380915,69.09453450099625,85000.0,5.2587528E7
90000.0,356.300665,0.0036777735087362507,90000.0,93.85714285714286,86.12834207596188,85.3302401746725,79.46709960844237,95.4265049989364,90.64810787298825,91.44651011089367,99.50343773873186,69.09232009594581,90000.0,5.5744744E7
95000.0,400.372331,0.004348589072411337,95000.0,93.88499999999999,86.1966734033691,85.36731275424742,79.58604573526956,95.44540443914792,90.69820505019774,91.47660349073776,99.51598097304515,69.10003336898306,95000.0,5.8836392E7
100000.0,448.320468,0.00511611182870657,100000.0,93.90444444444445,86.23708155509759,85.38936827527432,79.64378478664193,95.46093892207641,90.72339274239914,91.49854079431545,99.53250222617987,69.10699006260063,100000.0,6.1875952E7
