learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.455396,1.1776059964547554E-6,5000.0,92.60000000000001,83.53387002829683,82.21153846153847,75.60975609756099,94.41593721702385,89.03378778897452,89.83342906375647,98.9459815546772,68.6985099216922,5000.0,3127672.0
10000.0,3.585881,4.620518018437757E-6,10000.0,93.38,85.18402072912164,84.0903628935352,78.18780889621087,95.02928367622768,90.09278659084107,90.86731763354395,99.14361001317523,68.92222566899578,10000.0,6246688.0
15000.0,6.681672,1.2133841746105917E-5,15000.0,93.57333333333332,85.55172535280717,84.64479133482,78.66312527667108,95.19537480063795,90.29790660225441,91.11725980345386,99.26974994467803,68.99039964881561,15000.0,9381296.0
20000.0,11.837522,2.8747097298432557E-5,20000.0,93.58999999999999,85.48772359334241,84.51877792537132,78.36652041849476,95.24057024057025,90.18677281077771,91.14616641796349,99.3926100894213,69.01789197508585,20000.0,1.2455376E7
25000.0,19.095462,5.792527847527216E-5,25000.0,93.74,85.85531863301635,84.95481638146511,78.99892646269458,95.34267773710681,90.45557114106239,91.29195873938565,99.5035556151885,69.0643747446131,25000.0,1.5539864E7
30000.0,30.210645,1.1169125572158646E-4,30000.0,93.91666666666667,86.26138893217494,85.4011679065675,79.67026846385208,95.47112688289451,90.73745114957113,91.50413852154885,99.56560481176209,69.11398978016516,30000.0,1.869792E7
35000.0,43.236316,1.851397642856857E-4,35000.0,94.01428571428572,86.47753462711954,85.62804417918639,80.01335622972717,95.54473342832232,90.88218653436046,91.626218542236,99.59935133072594,69.1421669231161,35000.0,2.1796424E7
40000.0,60.595897,2.9689728197743084E-4,40000.0,94.0725,86.60246465264285,85.7563378589451,80.2037238039576,95.58990383721147,90.96314365209437,91.69937905931053,99.62431123726833,69.1599035382097,40000.0,2.4885128E7
45000.0,78.021565,4.228859787301678E-4,45000.0,94.04444444444444,86.53253193545392,85.72645930975713,80.07583079324957,95.57127276332749,90.91094078545751,91.66032712057816,99.63574189711566,69.15491107247804,45000.0,2.79476E7
50000.0,102.104018,6.165061137695197E-4,50000.0,94.112,86.678436726351,85.91454954308405,80.30242205272312,95.62334611839563,91.00629315085233,91.7496362650843,99.65210410115742,69.17400891343542,50000.0,3.1077936E7
55000.0,125.901335,8.265998718103663E-4,55000.0,86.48,67.84643610088,68.68920796665122,54.81283422459894,90.33457249070632,77.51164337990684,90.17984584641736,77.82231128924516,64.80782304931684,55000.0,3.4126168E7
60000.0,154.275352,0.0011010111719343295,60000.0,86.63,68.69799876028154,69.08670520231213,55.990783410138235,90.32491497213981,78.3691959229898,89.65665852607384,79.6972688384337,65.06802735685699,60000.0,3.7383808E7
65000.0,184.124745,0.0014135471288518795,65000.0,87.04666666666667,69.8992879438763,69.48327312706142,56.92751052981602,90.57299500266848,79.30557034827991,88.99694889397406,82.51329787234043,65.48096035610553,65000.0,4.0473136E7
70000.0,218.18008,0.0017969833601776015,70000.0,87.36,70.84024166611108,70.31818715510157,57.789280347303404,90.74941451990631,80.05050505050505,88.50820842255531,84.67445742904842,65.79944259862764,70000.0,4.3522152E7
75000.0,253.903216,0.002228091913979774,75000.0,87.22,70.72512196124933,69.90108337258596,57.24608590927337,90.59491919578464,80.06737787759684,87.80098139906426,85.85763981803586,65.88979837901694,75000.0,4.6648688E7
80000.0,291.780407,0.0027150441230247464,80000.0,87.42,71.36297082897953,70.3907108112349,57.85594639865995,90.69618380830292,80.58242436715372,87.41208895647216,87.43858865564984,66.11555747555224,80000.0,4.96948E7
85000.0,333.996335,0.003290683691417878,85000.0,87.51714285714286,71.6981103440067,70.45377696625414,58.12326272404869,90.73873873873873,80.85870755750274,87.12448098998617,88.44163312248419,66.25068190450388,85000.0,5.2708016E7
90000.0,378.080611,0.003927948621629175,90000.0,87.66000000000001,72.14789194018564,70.699275792473,58.70492763323016,90.80956282118122,81.22622851057355,86.95001069671254,89.32574870336289,66.38444083519786,90000.0,5.587772E7
95000.0,425.715401,0.004654697277337061,95000.0,87.66222222222223,72.30332886937727,70.62433862433862,58.79165738885177,90.76882149507848,81.40407288317256,86.58250333058429,90.1885112067686,66.47763054918416,95000.0,5.897424E7
100000.0,475.196215,0.0054485731692535105,100000.0,87.752,72.56336911934973,70.76012223071046,59.06143458787351,90.82024223528002,81.6029800528719,86.45547945205479,90.78877005347593,66.56655494794866,100000.0,6.2018056E7
