learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.975004,2.1563498514393968E-7,5000.0,94.14,86.91403926181248,86.1531190926276,80.99870298313878,95.58668474167796,91.28235644153526,91.75824175824175,99.48119325551232,69.1446735139002,5000.0,422040.0,10.0,0.7513970770946792,0.24860292290532082
10000.0,3.026005,3.9380867641212215E-7,10000.0,94.24,87.02984073364985,86.29876308277831,80.96497025776603,95.69828230022405,91.285930408472,91.86980212216805,99.7025776602776,69.20483721938186,10000.0,655304.0,10.0,0.9123369635436763,0.08766303645632365
15000.0,3.871427,5.782960119615827E-7,15000.0,94.58,87.74836313309166,87.10751665080875,82.04108681245857,95.96586116210986,91.74367827764802,92.33266494796143,99.77910315882484,69.30219478970098,15000.0,843520.0,10.0,0.75544677196881,0.24455322803118992
20000.0,4.640116,7.796922737504873E-7,20000.0,94.75,88.1069294420596,87.4386888383778,82.56972111553786,96.09984399375975,91.97124942651782,92.55867200915856,99.8339973439575,69.35284229091049,20000.0,1012752.0,10.0,0.51868906718579,0.48131093281420995
25000.0,5.35668,9.913526728231875E-7,25000.0,94.948,88.58713214058773,87.97142857142856,83.38157894736841,96.23625473075663,92.3189199051268,92.79885057471265,99.86842105263159,69.40231833796048,25000.0,1141792.0,10.0,0.6825551667998672,0.3174448332001327
30000.0,6.056294,1.2234985100622808E-6,30000.0,95.13333333333334,88.96431847201103,88.4062574446121,83.91539054753774,96.38667524625056,92.54873941002349,93.06982746260097,99.88983144210643,69.45496002891143,30000.0,1282640.0,10.0,0.6537779825988861,0.3462220174011137
35000.0,6.72047,1.4702360597646073E-6,35000.0,95.25714285714287,89.21851955049459,88.70056497175143,84.27732525099452,96.48632630598595,92.70522060116015,93.24932493249325,99.90528509187347,69.49003706006471,35000.0,1436000.0,10.0,0.8290090716722254,0.17099092832777452
40000.0,7.245627,1.6793755346764294E-6,40000.0,95.33500000000001,89.39706001043567,88.93369707033567,84.56064868442827,96.54329220851395,92.82804212468292,93.35100666332306,99.91725963925204,69.51047876086294,40000.0,1539392.0,10.0,0.6138056422269088,0.38619435777309125
45000.0,7.726839,1.8839960787672965E-6,45000.0,95.39111111111112,89.51472321265628,89.07385944579076,84.73091364205258,96.58769332017111,92.90212183436003,93.43030843174078,99.92637856143709,69.52637754715434,45000.0,1643672.0,10.0,0.7194429065903652,0.2805570934096347
50000.0,8.218932,2.1081289290678173E-6,50000.0,96.02000000000001,91.00039435457904,90.61320754716982,87.09468223086901,97.0347191178662,93.94952873213744,94.24023154848045,100.0,69.68504709557145,50000.0,1760600.0,10.0,0.6176687174948398,0.38233128250516024
55000.0,8.671095,2.3240458627459076E-6,55000.0,96.09,91.03359818540207,90.65934065934064,86.97968697968697,97.12436566889755,93.89348742776824,94.40949385187304,100.0,69.71540250401503,55000.0,1845840.0,10.0,0.7470849185669289,0.2529150814330711
60000.0,9.342426,2.572416083469159E-6,60000.0,85.86,68.52522469517103,66.17224880382776,53.48684210526318,89.33152255922741,79.03943077379189,85.08192009198045,87.63971071663379,65.71180084440964,60000.0,1430096.0,10.0,0.825355819012274,0.17464418098772602
65000.0,9.824823,2.7127422024661467E-6,65000.0,86.63,70.67899122746996,68.33254381809569,55.72847682119204,89.78687648002445,80.6484295845998,84.20977217366385,92.2211188348229,66.41364524863974,65000.0,1124440.0,10.0,0.6427124097725944,0.3572875902274055
70000.0,10.272666,2.844664744105604E-6,70000.0,86.56666666666666,70.80731747788359,68.29268292682927,55.43021455430216,89.65765025920032,80.84054388133498,83.355602214163,94.00707651481646,66.5887901093306,70000.0,1138664.0,10.0,0.6711414198557845,0.3288585801442155
75000.0,10.72687,3.0063073729806477E-6,75000.0,86.64,71.1269755221587,68.44963986302986,55.768912431716586,89.6602430152465,81.1272778641051,82.99899699097291,95.05130751406818,66.71774585989868,75000.0,1375648.0,10.0,0.5416523884175568,0.4583476115824431
80000.0,11.191611,3.193801827337593E-6,80000.0,86.992,71.92380181975206,69.20454545454547,56.96705041683209,89.92002975636971,81.66647874619463,83.16133470932232,95.83223074887538,66.89423843990558,80000.0,1559480.0,10.0,0.6278907772943717,0.37210922270562824
85000.0,11.627438,3.392640122520841E-6,85000.0,87.08,72.17662958917818,69.31116389548694,57.28454926162663,89.96686684613792,81.86072631973043,83.0489844683393,96.37465564738292,66.97455489133955,85000.0,1763552.0,10.0,0.45594533675318216,0.5440546632468178
90000.0,12.069355,3.610870470710927E-6,90000.0,87.27428571428571,72.61222679866113,69.77675239193867,57.97716765732617,90.11057329366314,82.15687845525198,83.16393442622952,96.73584905660377,67.06336247960456,90000.0,1908872.0,10.0,0.643926668106302,0.3560733318936979
95000.0,12.544693,3.866849341748489E-6,95000.0,87.42999999999999,72.95713706224365,70.20621000237023,58.49773008666941,90.22816496287946,82.38632382820711,83.24845789700186,97.05348299768902,67.13827911383544,95000.0,2081632.0,10.0,0.724794541108682,0.27520545889131803
100000.0,13.008909,4.135708771488733E-6,100000.0,87.4888888888889,73.10072769353292,70.30903913089337,58.672832709388544,90.2689435840708,82.48506719761076,83.22603263641,97.3062243100411,67.18114634077985,100000.0,2238760.0,10.0,0.4566534861355837,0.5433465138644163
