learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.670436,4.578459737201532E-8,5000.0,94.0,86.61286107791099,85.82230623818525,80.54474708171205,95.47784142297256,91.0873440285205,91.58473105841527,99.41634241245137,69.10156898921808,5000.0,263976.0,10.0,0.7513970770946792,0.24860292290532082,6313.6,67.16513645899602,20322.399999999998,3884.928004480907,11.6,4.005551702879947,6.3,2.0027758514399734,6.3,2.0027758514399734,4.2,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.251746,1.0415575419863066E-7,10000.0,94.53,87.64440795842884,86.98858230256899,81.9233311302049,95.92551210428304,91.68060836501901,92.32864926871235,99.60343688037013,69.26977806898952,10000.0,388144.0,10.0,0.9123369635436763,0.08766303645632365,12712.3,79.3558091411362,32334.399999999998,5868.884186964333,17.6,5.253570214625479,9.3,2.6267851073127395,9.3,2.6267851073127395,6.300000000000001,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.687606,1.6141390794681179E-7,15000.0,94.92666666666668,88.49073451194666,87.93212813193784,83.18975038656949,96.2350962252016,92.22437927863493,92.8673732454884,99.69074442235475,69.38265591411214,15000.0,507800.0,10.0,0.75544677196881,0.24455322803118992,19134.999999999996,108.13057949637698,43916.0,6459.686404497083,23.2,5.452828012447608,12.1,2.726414006223804,12.1,2.726414006223804,8.299999999999999,0.8232726023485649,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.15104,2.3616816172169317E-7,20000.0,95.11,88.88239970651352,88.30003588946045,83.76494023904381,96.37804607066144,92.47576550238497,93.10246136233543,99.7675962815405,69.43883237135327,20000.0,623520.0,10.0,0.51868906718579,0.48131093281420995,25533.9,122.23788283506897,55120.80000000001,7613.258563555789,28.6,5.94792213951879,14.8,2.973961069759395,14.8,2.973961069759395,10.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.572342,3.124174834332533E-7,25000.0,95.28,89.30266425305761,88.76190476190476,84.47368421052632,96.49310508796957,92.78375733855185,93.29885057471265,99.81578947368422,69.48284681279202,25000.0,699592.0,10.0,0.6825551667998672,0.3174448332001327,31778.0,116.78089645904336,62500.0,7468.6856794069045,32.0,4.9216076867444665,16.5,2.4608038433722332,16.5,2.4608038433722332,11.4,0.8432740427115679,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.985729,3.96896013956931E-7,30000.0,95.42333333333333,89.59241407207497,89.09711744620029,84.87385700121187,96.60996024789512,92.95861326221858,93.50475553218945,99.84576401894898,69.52526870698496,30000.0,789936.0,10.0,0.6537779825988861,0.3462220174011137,38147.2,153.27883089324484,71248.8,7086.00067111986,36.2,5.181162460726786,18.6,2.590581230363393,18.6,2.590581230363393,12.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.49358,5.119976967262726E-7,35000.0,95.51142857142857,89.7709991908253,89.30637805459124,85.1202879333207,96.68152341522148,93.06677258484488,93.62981752720727,99.86739912862285,69.55163848821789,35000.0,876088.0,10.0,0.8290090716722254,0.17099092832777452,44571.5,155.45149297020845,79604.0,6490.914539227546,40.0,5.099019513592785,20.5,2.5495097567963927,20.5,2.5495097567963927,13.3,0.9486832980505137,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.954304,6.228154455311598E-7,40000.0,95.5775,89.92398991772446,89.50895504685091,85.36323018368361,96.7294644012646,93.17278375979315,93.71641470229991,99.87588945887805,69.56872576114536,40000.0,929760.0,10.0,0.6138056422269088,0.38619435777309125,50880.50000000001,209.22356463840237,84826.40000000001,5835.025034698272,42.2,4.732863826479693,21.6,2.3664319132398464,21.6,2.3664319132398464,13.9,0.9944289260117529,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.310519,7.138177131820057E-7,45000.0,95.63111111111111,90.03717165377566,89.64281951322305,85.526025178532,96.77165095733851,93.24445055322657,93.78998631314258,99.88956784215563,69.58440093787152,45000.0,987512.0,10.0,0.7194429065903652,0.2805570934096347,57260.299999999996,184.58725729463458,90412.8,6317.088724686044,44.99999999999999,5.163977794943223,22.999999999999996,2.5819888974716116,22.999999999999996,2.5819888974716116,14.100000000000001,1.1972189997378642,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.637746,8.034140030046305E-7,50000.0,95.684,90.16500249150839,89.77348118661739,85.73506081438393,96.80844770468528,93.33621541501977,93.85466850194999,99.90084611316765,69.59804498244144,50000.0,1058384.0,10.0,0.6176687174948398,0.38233128250516024,63576.2,234.00085469929402,97303.2,5763.51553211136,47.800000000000004,3.675746333890726,24.400000000000002,1.837873166945363,24.400000000000002,1.837873166945363,14.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
