learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.555052,2.461517489618725E-8,5000.0,91.58,81.60365123389248,80.06628787878786,72.82117495158164,93.53004456738897,87.94732321786431,88.17733990147784,99.16074887023886,68.43575249307132,5000.0,171424.0,10.0,0.5360955604583155,0.46390443954168453,2922.4,56.58464652378965,11393.6,1993.820854540347,6.0,1.4142135623730951,3.5,0.7071067811865476,3.5,0.7071067811865476,2.4000000000000004,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.921806,4.638964569816986E-8,10000.0,91.73,81.81683861883609,80.14882381180989,72.8318002628121,93.69231942643582,87.99535491363044,88.29787234042553,99.57293035479631,68.5329852507575,10000.0,229496.0,10.0,0.6449974447546801,0.35500255524532004,5781.8,45.94876373624092,16972.800000000003,2177.663416498416,9.4,1.5776212754932313,5.2,0.7888106377466156,5.2,0.7888106377466156,3.7999999999999994,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.257171,7.065861350132359E-8,15000.0,92.12,82.56898890402591,81.19630925867007,73.90152351512477,94.02607904578996,88.4276483258273,88.83583229872983,99.71296091852506,68.65653523468376,15000.0,279728.0,10.0,0.8240365655342147,0.17596343446578547,8636.999999999998,74.24883089240525,21911.2,3110.303907980697,10.6,1.837873166945363,5.8,0.9189365834726815,5.8,0.9189365834726815,4.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.522608,9.462784981562032E-8,20000.0,92.30000000000001,82.86703007475927,81.54804696860772,74.22594142259416,94.1970005275454,88.56039221512407,89.11942959001783,99.76569037656904,68.71774151676313,20000.0,349056.0,10.0,0.8388672759509602,0.1611327240490397,11408.0,50.232791414904824,28575.199999999997,2619.835312890234,14.600000000000001,1.5776212754932308,7.800000000000001,0.7888106377466154,7.800000000000001,0.7888106377466154,5.800000000000001,0.42163702135578407,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.783699,1.2099881573890647E-7,25000.0,92.508,83.32245003733706,82.02840145845329,74.99332443257677,94.354522711517,88.86643285977532,89.3889206167904,99.79973297730307,68.77293319215298,25000.0,390424.0,10.0,0.759598657755548,0.24040134224445192,14251.4,50.802887057069185,32604.8,4066.2989123334805,16.2,2.699794230842212,8.600000000000001,1.3498971154211057,8.600000000000001,1.3498971154211057,6.3,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.041075,1.527377695279817E-7,30000.0,92.63666666666667,83.62853406143891,82.36327345309381,75.54793004206331,94.44346623066279,89.08866386762163,89.54020795573786,99.82289129953509,68.80463270290616,30000.0,476680.0,10.0,0.8224786287961635,0.1775213712038364,17154.399999999998,94.09357044984506,40940.0,3638.920963387056,20.4,2.503331114069145,10.7,1.2516655570345725,10.7,1.2516655570345725,7.9,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.245457,1.7949697281130487E-7,35000.0,92.78285714285714,83.92621141632135,82.66419600576488,76.0091176749929,94.56212864892794,89.2729743502633,89.75113399534142,99.82904359388355,68.84405885572569,35000.0,506096.0,10.0,0.6714941036142661,0.328505896385734,19995.5,97.59582185956768,43840.8,5279.168217311006,21.0,3.39934634239519,11.0,1.699673171197595,11.0,1.699673171197595,8.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.470971,2.125425075636142E-7,40000.0,92.93,84.24978508656315,83.02317204946573,76.55252466627975,94.67319645884346,89.4908955778521,89.94953291098464,99.83417627062433,68.8810041269741,40000.0,566424.0,10.0,0.8316094232487019,0.1683905767512981,22888.8,116.10033974493304,49656.0,4271.462304904753,24.200000000000003,2.347575581554534,12.600000000000001,1.173787790777267,12.600000000000001,1.173787790777267,9.4,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.702969,2.4911606589746144E-7,45000.0,93.0,84.38662126221965,83.2232637409459,76.74761939912898,94.73208910295003,89.57091775923719,90.04864400852065,99.85236583745478,68.90228766992709,45000.0,609376.0,10.0,0.6196170887858335,0.3803829112141665,25714.199999999997,100.8561131293271,53856.0,3842.384444875633,25.599999999999998,1.897366596101028,13.299999999999999,0.948683298050514,13.299999999999999,0.948683298050514,9.700000000000001,0.8232726023485647,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.918341,2.861490771567656E-7,50000.0,93.104,84.61680281822314,83.50554917719096,77.13072892485242,94.81019898251,89.72647637208749,90.1841193482805,99.8673476155734,68.92957764339157,50000.0,664664.0,10.0,0.7727326802296496,0.22726731977035042,28630.199999999997,113.29489544252824,59167.200000000004,4484.2479067162285,28.799999999999997,2.5733678754158382,14.899999999999999,1.2866839377079191,14.899999999999999,1.2866839377079191,10.8,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.184513,2.9780771299161846E-7,55000.0,76.46,51.45594228759065,43.46781940441881,21.11260053619301,81.00080710250202,69.06701708278581,71.52223489167618,88.06970509383379,63.16485177405033,55000.0,169312.0,10.0,0.6774275736018152,0.3225724263981847,31469.9,94.4474574682782,11209.6,2061.3999126807007,37.4,3.9777157040470126,19.2,1.9888578520235063,19.2,1.9888578520235063,2.1000000000000005,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.426711,3.141942194869949E-7,60000.0,76.55,52.825421308216036,44.4839015151515,21.28230949983216,80.60861655503184,70.34273428607563,69.42031049708018,93.35347432024169,63.79141494302385,60000.0,261528.0,10.0,0.7913151135068346,0.20868488649316536,34305.9,99.64654200389197,20077.600000000002,3128.846830525408,42.599999999999994,4.4020197384584465,21.799999999999997,2.2010098692292233,21.799999999999997,2.2010098692292233,3.8999999999999995,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,3.693779,3.3791830171520516E-7,65000.0,78.42666666666666,56.50401689973966,48.97508672343109,28.533568904593626,82.14522180534098,72.75176827214548,71.08479755538579,95.40636042402826,64.51572637338397,65000.0,343376.0,10.0,0.6552261163768233,0.3447738836231766,37254.0,126.83585192418222,28004.0,1265.3059357764473,46.4,3.40587727318528,23.7,1.70293863659264,23.7,1.70293863659264,5.1,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
