learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.302024,2.356516155931685E-10,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,3016.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.417353,3.306484677725368E-10,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,3184.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.495184,3.981407711075412E-10,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,3352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.560996,4.552106207443608E-10,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,3352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.628707,5.168700528641541E-10,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.700874,5.825872367454899E-10,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.7794,6.540950946509838E-10,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.847405,7.160222509668932E-10,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,0.910956,7.766555125514666E-10,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,3688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,0.958657,8.221664755708641E-10,50000.0,100.0,?,?,?,100.0,?,100.0,?,?,50000.0,3688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55000.0,1.106334,1.4572721906006335E-9,55000.0,90.60000000000001,11.38368901783707,47.07207207207208,4.2769857433808385,95.03171247357295,12.962962962962962,99.68950986915058,7.128309572301425,51.676353257909945,55000.0,16624.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
60000.0,1.223906,2.244923903296391E-9,60000.0,91.08000000000001,14.52010224622402,48.61751152073735,6.792058516196511,95.28939585973805,16.165413533834588,99.76777618047107,8.986415882967608,52.14263899713906,60000.0,25896.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
65000.0,1.371109,3.840691975007455E-9,65000.0,91.10666666666667,16.388239364467147,48.4942084942085,7.489597780859904,95.29751833051326,18.259803921568626,99.69759551556277,10.332871012482663,52.447704079407856,65000.0,41904.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
70000.0,1.463506,5.020743670562904E-9,70000.0,91.07499999999999,17.456074839825373,48.883161512027456,8.226221079691415,95.27590313616516,19.41309255079007,99.69537524231514,11.053984575835475,52.618760869615365,70000.0,49368.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
75000.0,1.55606,6.407184654639827E-9,75000.0,91.396,24.58815244605591,51.09140518417461,12.096444626072707,95.42817063061915,27.10945442222975,99.53886400922272,16.346546791990193,53.82504314935866,75000.0,57904.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
80000.0,1.646086,7.913940946261088E-9,80000.0,91.82333333333334,31.46251486655268,53.04364471669221,15.209125475285218,95.63965373198002,34.464333422388464,99.24373777990925,22.29519529899758,55.12234870696885,80000.0,64696.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0
85000.0,1.735625,9.497233231862386E-9,85000.0,92.01714285714286,36.12336677919677,54.509931618365314,17.96829125073393,95.72730609248839,39.36631944444445,99.06627840729251,26.629477392836172,56.057059278945566,85000.0,68352.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
90000.0,1.812605,1.0924246783057849E-8,90000.0,92.235,39.849309545213494,56.16709003669208,20.88639836984205,95.83277430434433,43.175997072813765,99.00205133891446,30.056036678553234,56.801867930876114,90000.0,71656.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
95000.0,1.897507,1.260213656971852E-8,95000.0,92.45333333333333,42.19583694886735,57.25075528700905,22.76552194678186,95.94584915120694,45.52454282964389,98.9705194197473,32.272003638844666,57.28056456133091,95000.0,76392.0,35.0,18.0,18.0,7.0,0.0,0.0,1.0
100000.0,1.982957,1.454162648982472E-8,100000.0,92.61399999999999,44.46148180436022,58.16719528772087,24.50940310711365,96.0257417431637,47.81687155574396,98.90706748248648,34.587080948487326,57.76983391679731,100000.0,87736.0,41.0,21.0,21.0,8.0,0.0,0.0,1.0
