learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.341742,1.5927747388680775E-8,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,180160.0,10.0,0.9999999999999994,8.156750926714144E-230
10000.0,0.595051,2.7843944335149394E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,181840.0,10.0,0.9999999999999994,2.5E-323
15000.0,0.752522,3.525171685549948E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,181840.0,10.0,0.9999999999999994,2.5E-323
20000.0,0.897402,4.213014915585518E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,183520.0,10.0,0.9999999999999994,2.5E-323
25000.0,1.036051,4.87127537942595E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,183520.0,10.0,0.9999999999999994,2.5E-323
30000.0,1.176619,5.5386466325985064E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,183520.0,10.0,0.9999999999999994,2.5E-323
35000.0,1.319961,6.225417827566466E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,185200.0,10.0,0.9999999999999994,2.5E-323
40000.0,1.463266,6.91201175045636E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,185200.0,10.0,0.9999999999999994,2.5E-323
45000.0,1.577639,7.459988490574891E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,185200.0,10.0,0.9999999999999994,2.5E-323
50000.0,2.361479,1.9467320438060495E-7,50000.0,92.82000000000001,43.01732019504273,18.409090909090907,-52.76595744680832,96.1517847572087,46.497764530551414,94.12381951731375,66.38297872340425,63.34563880819224,50000.0,592136.0,10.0,0.8885463480163341,0.11145365198366587
55000.0,2.922221,2.863770879391167E-7,55000.0,91.79,44.449436401979895,10.371179039301378,-68.23770491803283,95.54167797990767,48.2018927444795,92.48317914213625,78.27868852459017,65.33794220564465,55000.0,632160.0,10.0,0.9999999999999994,2.305535206392826E-16
60000.0,3.536445,3.917329974389738E-7,60000.0,96.26,0.0,-Infinity,-Infinity,98.0943646183634,?,96.26,?,?,60000.0,663032.0,10.0,0.9999999999999994,3.761135286263337E-245
65000.0,4.074808,4.90560233199762E-7,65000.0,97.37,0.0,-Infinity,-Infinity,98.66747732684806,?,97.37,?,?,65000.0,709584.0,10.0,0.9999999999999994,2.5E-323
70000.0,4.444599,5.616631989181042E-7,70000.0,97.95333333333333,0.0,-Infinity,-Infinity,98.96608628296232,?,97.95333333333333,?,?,70000.0,743248.0,10.0,0.9999999999999994,2.5E-323
75000.0,4.808012,6.340157949055234E-7,75000.0,98.285,0.0,-Infinity,-Infinity,99.13508333963739,?,98.285,?,?,75000.0,769584.0,10.0,0.9999999999999994,2.5E-323
80000.0,5.198053,7.157334121192495E-7,80000.0,98.54,0.0,-Infinity,-Infinity,99.26463181222928,?,98.54,?,?,80000.0,809856.0,10.0,0.9999999999999994,2.5E-323
85000.0,5.55115,7.928393129321436E-7,85000.0,98.72,0.0,-Infinity,-Infinity,99.35587761674718,?,98.72,?,?,85000.0,844104.0,10.0,0.9999999999999994,2.5E-323
90000.0,5.945061,8.810034924041894E-7,90000.0,98.85428571428572,0.0,-Infinity,-Infinity,99.42384229658472,?,98.85428571428572,?,?,90000.0,865160.0,10.0,0.9999999999999994,2.5E-323
95000.0,6.334761,9.697317656916049E-7,95000.0,98.98,0.0,-Infinity,-Infinity,99.48738566690119,?,98.98,?,?,95000.0,880104.0,10.0,0.9999999999999994,2.5E-323
100000.0,6.665684,1.0469732320991655E-6,100000.0,99.07333333333334,0.0,-Infinity,-Infinity,99.53450989585077,?,99.07333333333334,?,?,100000.0,902248.0,10.0,0.9999999999999994,2.5E-323
