learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.258279,2.0181288299461203E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,3020384.0
10000.0,0.720739,9.243217182076639E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,6039088.0
15000.0,1.150829,1.931486121858987E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,9051976.0
20000.0,1.642456,3.4638508828936345E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.2048384E7
25000.0,2.196179,5.6198903297757095E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.505104E7
30000.0,2.911819,8.964505574641126E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.8065664E7
35000.0,3.852413,1.4096117943235567E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,2.1088904E7
40000.0,4.809752,2.0052172532443783E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.4048904E7
45000.0,6.034587,2.8636487419741845E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.7091336E7
50000.0,8.985742,3.0507858409716018E-5,50000.0,88.64,46.36943752870364,36.888888888888886,-10.937499999999984,93.54545454545456,52.66666666666667,91.71122994652407,61.71875,61.93342795827711,50000.0,2451152.0
55000.0,10.410501,3.2112231454201454E-5,55000.0,82.58,38.38512142870682,1.8038331454340366,-67.82273603082854,89.5713601532567,47.14805825242718,83.47467083240349,74.85549132947978,62.91465690955551,55000.0,4352776.0
60000.0,10.639897,3.250378156933312E-5,60000.0,98.61999999999999,0.0,-Infinity,-Infinity,99.3052059208539,?,98.61999999999999,?,?,60000.0,6597872.0
65000.0,10.930961,3.3223499959506504E-5,65000.0,99.31,0.0,-Infinity,-Infinity,99.6538056294215,?,99.31,?,?,65000.0,9558208.0
70000.0,11.442144,3.487901709419157E-5,70000.0,99.53999999999999,0.0,-Infinity,-Infinity,99.76946978049513,?,99.53999999999999,?,?,70000.0,1.2518712E7
75000.0,11.960476,3.695460184139509E-5,75000.0,99.655,0.0,-Infinity,-Infinity,99.82720192331772,?,99.655,?,?,75000.0,1.5478712E7
80000.0,12.682983,4.0401132452781824E-5,80000.0,99.724,0.0,-Infinity,-Infinity,99.86180929682962,?,99.724,?,?,80000.0,1.8439216E7
85000.0,13.520863,4.503962983468754E-5,85000.0,99.77000000000001,0.0,-Infinity,-Infinity,99.8848675977374,?,99.77000000000001,?,?,85000.0,2.1399216E7
90000.0,14.459088,5.0952086038663976E-5,90000.0,99.80285714285714,0.0,-Infinity,-Infinity,99.90133131229355,?,99.80285714285714,?,?,90000.0,2.4359216E7
95000.0,15.514908,5.8414094645803165E-5,95000.0,99.8275,0.0,-Infinity,-Infinity,99.9136755451577,?,99.8275,?,?,95000.0,2.7319216E7
100000.0,16.980788,6.989689737088978E-5,100000.0,99.84666666666666,0.0,-Infinity,-Infinity,99.92327451045801,?,99.84666666666666,?,?,100000.0,3.027972E7
