learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.26728,1.7857634474833807E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,2582616.0
10000.0,0.859696,9.702199577291807E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,5165416.0
15000.0,1.332406,1.916987459572653E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,7741960.0
20000.0,1.809991,3.1848688422950606E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.026196E7
25000.0,2.474262,5.395960377409226E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.28666E7
30000.0,3.272254,8.572387023605406E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.53866E7
35000.0,4.167285,1.2747859413894928E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,1.803308E7
40000.0,5.330628,1.8933466401638258E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.055308E7
45000.0,6.921047,2.8426851119214876E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.3073416E7
50000.0,9.005194,2.9226151707625636E-5,50000.0,90.02,6.250798465143362,41.976744186046524,2.918287937743193,94.72683081475218,7.076350093109871,99.91083370485956,3.6964980544747084,50.89384337995468,50000.0,1482464.0
55000.0,9.268135,2.932264155195405E-5,55000.0,89.96,20.060219178317766,42.43119266055043,2.8073572120037795,94.62699347104784,23.592085235920855,98.59484777517564,15.004840271055178,53.29157720649456,55000.0,1418488.0
60000.0,9.453439,2.9480768836004036E-5,60000.0,100.0,?,?,?,100.0,?,100.0,?,?,60000.0,3298560.0
65000.0,9.76879,2.9956173123524833E-5,65000.0,100.0,?,?,?,100.0,?,100.0,?,?,65000.0,5827352.0
70000.0,10.306398,3.1117352938078753E-5,70000.0,100.0,?,?,?,100.0,?,100.0,?,?,70000.0,8349032.0
75000.0,10.993833,3.305056968007029E-5,75000.0,100.0,?,?,?,100.0,?,100.0,?,?,75000.0,1.0870544E7
80000.0,11.776456,3.576178995167215E-5,80000.0,100.0,?,?,?,100.0,?,100.0,?,?,80000.0,1.3391048E7
85000.0,12.798298,3.996807312184323E-5,85000.0,100.0,?,?,?,100.0,?,100.0,?,?,85000.0,1.591172E7
90000.0,13.788451,4.46895909609956E-5,90000.0,100.0,?,?,?,100.0,?,100.0,?,?,90000.0,1.8432392E7
95000.0,15.13091,5.1966254106855224E-5,95000.0,100.0,?,?,?,100.0,?,100.0,?,?,95000.0,2.0952392E7
100000.0,16.787251,6.202438225217784E-5,100000.0,100.0,?,?,?,100.0,?,100.0,?,?,100000.0,2.3473064E7
