learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.41833,1.953368687795268E-8,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,180496.0,10.0,0.9999999999999994,8.156750926714144E-230
10000.0,0.711032,3.332845743331644E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,182176.0,10.0,0.9999999999999994,2.5E-323
15000.0,0.919321,4.314492252137926E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,182176.0,10.0,0.9999999999999994,2.5E-323
20000.0,1.122083,5.278902913961146E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,183856.0,10.0,0.9999999999999994,2.5E-323
25000.0,1.274226,6.002550990631184E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,183856.0,10.0,0.9999999999999994,2.5E-323
30000.0,1.391065,6.558280256059435E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,183856.0,10.0,0.9999999999999994,2.5E-323
35000.0,1.499061,7.076642652352651E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,185536.0,10.0,0.9999999999999994,2.5E-323
40000.0,1.602227,7.571821871731017E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,185536.0,10.0,0.9999999999999994,2.5E-323
45000.0,1.709152,8.085043650534419E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,185536.0,10.0,0.9999999999999994,2.5E-323
50000.0,2.389374,1.7765016925003797E-7,50000.0,96.16,64.83413433360685,55.76036866359447,16.521739130434877,97.96221609000213,66.78200692041523,96.75052410901468,83.91304347826087,67.20557409681052,50000.0,550080.0,10.0,0.7206120303426711,0.2793879696573289
55000.0,3.109622,2.500753790140152E-7,55000.0,91.67,62.39153366151875,50.534441805225626,14.388489208633098,95.23591649985703,66.87872763419483,92.23440788744877,86.43371017471738,66.83339697751532,55000.0,388696.0,10.0,0.730923425799906,0.26907657420009407
60000.0,3.771912,3.7310754160086316E-7,60000.0,84.46000000000001,60.71988271573731,50.50955414012739,19.48186528497408,89.47867298578198,70.28680688336519,81.88351920693928,95.23316062176166,66.54259534852487,60000.0,718080.0,10.0,0.906607400888698,0.09339259911130193
65000.0,4.507038,5.671221872419119E-7,65000.0,84.96000000000001,62.00489651791046,51.452550032278886,21.748178980228953,89.81719702098849,71.24282982791587,82.1119088883387,96.93028095733611,66.90332387962403,65000.0,1020176.0,10.0,0.7319676299293008,0.2680323700706992
70000.0,5.298865,8.273096508491372E-7,70000.0,85.28,62.958482722190055,52.47524752475247,24.175824175824197,90.01085776330075,72.03647416413374,82.29649238914625,97.66483516483517,67.07483275304931,70000.0,1270160.0,10.0,0.7894906283395448,0.21050937166045522
75000.0,6.100327,1.1296444433513617E-6,75000.0,85.615,63.68339127496567,53.55182434614141,25.697314049586755,90.25373488261799,72.5503291670642,82.59548611111111,98.19214876033058,67.22864621414031,75000.0,1458168.0,10.0,0.8974991595831918,0.1025008404168081
80000.0,6.745012,1.4087895867808E-6,80000.0,86.116,64.87864748045834,55.60245587106678,28.945752302968298,90.5962992061987,73.48154939261975,83.12204822271937,98.44421699078812,67.37326346806786,80000.0,1673728.0,10.0,0.9095883685748466,0.09041163142515343
85000.0,7.259184,1.6525176166494689E-6,85000.0,86.28333333333333,65.11816051471388,56.04571672719505,29.259068248237913,90.73511201170776,73.59640680141162,83.32299549270148,98.59033866254083,67.4376256542374,85000.0,1832312.0,10.0,0.9214340354179329,0.07856596458206712
90000.0,7.737036,1.8995275070766608E-6,90000.0,86.58285714285714,65.79653005839063,57.254687784452926,31.002057008521884,90.94554989973777,74.10674900749889,83.6490033340427,98.7364090508375,67.52507171134293,90000.0,1998128.0,10.0,0.8074526808278962,0.19254731917210374
95000.0,8.167682,2.1410146334767342E-6,95000.0,86.8,66.39634991042973,58.201393286890436,32.68740438551761,91.0825874007769,74.60317460317461,83.85682298793382,98.86537480877104,67.58738746924327,95000.0,2167584.0,10.0,0.6771245314652126,0.3228754685347874
100000.0,8.619279,2.4109070844989684E-6,100000.0,87.09777777777778,67.04882022429327,59.244700266741525,34.35839457320519,91.29483027467914,75.0858221764504,84.20688701424423,98.91464104013566,67.66120159559316,100000.0,2310160.0,10.0,0.8784693687729327,0.1215306312270672
