learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.392024,8.519018689791361E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84000.0,10.0,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.612826,1.3413200403253239E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,85680.0,10.0,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.805693,1.768818950901429E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,85680.0,10.0,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.961589,2.1211453837653003E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,87360.0,10.0,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.083663,2.397033777087927E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,87360.0,10.0,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.206826,2.6753833206991356E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,87360.0,10.0,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.328818,2.956388375411431E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89040.0,10.0,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.419046,3.1642259719471135E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89040.0,10.0,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.517204,3.390330094844103E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89040.0,10.0,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.613937,3.6131517713268595E-8,50000.0,100.0,?,?,?,100.0,?,100.0,?,?,50000.0,89040.0,10.0,49915.3,145.87365156950807,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.167578,7.466310496131579E-8,55000.0,83.88,61.610565382065374,62.28357510528778,47.21676489849377,88.48900314195944,73.11541027351568,89.22811059907833,71.72774869109948,63.43419016787749,55000.0,269024.0,10.0,54895.799999999996,133.27815524933845,20824.8,2795.5709732837527,11.200000000000001,1.988857852023506,6.1000000000000005,0.994428926011753,6.1000000000000005,0.994428926011753,3.6999999999999997,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.649155,1.2720778536465433E-7,60000.0,85.92999999999999,68.24937478122081,66.9950738916256,54.831460674157285,89.49451205853805,78.70440441955502,87.0569436374201,83.4403080872914,65.28729809938369,60000.0,421760.0,10.0,59897.6,142.66915885673762,35608.799999999996,6226.125258403765,18.4,3.8930136855083832,9.7,1.9465068427541916,9.7,1.9465068427541916,5.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,3.038153,1.8053498179134395E-7,65000.0,87.22,71.23260125113924,69.64851171627612,58.16237450894805,90.44700254148601,80.70069465418302,87.11721224920802,87.4536329914903,66.06263036708013,65000.0,529912.0,10.0,64919.7,169.8084214637199,46084.0,5916.160015866147,23.400000000000002,3.502380143083652,12.200000000000001,1.751190071541826,12.200000000000001,1.751190071541826,6.3999999999999995,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.401305,2.3970473515076766E-7,70000.0,87.845,72.62475740366307,70.73200096315915,59.80489417989416,90.92402464065708,81.60423760877791,87.28406565837574,89.13870061167135,66.41211603880106,70000.0,629816.0,10.0,69921.3,163.5019877555015,55761.6,8141.310011976642,28.0,5.354126134736337,14.5,2.6770630673681683,14.5,2.6770630673681683,7.200000000000001,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,3.775752,3.124779085649384E-7,75000.0,88.30799999999999,73.75585740890587,71.95355977739398,61.46849459530714,91.24299709398124,82.41381384994885,87.45190375007178,90.27283511269276,66.65672112824868,75000.0,751248.0,10.0,74902.79999999999,168.76992886438492,67483.2,8271.194630899592,34.2,4.638007234913623,17.6,2.3190036174568114,17.6,2.3190036174568114,8.200000000000001,0.9189365834726816,0.0,0.0,0.0,0.0,1.0,0.0
