learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.301163,2.012144107806186E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,2582616.0
10000.0,0.833697,9.128378979841041E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,5165416.0
15000.0,1.318415,1.883655629698187E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,7741960.0
20000.0,1.873244,3.356602559971313E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.026196E7
25000.0,2.473693,5.355256273843762E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.28666E7
30000.0,3.308702,8.679029992644986E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.53866E7
35000.0,4.281472,1.3217168087417053E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,1.803308E7
40000.0,5.387082,1.9095803143216503E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.055308E7
45000.0,6.468753,2.555241548301238E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.3073416E7
50000.0,8.461387,2.651589370547276E-5,50000.0,92.2,0.4704938398893076,44.444444444444464,0.25575447570343846,95.94088259783514,0.5102040816326531,100.0,0.2557544757033248,?,50000.0,1869032.0
55000.0,8.865971,2.673397111361432E-5,55000.0,86.64,25.01438253329024,42.95473953885565,9.423728813559265,92.61470425649532,30.052356020942405,98.26392961876833,19.45762711864407,54.24978265795458,55000.0,2083552.0
60000.0,9.387036,2.7290336623173202E-5,60000.0,76.4,42.044223989840646,42.995169082125614,21.854304635761608,83.52415526389277,58.42142353770261,85.75114678899082,54.82804232804233,59.28304755936412,60000.0,4127344.0
65000.0,9.951105,2.810772005160028E-5,65000.0,77.21000000000001,45.786912832301965,44.97827136648962,24.859874711506766,83.71095704381388,62.07355633216842,84.07753050969131,61.44975288303131,60.31734480908511,65000.0,5601392.0
70000.0,10.540292,2.934923789100928E-5,70000.0,78.57333333333332,49.95112526501454,48.60889031020147,28.49833147942156,84.47042906841902,65.45571797076526,83.22384080738836,67.71180787191462,61.42793515154628,70000.0,8145208.0
75000.0,11.247797,3.130371268568767E-5,75000.0,79.91,53.586176544854034,51.9952210274791,33.13363288400733,85.3121801432958,68.22208161974059,83.41554078204302,71.75178838795541,62.28308943244515,75000.0,1.067832E7
80000.0,11.940759,3.367686145388831E-5,80000.0,81.16799999999999,56.282804981998154,54.85232067510548,37.02514713750667,86.28604718904748,69.95532865347799,84.52802191530647,73.29499866274405,62.813816270397574,80000.0,1.3237864E7
85000.0,12.757552,3.7007870731148865E-5,85000.0,82.22666666666667,58.67665687850763,57.699325664418886,40.650044523597515,87.07205896615265,71.57176370228194,85.44779670695726,74.69396839528156,63.27356578821814,85000.0,1.5763992E7
90000.0,13.679368,4.13755380689539E-5,90000.0,82.93142857142857,60.32711977489013,59.44606611906862,43.12101304389221,87.5810743389323,72.71647789550603,85.99714227393346,75.78296049500238,63.596403744420925,90000.0,1.8315032E7
95000.0,14.706927,4.691644634269177E-5,95000.0,83.5875,61.77941535371827,60.969084423305596,45.186607664690676,88.07686020958573,73.67576887605757,86.535098675993,76.69254528758661,63.88028724958499,95000.0,2.0843784E7
100000.0,15.805763,5.356014893099665E-5,100000.0,83.94666666666667,62.67081992646055,61.86856690419636,46.34581105169342,88.32465979248151,74.31557989049277,86.6525020612672,77.61027773652161,64.08252097838162,100000.0,2.3371128E7
