learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.442014,9.63370302071174E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84248.0,10.0,0.9999999999999994,8.156750926714144E-230,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.693598,1.5226323525938722E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,85928.0,10.0,0.9999999999999994,2.5E-323,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.893032,1.965966856314076E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,85928.0,10.0,0.9999999999999994,2.5E-323,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.065777,2.357480481887857E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,87608.0,10.0,0.9999999999999994,2.5E-323,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.190729,2.6406748466607596E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,87608.0,10.0,0.9999999999999994,2.5E-323,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.30896,2.9086365674932797E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,87608.0,10.0,0.9999999999999994,2.5E-323,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.415081,3.153764080049263E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89288.0,10.0,0.9999999999999994,2.5E-323,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.508905,3.370486912834975E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89288.0,10.0,0.9999999999999994,2.5E-323,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.62696,3.64318061619997E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89288.0,10.0,0.9999999999999994,2.5E-323,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.340861,1.1673358300079902E-7,50000.0,93.04,73.23235058113491,71.56862745098039,54.92227979274611,95.88846880907373,77.34375,95.97918637653737,76.94300518134715,65.7499413607884,50000.0,434800.0,10.0,0.7299110846204261,0.27008891537957386,51558.6,148.45291060355416,36664.8,12779.548355782288,25.8,6.051629716218783,13.4,3.0258148581093915,13.4,3.0258148581093915,4.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.911652,2.0910157455959256E-7,55000.0,91.32000000000001,69.89750168684968,64.07284768211922,42.592592592592595,94.7463987410725,75.0431282346176,92.21253534401508,86.30952380952381,66.80607366728321,55000.0,625528.0,10.0,0.9999999996987688,3.0123114746219216E-10,58171.2,123.45921503791388,54950.399999999994,20695.38711457754,43.0,6.253887679764573,22.0,3.1269438398822866,22.0,3.1269438398822866,5.4,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.272924,2.758030528223349E-7,60000.0,98.58,0.0,-Infinity,-Infinity,99.28492295296606,?,98.58,?,?,60000.0,713680.0,10.0,0.9999999999999994,4.914134882434802E-239,63173.0,129.14677266153018,63590.40000000001,23735.00482503521,45.4,7.3363630105265525,22.200000000000003,5.513619500836088,22.200000000000003,5.513619500836088,6.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,3.671114,3.5661723260043396E-7,65000.0,99.25,0.0,-Infinity,-Infinity,99.62358845671267,?,99.25,?,?,65000.0,784512.0,10.0,0.9999999999999994,2.5E-323,68195.1,149.26073384070523,70573.6,25205.553687850446,46.6,7.890923055426829,22.8,5.750362307426086,22.8,5.750362307426086,6.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,4.027239,4.3256092586037183E-7,70000.0,99.49333333333334,0.0,-Infinity,-Infinity,99.7460232589226,?,99.49333333333334,?,?,70000.0,824312.0,10.0,0.9999999999999994,2.5E-323,73196.70000000001,133.0973328057296,74511.2,26603.992869910002,47.2,8.011103405759894,23.1,5.78215646046813,23.1,5.78215646046813,6.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,4.404881,5.165687635913491E-7,75000.0,99.62,0.0,-Infinity,-Infinity,99.80963831279432,?,99.62,?,?,75000.0,859888.0,10.0,0.9999999999999994,2.5E-323,78178.2,133.33733327333448,78014.40000000001,27213.666318393945,48.0,7.423685817106695,23.5,5.400617248673217,23.5,5.400617248673217,6.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,4.780171,6.021046612163385E-7,80000.0,99.696,0.0,-Infinity,-Infinity,99.84776860828458,?,99.696,?,?,80000.0,881016.0,10.0,0.9999999999999994,2.5E-323,83183.8,127.37241982993685,80092.0,27852.05135074335,48.5,6.50213640104372,23.5,4.743416490252569,23.5,4.743416490252569,6.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,5.151754,6.890927548830708E-7,85000.0,99.74666666666666,0.0,-Infinity,-Infinity,99.87317268540151,?,99.74666666666666,?,?,85000.0,904912.0,10.0,0.9999999999999994,2.5E-323,88170.1,143.09860625146203,82432.79999999999,29214.355667491054,49.2,6.7461923416925424,23.599999999999998,4.835057163858332,23.599999999999998,4.835057163858332,6.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,5.502971,7.736856784588761E-7,90000.0,99.78285714285714,0.0,-Infinity,-Infinity,99.89131056575711,?,99.78285714285714,?,?,90000.0,931024.0,10.0,0.9999999999999994,2.5E-323,93186.9,163.04154208190337,85003.2,30110.216548909477,49.8,6.988880056521535,23.9,4.909175083453432,23.9,4.909175083453432,6.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,5.860423,8.607612972954909E-7,95000.0,99.81,0.0,-Infinity,-Infinity,99.90490966418098,?,99.81,?,?,95000.0,941632.0,10.0,0.9999999999999994,2.5E-323,98171.4,189.63426788309135,86069.6,30816.0727009642,49.7,7.6890976208019515,23.7,5.598610938835136,23.7,5.598610938835136,6.199999999999999,1.2292725943057181,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,6.201538,9.45687092145284E-7,100000.0,99.83111111111111,0.0,-Infinity,-Infinity,99.91548418664651,?,99.83111111111111,?,?,100000.0,962368.0,10.0,0.9999999999999994,2.5E-323,103135.59999999999,211.5488911181837,88102.40000000001,31386.45364980107,50.3,7.746683878351505,23.999999999999996,5.715476066494083,23.999999999999996,5.715476066494083,6.199999999999999,1.2292725943057181,0.0,0.0,0.0,0.0,1.0,0.0
