learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.315217,2.463028412643406E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,3020384.0
10000.0,0.998057,1.3131149613112212E-6,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,6039088.0
15000.0,1.544074,2.591751726147615E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,9051976.0
20000.0,2.275803,4.872496547378185E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.2048384E7
25000.0,3.014589,7.749118538525783E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.505104E7
30000.0,4.018941,1.2443058243420802E-5,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.8065664E7
35000.0,5.11307,1.8412313744984568E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,2.1088904E7
40000.0,6.433585,2.6627856437665308E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.4048904E7
45000.0,7.782038,3.6078554011397063E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.7091336E7
50000.0,11.799845,3.896696503646672E-5,50000.0,88.46000000000001,53.0061409652881,37.28260869565222,-4.909090909090874,93.27584197645962,59.337561663143056,89.93258426966293,76.54545454545455,64.51318446936205,50000.0,2778896.0
55000.0,14.187003,4.185544388771885E-5,55000.0,86.28,62.73600709906226,55.060596134949236,34.47946513849094,90.95821800448135,71.57065893079155,87.28813559322035,82.47373447946515,65.14634872206682,55000.0,4677248.0
60000.0,16.22432,4.5913411800031445E-5,60000.0,81.72,64.02845420113809,61.54816996213716,53.72151898734179,82.82600526118001,80.46173578452328,73.0043060616098,95.002523977789,64.80872434313895,60000.0,7699320.0
65000.0,20.251498,5.71010151823548E-5,65000.0,82.39999999999999,65.3356556343189,63.09498846718389,55.68982880161126,83.46486283352122,81.18854211201368,73.76286947857854,95.47511312217195,65.04574978443067,65000.0,1.0738376E7
70000.0,28.565513,8.688910489113174E-5,70000.0,82.63333333333334,65.79193709785501,63.834513397195614,56.83512841756422,83.58227768324194,81.56796150852614,74.01495702645384,95.41466644595266,65.08256745711684,70000.0,1.3849504E7
75000.0,38.672995,1.3105525979357666E-4,75000.0,83.205,66.8882632762982,65.20973588814086,58.27329192546582,84.15640771661714,82.13202829937762,74.69022103148023,95.8291956305859,65.29154169225639,75000.0,1.6890752E7
80000.0,52.533188,2.0262817053650609E-4,80000.0,83.236,66.9825002051481,65.19681116093672,58.364792370355644,84.14481897627965,82.21665888742733,74.4975884244373,96.18745035742653,65.32324218489615,80000.0,1.9960976E7
85000.0,69.451301,3.0333562984732085E-4,85000.0,83.32333333333334,67.1302525271731,65.55356651060315,58.68021143045921,84.23705850845964,82.29715862849864,74.74002012747401,95.99636783886413,65.33306742499126,85000.0,2.300976E7
90000.0,88.562498,4.3207240176105664E-4,90000.0,83.50857142857143,67.50746533756492,65.89055667178822,59.208480565371026,84.38396190682323,82.52920878987833,74.8176933410094,96.30545351794292,65.40702310512081,90000.0,2.6038568E7
95000.0,112.6104,6.13923131749514E-4,95000.0,83.6,67.70909541478187,66.05082026600424,59.41849675224249,84.44834289507372,82.65376275847481,74.74505854211256,96.64832106857956,65.45864717718587,95000.0,2.9230768E7
100000.0,139.94699,8.422240023605774E-4,100000.0,83.53555555555555,67.5756962999235,65.90271066316903,59.282259837326876,84.3906036026546,82.58140355001763,74.73692066572131,96.48939676958575,65.42673716366022,100000.0,3.2282384E7
