learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.3904,8.56614112854004E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84816.0,10.0,0.9999999999999994,8.156750926714144E-230,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.633081,1.399651122589906E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,86496.0,10.0,0.9999999999999994,2.5E-323,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.843017,1.8694160307447115E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,86496.0,10.0,0.9999999999999994,2.5E-323,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.007171,2.2438709090153376E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,88176.0,10.0,0.9999999999999994,2.5E-323,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.151602,2.5733352688451607E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,88176.0,10.0,0.9999999999999994,2.5E-323,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.298372,2.908135167012612E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,88176.0,10.0,0.9999999999999994,2.5E-323,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.433938,3.2232693346838154E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89856.0,10.0,0.9999999999999994,2.5E-323,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.550481,3.494182995210091E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89856.0,10.0,0.9999999999999994,2.5E-323,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.667514,3.7662357004980244E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89856.0,10.0,0.9999999999999994,2.5E-323,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.679097,1.8047996500506996E-7,50000.0,97.68,85.37147376853031,85.74938574938574,74.8917748917749,98.72974156811213,86.63594470046083,99.33891582194799,81.38528138528139,67.21685004655257,50000.0,545736.0,10.0,0.8028927885270543,0.1971072114729458,51943.4,151.83851070572774,47104.8,8842.14349075557,30.200000000000003,6.477310827461929,15.600000000000001,3.2386554137309647,15.600000000000001,3.2386554137309647,5.300000000000001,0.48304589153964805,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.492953,2.436957189709776E-7,55000.0,92.29,76.98861082482014,73.09839497557573,60.29866117404741,95.10631545541098,81.83745583038869,92.97592454703401,89.44387229660144,67.53143653951756,55000.0,300248.0,10.0,0.7705817778359917,0.22941822216400826,59740.2,149.27290444015546,23639.199999999997,6992.895391435193,55.400000000000006,9.834180754445747,28.200000000000003,4.917090377222873,28.200000000000003,4.917090377222873,3.8999999999999995,0.5676462121975469,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.053039,3.2927745347014735E-7,60000.0,86.06,72.37845808230887,71.29324546952225,64.83350151362261,87.09020188923876,84.85111932188654,78.0285429804182,98.23855057876195,66.38280906213222,60000.0,590648.0,10.0,0.6125766939782843,0.3874233060217157,67342.09999999999,146.3029201500922,51660.8,9430.064979156354,70.4,11.701851705321399,35.7,5.8509258526606995,35.7,5.8509258526606995,6.1,0.31622776601683783,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,4.705979,4.71330441971206E-7,65000.0,86.64,73.51984663709979,72.04436074492571,66.38993710691821,87.62733839599926,85.48141708324277,78.58803986710964,98.81909547738694,66.59713495047977,65000.0,840968.0,10.0,0.6705371514095237,0.32946284859047614,74960.9,180.1495983281058,75769.6,9845.33968941651,84.0,11.440668201153674,42.5,5.720334100576837,42.5,5.720334100576837,8.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
