learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.500258,1.0976640954613686E-8,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84816.0,10.0,0.9999999999999994,8.156750926714144E-230,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.802093,1.7730675091346105E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,86496.0,10.0,0.9999999999999994,2.5E-323,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.025785,2.273613636692365E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,86496.0,10.0,0.9999999999999994,2.5E-323,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.190559,2.649482809007168E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,88176.0,10.0,0.9999999999999994,2.5E-323,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.358449,3.032459949453672E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,88176.0,10.0,0.9999999999999994,2.5E-323,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.511592,3.381797421723605E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,88176.0,10.0,0.9999999999999994,2.5E-323,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.647462,3.6976382620632656E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89856.0,10.0,0.9999999999999994,2.5E-323,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.775102,3.9943477995693694E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89856.0,10.0,0.9999999999999994,2.5E-323,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.896265,4.276001024991275E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89856.0,10.0,0.9999999999999994,2.5E-323,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.31583,6.303908539315066E-8,50000.0,91.74,58.90612686763195,52.80000000000001,16.73387096774189,95.34333070244672,63.48364279398761,93.8721136767318,72.37903225806451,64.4692069779822,50000.0,186832.0,10.0,0.7301412022267816,0.2698587977732184,46182.40000000001,133.25264225022485,12760.0,1556.0771189115276,7.4,1.2649110640673518,4.200000000000001,0.632455532033676,4.200000000000001,0.632455532033676,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.777997,9.96789072164231E-8,55000.0,87.18,64.80683316237287,55.76259489302967,33.88344507478081,91.60884932582799,72.85048708174502,86.81305049001364,88.7055183084064,66.24171057544108,55000.0,306448.0,10.0,0.6268539068530683,0.3731460931469318,48519.00000000001,132.07152944101506,24289.599999999995,5126.7036669666095,13.999999999999998,2.7080128015453204,7.499999999999999,1.3540064007726602,7.499999999999999,1.3540064007726602,3.5999999999999996,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.300238,1.6369772436097264E-7,60000.0,84.89999999999999,70.20803081002587,67.77635510029876,61.55804480651731,85.95348837209303,83.67567567567568,76.11202635914333,98.47328244274809,66.06536702423809,60000.0,473848.0,10.0,0.7540909506012515,0.24590904939874852,51567.1,134.71405931742188,40376.8,5656.636079273028,23.599999999999998,4.427188724235732,12.299999999999999,2.213594362117866,12.299999999999999,2.213594362117866,4.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,3.733465,2.2870995198686916E-7,65000.0,85.6,71.64456780807782,69.7415423408279,64.3828839970319,86.34553385169733,84.76835202030885,76.44392209536602,99.08506429277942,66.2436763752106,65000.0,580072.0,10.0,0.17268984141739965,0.8273101585826003,54759.9,172.98391061984142,50712.0,8033.516457110589,27.800000000000004,5.266244708835067,14.400000000000002,2.6331223544175333,14.400000000000002,2.6331223544175333,5.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,4.263622,3.230793023109436E-7,70000.0,86.34666666666668,73.0473658853772,71.23595505617979,66.05337311453673,87.16952762811677,85.41102721185354,77.59312960071381,99.35366257872059,66.51067436499092,70000.0,688064.0,10.0,0.5566868625682566,0.4433131374317433,57822.5,184.04060542294582,61094.4,7250.6414612777535,34.0,5.270462766947299,17.5,2.6352313834736494,17.5,2.6352313834736494,5.799999999999999,0.4216370213557841,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,4.711468,4.146136739477515E-7,75000.0,86.785,73.89392573583423,72.35644807028554,67.3421475349067,87.5652787579393,85.90024006401707,78.16227112380312,99.46874227823079,66.63914266443446,75000.0,790056.0,10.0,0.33893563951604805,0.6610643604839519,60960.09999999999,191.01276862497562,70928.0,8971.175570186502,39.400000000000006,6.022181221672649,20.200000000000003,3.0110906108363245,20.200000000000003,3.0110906108363245,6.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,5.098987,5.042152051565547E-7,80000.0,87.076,74.44766108488648,73.05254378648873,68.06365523376495,87.8638770987492,86.17872267613467,78.59158715226448,99.55524807274165,66.73582906224476,80000.0,893768.0,10.0,0.5910122031854742,0.40898779681452585,64079.6,194.72270882804912,80993.6,10137.591947247081,43.800000000000004,7.004760286167307,22.400000000000002,3.5023801430836534,22.400000000000002,3.5023801430836534,6.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,5.496186,6.051845660350389E-7,85000.0,87.24,74.75636229684658,73.44064386317906,68.4106288166364,88.04721164054206,86.31586473153642,78.84905765896761,99.62043072860797,66.79623649345365,85000.0,982616.0,10.0,0.7586349303944067,0.2413650696055933,67157.7,202.87984950047058,89618.4,11628.838971377249,47.599999999999994,7.834397090892046,24.299999999999997,3.917198545446023,24.299999999999997,3.917198545446023,7.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,5.909216,7.221387129608127E-7,90000.0,87.43142857142857,75.1092665449925,73.72476406641978,68.75932107094667,88.279022674589,86.45169238350427,79.19495171622526,99.66624059082517,66.86949833576038,90000.0,1094552.0,10.0,0.4999965797892471,0.5000034202107531,70196.7,191.24507255816576,100368.0,11463.718070504003,54.2,7.37563556583431,27.6,3.687817782917155,27.6,3.687817782917155,7.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,6.318059,8.462883176240655E-7,95000.0,87.685,75.57936784769458,74.28481937774066,69.28736205499096,88.56917436302038,86.65257681677775,79.64941569282136,99.68827930174564,66.95851234058426,95000.0,1173792.0,10.0,0.8294368997968963,0.1705631002031036,73219.3,197.4695757156856,108096.8,11660.305130370018,57.0,7.302967433402215,29.0,3.6514837167011076,29.0,3.6514837167011076,7.7,1.0593499054713804,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,6.740351,9.825100151532225E-7,100000.0,87.78666666666666,75.7726071213265,74.54966427413754,69.52761144377911,88.67504636307439,86.74704605739089,79.80195082149612,99.72279203858734,66.99342185246314,100000.0,1246912.0,10.0,0.5639712557701284,0.4360287442298716,76267.20000000001,188.38660013681582,115192.79999999999,11702.229348860554,60.199999999999996,7.192588778272628,30.599999999999998,3.596294389136314,30.599999999999998,3.596294389136314,8.0,0.9428090415820636,0.0,0.0,0.0,0.0,1.0,0.0
