learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.345705,1.6142502861718336E-8,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,180496.0,10.0,0.9999999999999994,8.156750926714144E-230
10000.0,0.573763,2.6890662366317375E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,182176.0,10.0,0.9999999999999994,2.5E-323
15000.0,0.743808,3.49047236268719E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,182176.0,10.0,0.9999999999999994,2.5E-323
20000.0,0.902563,4.245569543706046E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,183856.0,10.0,0.9999999999999994,2.5E-323
25000.0,1.014643,4.778663254446454E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,183856.0,10.0,0.9999999999999994,2.5E-323
30000.0,1.128553,5.3204611183868516E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,183856.0,10.0,0.9999999999999994,2.5E-323
35000.0,1.247281,5.890335285829174E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,185536.0,10.0,0.9999999999999994,2.5E-323
40000.0,1.341267,6.341452069580556E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,185536.0,10.0,0.9999999999999994,2.5E-323
45000.0,1.441106,6.820662255916331E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,185536.0,10.0,0.9999999999999994,2.5E-323
50000.0,1.537171,7.281757885383236E-8,50000.0,100.0,?,?,?,100.0,?,100.0,?,?,50000.0,185536.0,10.0,0.9999999999999994,2.5E-323
55000.0,2.16672,1.5589946157816385E-7,55000.0,82.54,65.60721660661653,63.16455696202532,56.328164082041035,83.55002826455625,81.39782655018112,73.92464154718239,95.45227386306847,65.07244336319539,55000.0,510128.0,10.0,0.35234157819455564,0.6476584218054442
60000.0,2.715337,2.653880972332425E-7,60000.0,84.87,70.12371900261797,68.15407282677332,62.409937888198755,85.78408343512167,83.83028748530512,76.42725598526704,97.39259995033524,65.92037923427063,60000.0,771440.0,10.0,0.622286676280616,0.3777133237193842
65000.0,3.424641,4.620048831403256E-7,65000.0,86.47333333333333,73.16293192733374,71.45871430580955,66.1946017994002,87.4698943988143,85.30455566017237,78.72387727879058,98.08461025982677,66.48467634324044,65000.0,1071496.0,10.0,0.6818638314132013,0.3181361685867987
70000.0,4.198161,7.333911036948363E-7,70000.0,87.12,74.38928485855946,72.88706451952426,67.75162744116173,88.13996316758748,85.90809628008752,79.70024979184014,98.27284105131415,66.70327781360416,70000.0,1356184.0,10.0,0.710036504225041,0.2899634957749591
75000.0,4.949862,1.049604592807591E-6,75000.0,87.788,75.69389015509594,74.27969671440606,69.67921342735127,88.74137994615924,86.65821789101078,80.59481545984326,98.45099791480489,66.90400088459737,75000.0,1626064.0,10.0,0.6153879732725077,0.38461202672749234
80000.0,5.505744,1.3177898241952062E-6,80000.0,88.18,76.43663967237653,75.20626485806181,70.59457666473175,89.1526460691343,87.01574514829734,81.23083783934445,98.51587762208773,67.03482592306632,80000.0,1864896.0,10.0,0.6674700869741547,0.3325299130258454
85000.0,6.04988,1.6074393317310347E-6,85000.0,88.5,77.05635961978707,75.93135203013813,71.44174826167163,89.45865961291675,87.34953012540466,81.7020665901263,98.58115777525539,67.13479432555478,85000.0,2057632.0,10.0,0.6437062616239869,0.35629373837601314
90000.0,6.574237,1.913276017672486E-6,90000.0,88.685,77.41280076616819,76.340825927862,71.90739246477563,89.64112423326924,87.53442767434174,81.98183112153053,98.62223049711413,67.19450528477843,90000.0,2254576.0,10.0,0.5723348508714636,0.4276651491285363
95000.0,7.132969,2.2659295849170952E-6,95000.0,88.86888888888889,77.76244382882396,76.70882544406211,72.34277510904974,89.83129986398424,87.70526005743599,82.28883847212407,98.63633854137912,67.25421492618571,95000.0,2439760.0,10.0,0.5789850436306886,0.42101495636931136
100000.0,7.733836,2.6712921147834925E-6,100000.0,89.048,78.10374234153798,77.06867671691793,72.73858714591528,90.0193197973244,87.86723977489254,82.56159941158771,98.70575937079994,67.3177834569714,100000.0,2607760.0,10.0,0.6527269301880341,0.34727306981196604
