learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.419765,1.2501284376614624E-9,5000.0,90.28,20.11792303970053,46.00000000000004,4.3307086614173915,94.81101857783472,23.34384858044164,98.84238646482636,14.566929133858267,53.24690498016872,5000.0,11512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.644251,2.4371750756270357E-9,10000.0,90.14,22.09455350855793,45.191773207337384,2.569169960474246,94.71880021424745,25.86466165413534,98.3756119270138,16.99604743083004,53.70560011717676,10000.0,20440.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.808297,3.6906479899254113E-9,15000.0,90.34,25.2315191304111,45.9328358208955,3.592814371257423,94.81629878725003,29.213483146067414,98.1847818033637,19.89354624085163,54.33192616781945,15000.0,29536.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
20000.0,0.941626,4.951410819258955E-9,20000.0,90.455,30.548683590134708,47.55494505494505,6.8326012689116675,94.85042216287665,34.82417207237965,97.93883349117041,24.890190336749633,55.41412812359319,20000.0,36552.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
25000.0,1.082833,6.4856855985191134E-9,25000.0,90.55199999999999,31.306301930778023,47.7780234357727,6.8979109184075735,94.90201156867823,35.60523446019629,97.87205627031118,25.739061884115095,55.59026851761607,25000.0,42000.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
30000.0,1.223088,8.282762958357732E-9,30000.0,90.60333333333334,31.936542741436657,47.709144871081435,6.994391290003301,94.9277578854562,36.26497852136559,97.8123030145723,26.459914219729463,55.73872469708599,30000.0,49528.0,23.0,12.0,12.0,6.0,0.0,0.0,1.0
35000.0,1.3488,1.0076144232104223E-8,35000.0,90.55714285714286,32.512616742233945,47.12000000000002,5.894077448747197,94.89614701567447,36.98760724499523,97.57685467479675,27.619589977220954,55.945608552418506,35000.0,55144.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
40000.0,1.456072,1.1754323453125027E-8,40000.0,90.63250000000001,34.23415169427362,47.78428093645488,6.883697813121341,94.9283306939538,38.76450400392221,97.47331554369579,29.47316103379722,56.33526350730354,40000.0,60472.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
45000.0,1.563632,1.3579253928942813E-8,45000.0,90.72888888888889,36.14720087068912,48.39188520534392,8.06522697223446,94.97119162990285,40.72179596476272,97.36295783698284,31.577787571617456,56.776039270232715,45000.0,65584.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
50000.0,1.682737,1.5775325898494985E-8,50000.0,92.12,57.515543488340505,55.125284738041,19.4274028629857,95.60562123577961,61.89555125725339,95.01219241853246,65.439672801636,63.33479794318612,50000.0,71272.0,33.0,17.0,17.0,8.0,0.0,0.0,1.0
