learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.289014,3.834169443696737E-8,5000.0,89.82,1.3132893967430972,43.94273127753303,0.39138943248527996,94.63250026362967,1.5473887814313347,99.95544664736022,0.7827788649706457,50.18421701898189,5000.0,512808.0
10000.0,0.527408,1.0073917027976778E-7,10000.0,90.13,1.1449161444473515,44.55056179775282,0.10121457489877428,94.8049897363019,1.3986013986013983,99.93342210386152,0.708502024291498,50.16022431373115,10000.0,1011752.0
15000.0,0.692293,1.6500654761782953E-7,15000.0,90.06,0.8006912237996267,44.90022172949,-0.2689979825152136,94.76713578773733,1.06171201061712,99.91119662547176,0.5379959650302623,50.112172321328785,15000.0,1506648.0
20000.0,0.876488,2.59574710432854E-7,20000.0,89.805,0.8031201237727159,44.562262098966826,-0.24582104228119214,94.62558317298821,1.067442988840369,99.91094289212957,0.5408062930186824,50.11281003524653,20000.0,1984584.0
25000.0,1.118647,4.172614823923343E-7,25000.0,89.888,1.2082141618338567,44.73108876257106,-0.19817677368210262,94.67026480013494,1.557632398753894,99.88877519241892,0.7927070947284978,50.17008129531669,25000.0,2517080.0
30000.0,1.369487,6.10223187206106E-7,30000.0,89.87333333333333,1.37898666032305,44.60247994164845,-0.3633961017508685,94.66137138438829,1.8099547511312215,99.85541096652207,0.9250082590023125,50.19472562568809,30000.0,2973560.0
35000.0,1.564444,7.859715908848577E-7,35000.0,90.05714285714286,2.84859408036856,44.98893455580144,0.40068689181449524,94.75872040484366,3.44062153163152,99.84764806703485,1.7744705208929592,50.40389830854549,35000.0,3484616.0
40000.0,1.781975,1.0106347938585613E-6,40000.0,90.21000000000001,6.382223380358483,45.9265396299365,2.173369972520647,94.8318640130919,7.379375591296121,99.80831735977999,3.8970771921059204,50.917922815027985,40000.0,3992208.0
45000.0,2.06638,1.3380923237341147E-6,45000.0,90.66,14.076401935940513,48.27713512183112,6.454484754061795,95.0558176193109,15.788419154478058,99.74325425235145,8.769196527932339,52.084654837169595,45000.0,4450616.0
50000.0,2.323602,1.6702956522359618E-6,50000.0,90.98,19.93146047799837,50.12717018688492,9.872102318145489,95.21282241800235,22.107081174438687,99.67552671348564,12.789768185451639,53.02482788725893,50000.0,4992272.0
55000.0,2.577779,2.033934538457543E-6,55000.0,93.97999999999999,62.95804044342056,67.45945945945945,39.068825910931146,96.69557580414974,66.21773288439955,97.75804661487236,59.59595959595959,62.720412588493055,55000.0,5530144.0
60000.0,2.865723,2.478771068894615E-6,60000.0,94.19,62.542141702368724,67.41446999439145,39.97933884297517,96.82669725271725,65.64163217031343,98.15081386335955,57.27554179566563,62.335053472950754,60000.0,5971656.0
65000.0,3.214109,3.0581372075341644E-6,65000.0,94.06666666666666,61.87792483411899,67.12227558182488,40.228341168569465,96.75844988344988,65.01572327044025,98.31976313841598,55.50335570469799,62.01272426750698,65000.0,6428280.0
70000.0,3.612542,3.7663731054961684E-6,70000.0,94.23,62.735733218849646,67.9533462926965,41.89325276938576,96.84940482690838,65.77698695136417,98.46777327485705,55.81278309008556,62.10486220195296,70000.0,6871080.0
75000.0,4.000362,4.5148995974246E-6,75000.0,94.188,62.61439891013747,67.98854373209961,41.90323870451825,96.82522341425044,65.67446255610679,98.48430971641923,55.55555555555556,62.056398798184944,75000.0,7460696.0
80000.0,4.366094,5.276789823737409E-6,80000.0,94.14666666666666,62.37446172732106,67.71465342893916,41.89278623428194,96.80250555373466,65.44667453758363,98.53208288542092,55.011577902745614,61.95636787049546,80000.0,8052520.0
85000.0,4.742098,6.103403778440422E-6,85000.0,94.13714285714285,62.41726775315749,67.88229769917042,42.180896027049855,96.79645299278734,65.48940464177598,98.57233704292527,54.845070422535215,61.93089040726374,85000.0,8497920.0
90000.0,5.140275,7.024765281012903E-6,90000.0,94.15249999999999,62.244138055382614,67.87529185551432,42.01784828953886,96.80721822574701,65.30188399347277,98.5958570832754,54.54770755885997,61.87559386424816,90000.0,8944504.0
95000.0,5.560814,8.04844648765814E-6,95000.0,94.18222222222222,62.510143359480665,68.09262644728824,42.448889865904604,96.82281553398057,65.55263157894736,98.61804697156984,54.74725274725275,61.920372196641104,95000.0,9409376.0
100000.0,5.960936,9.068515996769484E-6,100000.0,94.16799999999999,62.29964257527114,68.01579466929908,42.280285035629426,96.81610726530255,65.34347516044686,98.63839633345941,54.40332475756976,61.85501618523537,100000.0,9854616.0
